Country	Modern methods	ID
Afghanistan	59	Q889
Albania	88	Q222
Algeria	93	Q262
Angola	82	Q916
Armenia	100	Q399
Bangladesh	64	Q902
Belize	97	Q242
Benin	83	Q962
Bolivia	96	Q750
Brazil	97	Q155
Burkina Faso	80	Q965
Burundi	99	Q967
Cambodia	95	Q424
Cameroon	83	Q1009
Chad	55	Q657
China	100	Q148
Colombia	97	Q739
Congo, Dem. Rep.	88	Q974
Congo, Rep.	94	Q971
Cote d'Ivoire	93	Q1008
Cuba	99	Q241
Dominican Republic	98	Q786
Egypt, Arab Rep.	90	Q79
El Salvador	96	Q792
Eswatini	99	Q1050
Ethiopia	62	Q115
Gambia, The	86	Q1005
Ghana	98	Q117
Guatemala	91	Q774
Guinea	81	Q1006
Guinea-Bissau	92	Q1007
Guyana	91	Q734
Haiti	91	Q790
India	79	Q668
Indonesia	98	Q252
Iraq	88	Q796
Jordan	98	Q810
Kazakhstan	99	Q232
Kenya	94	Q114
Korea, Dem. Peopleâ€™s Rep.	100	Q423
Kosovo	98	Q1246
Kyrgyz Republic	98	Q813
Lao PDR	78	Q819
Lesotho	95	Q1013
Liberia	98	Q1014
Madagascar	87	Q1019
Malawi	98	Q1020
Malaysia	97	Q833
Maldives	99	Q826
Mali	80	Q912
Mauritania	87	Q1025
Mexico	99	Q96
Mongolia	99	Q711
Montenegro	92	Q236
Morocco	89	Q1028
Mozambique	94	Q1029
Myanmar	81	Q836
Namibia	97	Q1030
Nepal	84	Q837
Nigeria	67	Q1033
Oman	99	Q842
Pakistan	86	Q843
Panama	93	Q804
Papua New Guinea	76	Q691
Paraguay	99	Q733
Peru	97	Q419
Philippines	94	Q928
Romania	76	Q218
Rwanda	98	Q1037
Samoa	93	Q683
Sao Tome and Principe	98	Q1039
Senegal	97	Q1041
Serbia	98	Q403
Sierra Leone	97	Q1044
Solomon Islands	89	Q685
South Africa	94	Q258
South Sudan	62	Q958
Sri Lanka	99	Q854
Sudan	79	Q1049
Tajikistan	92	Q863
Tanzania	98	Q924
Thailand	98	Q869
Timor-Leste	84	Q574
Togo	52	Q945
Turkey	97	Q43
Turkmenistan	100	Q874
Uganda	97	Q1036
Uruguay	97	Q77
Uzbekistan	99	Q265
Vanuatu	76	Q686
Venezuela, RB	98	Q717
Vietnam	96	Q881
West Bank and Gaza	99	Q407199
Yemen, Rep.	60	Q805
Zambia	97	Q953
Zimbabwe	93	Q954
