Country	Land area (2000-02)	Land area (2014-16)	Irrigated (2014-16)	ID
Afghanistan	58	58	6.5	Q889
Albania	42	43	19.6	Q222
Algeria	17	17	2.8	Q262
Armenia	49	59	9.2	Q399
Australia	58	48	0.6	Q408
Austria	35	32	1.4	Q40
Azerbaijan	57	58	29.8	Q227
Bangladesh	72	71	59.7	Q902
Belarus	44	42	0.4	Q184
Bolivia	34	35	0.7	Q750
Botswana	46	46	0	Q963
Canada	7	7	1.4	Q16
Channel Islands	37	46	3.7	Q42314
Croatia	21	28	1	Q224
Cyprus	15	12	22.3	Q229
Czech Republic	55	45	0.5	Q213
Denmark	63	62	4.8	Q35
Ecuador	30	22	16.1	Q736
El Salvador	75	76	1.4	Q792
Estonia	16	23	0.2	Q191
Germany	49	48	2.7	Q183
Ghana	64	69	0.2	Q117
Greece	65	48	19.7	Q41
Hungary	65	58	1.8	Q28
Iran, Islamic Rep.	39	28	16.6	Q794
Israel	26	25	32.8	Q801
Japan	13	12	34.8	Q17
Jordan	12	12	10	Q810
Kyrgyz Republic	56	55	9.5	Q813
Lao PDR	8	10	11.5	Q819
Latvia	26	31	0	Q211
Lithuania	46	47	0.1	Q37
Malaysia	21	26	5.2	Q833
Malta	31	32	33.7	Q233
Mauritius	49	42	19.5	Q1027
Mexico	55	55	5.5	Q96
Netherlands	58	53	11.2	Q55
New Zealand	46	40	6.5	Q664
Norway	3	3	3.3	Q20
Oman	4	5	5.9	Q842
Pakistan	48	48	50.5	Q843
Poland	55	47	0.9	Q36
Portugal	42	39	13.1	Q45
Romania	64	59	1.1	Q218
Slovak Republic	47	39	1.2	Q214
Slovenia	25	31	0.5	Q215
Spain	59	53	13.8	Q29
Switzerland	39	38	2.2	Q39
Turkey	54	50	13.5	Q43
Ukraine	71	72	0.8	Q212
United Arab Emirates	8	5	21.6	Q878
Uruguay	85	83	1.5	Q77
