Country	Population (2000)	Population (2016)	ID
Afghanistan	8.8	32.4	Q889
Albania	39.8	77.4	Q222
Algeria	86.5	92.6	Q262
Andorra	100	100	Q228
Angola	37.3	48.1	Q916
Antigua and Barbuda	96.7	98.8	Q781
Argentina	94.8	98.4	Q414
Armenia	82	96.9	Q399
Australia	100	100	Q408
Austria	100	100	Q40
Azerbaijan	73.2	95.5	Q227
Bahamas, The	100	100	Q778
Bahrain	100	100	Q398
Bangladesh	7.2	17.7	Q902
Barbados	97.4	99.4	Q244
Belarus	93.7	98.2	Q184
Belgium	100	100	Q31
Belize	78.2	85.4	Q242
Benin	1.8	6.4	Q962
Bhutan	31.7	52.5	Q917
Bolivia	65.3	64	Q750
Bosnia and Herzegovina	38.1	63.4	Q225
Botswana	45.1	64.1	Q963
Brazil	86.9	95.6	Q155
Brunei Darussalam	100	100	Q921
Bulgaria	65	88.7	Q219
Burkina Faso	2.8	8.9	Q965
Burundi	0.6	0.8	Q967
Cabo Verde	56.8	71.1	Q1011
Cambodia	4.7	17.7	Q424
Cameroon	9.9	23	Q1009
Canada	100	100	Q16
Central African Republic	0.6	1	Q929
Chad	3.3	3.1	Q657
Chile	86.1	92.3	Q298
China	46.8	59.3	Q148
Colombia	79.6	91.8	Q739
Comoros	0.6	9.3	Q970
Congo, Dem. Rep.	3.6	4	Q974
Congo, Rep.	10	24.1	Q971
Costa Rica	87.8	93.5	Q800
Cote d'Ivoire	18.4	18.2	Q1008
Croatia	80.4	92.7	Q224
Cuba	68.3	79.4	Q241
Cyprus	100	100	Q229
Czech Republic	93.2	97.1	Q213
Denmark	100	100	Q35
Djibouti	5.3	11.5	Q977
Dominica	78.4	90.6	Q784
Dominican Republic	80.2	90.4	Q786
Ecuador	87.2	95.6	Q736
Egypt, Arab Rep.	83.3	97.6	Q79
El Salvador	56.5	86	Q792
Equatorial Guinea	23	34.4	Q983
Eritrea	6.1	16.3	Q986
Estonia	79.4	92.9	Q191
