Country	%	ID
Afghanistan	57	Q889
Albania	65	Q222
Algeria	82	Q262
Angola	82	Q916
Armenia	99	Q399
Azerbaijan	93	Q227
Bangladesh	68	Q902
Belize	85	Q242
Benin	85	Q962
Bolivia	86	Q750
Burundi	89	Q967
Cambodia	68	Q424
Cameroon	86	Q1009
Chad	77	Q657
China	96	Q148
Congo, Dem. Rep.	82	Q974
Congo, Rep.	91	Q971
Cote d'Ivoire	80	Q1008
Egypt, Arab Rep.	93	Q79
Eswatini	90	Q1050
Ethiopia	86	Q115
Gambia, The	69	Q1005
Ghana	64	Q117
Guinea	73	Q1006
Guinea-Bissau	26	Q1007
Guyana	43	Q734
Haiti	8	Q790
India	93	Q668
Indonesia	92	Q252
Iraq	68	Q796
Kazakhstan	94	Q232
Kenya	95	Q114
Kyrgyz Republic	99	Q813
Lao PDR	94	Q819
Lesotho	85	Q1013
Liberia	91	Q1014
Malawi	78	Q1020
Mali	90	Q912
Mauritania	8	Q1025
Mongolia	80	Q711
Myanmar	81	Q836
Namibia	74	Q1030
Nepal	94	Q837
Niger	59	Q1032
Oman	88	Q842
Peru	89	Q419
Philippines	52	Q928
Rwanda	91	Q1037
Samoa	96	Q683
Sao Tome and Principe	91	Q1039
Senegal	62	Q1041
Sierra Leone	85	Q1044
Solomon Islands	88	Q685
South Africa	91	Q258
Sri Lanka	95	Q854
Sudan	34	Q1049
Tajikistan	91	Q863
Tanzania	76	Q924
Thailand	85	Q869
Timor-Leste	84	Q574
Togo	77	Q945
Turkmenistan	100	Q874
Uganda	91	Q1036
Vanuatu	63	Q686
West Bank and Gaza	88	Q407199
Yemen, Rep.	49	Q805
Zambia	88	Q953
