Country	Savings %	ID
Afghanistan	3.6	Q889
Albania	1.5	Q222
Algeria	3.2	Q262
Angola	1.1	Q916
Antigua and Barbuda	1.7	Q781
Argentina	1.4	Q414
Armenia	1.8	Q399
Aruba	0.8	Q21203
Australia	0.9	Q408
Austria	0.4	Q40
Azerbaijan	2.2	Q227
Bahamas, The	0.9	Q778
Bahrain	3.5	Q398
Bangladesh	1.2	Q902
Barbados	1.1	Q244
Belarus	3.2	Q184
Belgium	0.6	Q31
Belize	1.1	Q242
Benin	2.2	Q962
Bhutan	2.3	Q917
Bolivia	2.2	Q750
Bosnia and Herzegovina	4.7	Q225
Botswana	1.5	Q963
Brazil	1	Q155
Brunei Darussalam	2.8	Q921
Bulgaria	2.2	Q219
Burkina Faso	1.1	Q965
Burundi	0.6	Q967
Cabo Verde	0.9	Q1011
Cambodia	1.5	Q424
Cameroon	0.8	Q1009
Canada	1.1	Q16
Cayman Islands	0.7	Q5785
Central African Republic	0.6	Q929
Chad	0.2	Q657
Chile	1.1	Q298
China	3.1	Q148
Hong Kong SAR, China	0.4	Q8646
Macao SAR, China	0	Q14773
Colombia	1	Q739
Comoros	0.5	Q970
Congo, Dem. Rep.	0.5	Q974
Congo, Rep.	1.5	Q971
Costa Rica	0.5	Q800
Cote d'Ivoire	1.4	Q1008
Croatia	1	Q224
Cuba	1.3	Q241
Cyprus	0.9	Q229
Czech Republic	1.4	Q213
Denmark	0.3	Q35
Djibouti	0.8	Q977
Dominica	0.9	Q784
Dominican Republic	1	Q786
Ecuador	1.5	Q736
Egypt, Arab Rep.	3.2	Q79
El Salvador	0.9	Q792
Equatorial Guinea	1.2	Q983
Estonia	2.8	Q191
Eswatini	0.9	Q1050
Ethiopia	0.6	Q115
Fiji	0.9	Q712
Finland	0.6	Q33
France	0.4	Q142
Gabon	1.2	Q1000
Gambia, The	1.5	Q1005
Georgia	2.3	Q230
Germany	0.6	Q183
Ghana	0.9	Q117
Greece	1.1	Q41
Grenada	1	Q769
Guatemala	0.9	Q774
Guinea	1.1	Q1006
Guinea-Bissau	0.8	Q1007
Guyana	2.1	Q734
Haiti	1.1	Q790
Honduras	1.7	Q783
Hungary	1	Q28
Iceland	0.3	Q189
India	3.9	Q668
Indonesia	1.9	Q252
Iran, Islamic Rep.	5.8	Q794
Iraq	3.2	Q796
Ireland	0.5	Q27
Israel	0.6	Q801
Italy	0.5	Q38
Jamaica	1.5	Q766
Japan	0.8	Q17
Jordan	2.2	Q810
Kazakhstan	5.7	Q232
Kenya	0.7	Q114
Kiribati	0.7	Q710
Korea, Rep.	1.4	Q884
Kosovo	3570.8	Q1246
Kuwait	2.2	Q817
Kyrgyz Republic	5.5	Q813
Lao PDR	0.5	Q819
Latvia	0.8	Q211
Lebanon	1.6	Q822
Lesotho	2.6	Q1013
Liberia	1.1	Q1014
Libya	6	Q1016
Lithuania	0.9	Q37
Luxembourg	0.7	Q32
Madagascar	1.1	Q1019
Malawi	0.7	Q1020
Malaysia	2.9	Q833
Maldives	1.3	Q826
Mali	0.4	Q912
Malta	0.7	Q233
Marshall Islands	1.5	Q709
Mauritania	2.2	Q1025
Mauritius	1	Q1027
Mexico	1.5	Q96
Micronesia, Fed. Sts.	1.5	Q702
Moldova	1.4	Q217
Mongolia	9.1	Q711
Montenegro	1.5	Q236
Morocco	2	Q1028
Mozambique	3.1	Q1029
Myanmar	1.1	Q836
Namibia	1	Q1030
Nepal	1.6	Q837
Netherlands	0.7	Q55
New Zealand	0.7	Q664
Nicaragua	1.3	Q811
Niger	1.4	Q1032
Nigeria	0.7	Q1033
North Macedonia	1.8	Q221
Norway	0.4	Q20
Oman	3.3	Q842
Pakistan	2	Q843
Palau	3.4	Q695
Panama	0.6	Q804
Papua New Guinea	1	Q691
Paraguay	0.6	Q733
Peru	1.2	Q419
Philippines	1.2	Q928
Poland	1.8	Q36
Portugal	0.6	Q45
Puerto Rico	0.2	Q1183
Qatar	1.8	Q846
Romania	1	Q218
Russian Federation	3.5	Q159
Rwanda	0.4	Q1037
Samoa	1.1	Q683
Sao Tome and Principe	1.1	Q1039
Saudi Arabia	2.9	Q851
Senegal	2	Q1041
Seychelles	0.9	Q1042
Sierra Leone	1.1	Q1044
Singapore	0.7	Q334
Slovak Republic	0.9	Q214
Slovenia	0.9	Q215
Solomon Islands	0.5	Q685
South Africa	4.7	Q258
Spain	0.5	Q29
Sri Lanka	0.8	Q854
St. Kitts and Nevis	0.9	Q763
St. Lucia	0.8	Q760
St. Vincent and the Grenadines	0.9	Q757
Sudan	1.5	Q1049
Suriname	1.9	Q730
Sweden	0.3	Q34
Switzerland	0.2	Q39
Tajikistan	2.5	Q863
Tanzania	1	Q924
Thailand	2.6	Q869
Timor-Leste	0.9	Q574
Togo	2.5	Q945
Tonga	0.9	Q678
Trinidad and Tobago	6.5	Q754
Tunisia	2.7	Q948
Turkey	1.9	Q43
Turkmenistan	6	Q874
Turks and Caicos Islands	1	Q18221
Tuvalu	0.7	Q672
Uganda	0.9	Q1036
Ukraine	5.3	Q212
United Arab Emirates	2.2	Q878
United Kingdom	0.5	Q145
United States	0.9	Q30
Uruguay	0.4	Q77
Uzbekistan	6.1	Q265
Vanuatu	0.8	Q686
Vietnam	3.3	Q881
Zambia	0.7	Q953
Zimbabwe	1.3	Q954
