Country	Manufactoring %	ID
Albania	46	Q222
Argentina	37	Q414
Australia	51	Q408
Austria	54	Q40
Azerbaijan	37	Q227
Bahamas, The	17	Q778
Bahrain	72	Q398
Bangladesh	21	Q902
Belgium	44	Q31
Bermuda	73	Q23635
Bolivia	54	Q750
Botswana	75	Q963
Brazil	45	Q155
Bulgaria	41	Q219
Cambodia	7	Q424
Cameroon	43	Q1009
Canada	45	Q16
China	48	Q148
Hong Kong SAR, China	58	Q8646
Macao SAR, China	18	Q14773
Colombia	39	Q739
Congo, Dem. Rep.	14	Q974
Congo, Rep.	14	Q971
Costa Rica	33	Q800
Croatia	60	Q224
Cyprus	46	Q229
Czech Republic	51	Q213
Denmark	48	Q35
Ecuador	64	Q736
Egypt, Arab Rep.	35	Q79
El Salvador	25	Q792
Eritrea	21	Q986
Estonia	53	Q191
Ethiopia	22	Q115
Fiji	19	Q712
Finland	54	Q33
France	45	Q142
Georgia	43	Q230
Germany	47	Q183
Ghana	95	Q117
Greece	41	Q41
Hungary	43	Q28
Iceland	49	Q189
India	38	Q668
Indonesia	35	Q252
Iran, Islamic Rep.	45	Q794
Ireland	29	Q27
Israel	41	Q801
Italy	48	Q38
Japan	41	Q17
Jordan	43	Q810
Kenya	55	Q114
Korea, Rep.	33	Q884
Kuwait	82	Q817
Kyrgyz Republic	60	Q813
Lao PDR	28	Q819
Latvia	51	Q211
Lebanon	55	Q822
Lithuania	40	Q37
Luxembourg	68	Q32
Madagascar	62	Q1019
Malawi	15	Q1020
Malaysia	42	Q833
Malta	36	Q233
Mauritius	26	Q1027
Mexico	31	Q96
Moldova	21	Q217
Mongolia	9	Q711
Morocco	32	Q1028
Nepal	24	Q837
Netherlands	46	Q55
New Zealand	54	Q664
Niger	34	Q1032
North Macedonia	38	Q221
Norway	47	Q20
Oman	76	Q842
Pakistan	25	Q843
Panama	32	Q804
Papua New Guinea	35	Q691
Paraguay	18	Q733
Peru	37	Q419
Philippines	32	Q928
Poland	66	Q36
Portugal	48	Q45
Puerto Rico	20	Q1183
Qatar	67	Q846
Romania	38	Q218
Russian Federation	50	Q159
Rwanda	17	Q1037
Saudi Arabia	44	Q851
Senegal	38	Q1041
Serbia	41	Q403
Singapore	25	Q334
Slovak Republic	59	Q214
Slovenia	54	Q215
South Africa	59	Q258
Spain	51	Q29
Sri Lanka	22	Q854
Sudan	21	Q1049
Sweden	48	Q34
Switzerland	54	Q39
Syrian Arab Republic	54	Q858
Tanzania	46	Q924
Thailand	38	Q869
Trinidad and Tobago	51	Q754
Tunisia	33	Q948
Turkey	42	Q43
Uganda	21	Q1036
United Kingdom	47	Q145
United States	42	Q30
Uruguay	41	Q77
Venezuela, RB	41	Q717
Vietnam	31	Q881
West Bank and Gaza	41	Q407199
Yemen, Rep.	48	Q805
