Country	Both sexes	Male	Female	ID
Afghanistan	51244	26828	24416	Q889
Albania	14930	8095	6835	Q222
Algeria	69173	34779	34394	Q262
Angola	22541	9979	12563	Q916
Antigua and Barbuda	212	104	108	Q781
Argentina	91028	45216	45812	Q414
Armenia	12288	5813	6475	Q399
Australia	44042	21392	22650	Q408
Austria	33017	14328	18689	Q40
Azerbaijan	32390	16567	15823	Q227
Bahamas	727	359	368	Q778
Bahrain	775	458	317	Q398
Bangladesh	257555	134721	122834	Q902
Barbados	947	450	498	Q244
Belarus	73656	32704	40951	Q184
Belgium	30963	13936	17026	Q31
Belize	514	290	224	Q242
Benin	13423	6085	7337	Q962
Bhutan	1330	717	612	Q917
Bolivia (Plurinational State of)	16707	8834	7873	Q750
Bosnia and Herzegovina	20279	9298	10982	Q225
Botswana	2910	1239	1671	Q963
Brazil	369072	195757	173315	Q155
Brunei Darussalam	472	257	216	Q921
Bulgaria	67831	32262	35569	Q219
Burkina Faso	20377	8802	11575	Q965
Burundi	11079	5412	5667	Q967
Cabo Verde	1059	476	583	Q1011
Cambodia	22536	9744	12792	Q424
Cameroon	28623	14028	14596	Q1009
Canada	63683	32350	31333	Q16
Central African Republic	6817	3008	3809	Q929
Chad	17615	8620	8995	Q657
Chile	29698	15050	14647	Q298
China	4475660	2252404	2223257	Q148
Colombia	83987	45244	38743	Q739
Comoros	989	511	477	Q970
Congo	5516	2272	3245	Q971
Costa Rica	7227	3931	3296	Q800
Côte d'Ivoire	42677	22687	19990	Q1008
Croatia	23084	9990	13094	Q224
Cuba	35062	18336	16725	Q241
Cyprus	2825	1462	1364	Q229
Czechia	47334	22106	25228	Q213
Democratic People's Republic of Korea	88090	46015	42075	Q423
Democratic Republic of the Congo	76221	32935	43285	Q974
Denmark	12484	6279	6204	Q35
Djibouti	1395	725	669	Q977
Dominican Republic	22897	12249	10648	Q786
Ecuador	19848	10531	9316	Q736
Egypt	245904	122008	123896	Q79
El Salvador	9790	4906	4884	Q792
Equatorial Guinea	1496	769	727	Q983
Eritrea	6617	3358	3258	Q986
Estonia	7840	3094	4746	Q191
Eswatini	1648	663	986	Q1050
Ethiopia	109500	56163	53336	Q115
Fiji	2183	1372	811	Q712
Finland	19060	9389	9671	Q33
France	143401	65337	78064	Q142
Gabon	2518	1076	1442	Q1000
Gambia	2259	1186	1073	Q1005
Georgia	36308	16906	19403	Q230
Germany	343531	154581	188950	Q183
Ghana	42231	13309	28922	Q117
Greece	46098	21282	24816	Q41
Grenada	248	116	133	Q769
Guatemala	13841	6767	7074	Q774
Guinea	17388	7870	9518	Q1006
Guinea-Bissau	2080	922	1157	Q1007
Guyana	2258	1156	1102	Q734
Haiti	26617	12642	13974	Q790
Honduras	9886	6088	3799	Q783
Hungary	61463	27329	34135	Q28
Iceland	714	377	337	Q189
