Country	Revenue % (2010)	Revenue % (2018)	ID
Afghanistan	3	9	Q889
Albania	56	53	Q222
Angola	6	7	Q916
Argentina	29	33	Q414
Armenia	43	40	Q399
Australia	24	20	Q408
Austria	27	27	Q40
Azerbaijan	14	18	Q227
Bahamas, The	29	62	Q778
Bangladesh	30	32	Q902
Barbados	45	46	Q244
Belarus	32	27	Q184
Belgium	25	26	Q31
Belize	32	48	Q242
Bhutan	12	24	Q917
Bosnia and Herzegovina	45	44	Q225
Botswana	15	14	Q963
Brazil	23	21	Q155
Bulgaria	45	42	Q219
Burkina Faso	36	45	Q965
Cabo Verde	27	30	Q1011
Cambodia	35	48	Q424
Cameroon	30	43	Q1009
Central African Republic	31	12	Q929
Chile	45	47	Q298
China	63	33	Q148
Macao SAR, China	89	83	Q14773
Colombia	27	27	Q739
Congo, Rep.	5	12	Q971
Costa Rica	33	27	Q800
Cote d'Ivoire	21	37	Q1008
Croatia	46	48	Q224
Cyprus	34	38	Q229
Czech Republic	29	29	Q213
Denmark	37	37	Q35
Dominican Republic	57	52	Q786
Egypt, Arab Rep.	24	26	Q79
El Salvador	40	40	Q792
Equatorial Guinea	2	7	Q983
Estonia	35	37	Q191
Ethiopia	9	30	Q115
Fiji	41	46	Q712
Finland	37	39	Q33
France	22	23	Q142
Gabon	7	10	Q1000
Georgia	51	56	Q230
Germany	25	21	Q183
Ghana	28	32	Q117
Greece	31	33	Q41
Guatemala	57	55	Q774
Honduras	41	48	Q783
Hungary	37	38	Q28
Iceland	30	29	Q189
India	22	32	Q668
Indonesia	31	36	Q252
Ireland	33	31	Q27
Israel	35	34	Q801
Italy	23	24	Q38
Jamaica	42	48	Q766
Japan	37	35	Q17
Jordan	45	39	Q810
Kazakhstan	15	21	Q232
Kiribati	0	12	Q710
Korea, Rep.	28	21	Q884
Kuwait	0	1	Q817
Latvia	38	44	Q211
Lebanon	46	35	Q822
Lesotho	24	31	Q1013
Lithuania	34	34	Q37
Luxembourg	30	28	Q32
Madagascar	43	43	Q1019
Malawi	30	38	Q1020
Malaysia	17	19	Q833
Mali	30	46	Q912
Malta	37	35	Q233
Marshall Islands	9	10	Q709
Mauritius	55	58	Q1027
Mexico	26	29	Q96
Micronesia, Fed. Sts.	4	3	Q702
Moldova	48	47	Q217
Mongolia	29	32	Q711
Morocco	46	45	Q1028
Mozambique	36	33	Q1029
Myanmar	11	24	Q836
Namibia	24	21	Q1030
Nepal	41	46	Q837
Netherlands	27	27	Q55
New Zealand	27	29	Q664
Nicaragua	52	45	Q811
North Macedonia	41	43	Q221
Norway	25	25	Q20
Palau	14	25	Q695
Paraguay	40	40	Q733
Peru	39	37	Q419
Philippines	24	27	Q928
Poland	38	37	Q36
Portugal	31	33	Q45
Romania	36	33	Q218
Russian Federation	21	22	Q159
Samoa	45	47	Q683
San Marino	25	20	Q238
Saudi Arabia	3	23	Q851
Seychelles	38	50	Q1042
Singapore	26	21	Q334
Slovak Republic	30	30	Q214
Slovenia	35	35	Q215
Solomon Islands	20	15	Q685
South Africa	35	34	Q258
Spain	43	47	Q29
Sri Lanka	43	55	Q854
St. Kitts and Nevis	15	24	Q763
St. Lucia	15	35	Q760
St. Vincent and the Grenadines	46	43	Q757
Sudan	25	60	Q1049
Sweden	39	38	Q34
Switzerland	33	30	Q39
Tanzania	32	43	Q924
Thailand	40	42	Q869
Timor-Leste	1	6	Q574
Togo	36	40	Q945
Tonga	35	33	Q678
Trinidad and Tobago	16	19	Q754
Turkey	39	35	Q43
Ukraine	31	44	Q212
United Arab Emirates	7	1	Q878
United Kingdom	32	33	Q145
United States	3	3	Q30
Uruguay	40	28	Q77
Uzbekistan	27	45	Q265
Vanuatu	47	35	Q686
West Bank and Gaza	34	44	Q407199
Zambia	30	38	Q953
Zimbabwe	29	41	Q954
