Country	Primary	Secondary	ID
Afghanistan	49	34	Q889
Albania	18	11	Q222
Andorra	10	8	Q228
Antigua and Barbuda	12	9	Q781
Armenia	15	8	Q399
Austria	10	9	Q40
Azerbaijan	15	8	Q227
Bahamas, The	19	12	Q778
Bahrain	12	10	Q398
Bangladesh	30	35	Q902
Barbados	14	18	Q244
Belarus	19	9	Q184
Belgium	11	9	Q31
Belize	20	17	Q242
Benin	39	11	Q962
Bhutan	35	11	Q917
Bolivia	18	18	Q750
Bosnia and Herzegovina	17	9	Q225
Brazil	20	17	Q155
Brunei Darussalam	10	8	Q921
Bulgaria	15	13	Q219
Burkina Faso	40	23	Q965
Burundi	43	27	Q967
Cabo Verde	21	15	Q1011
Cameroon	45	19	Q1009
Cayman Islands	16	11	Q5785
Central African Republic	83	32	Q929
Chad	57	27	Q657
Chile	18	18	Q298
China	16	13	Q148
Hong Kong SAR, China	13	11	Q8646
Macao SAR, China	13	10	Q14773
Colombia	23	26	Q739
Comoros	28	8	Q970
Costa Rica	12	12	Q800
Cote d'Ivoire	42	27	Q1008
Croatia	14	7	Q224
Cuba	9	10	Q241
Cyprus	12	8	Q229
Djibouti	29	25	Q977
Dominican Republic	19	19	Q786
Ecuador	24	21	Q736
Egypt, Arab Rep.	24	15	Q79
El Salvador	27	28	Q792
Eritrea	39	35	Q986
Estonia	11	9	Q191
Eswatini	27	16	Q1050
Finland	14	14	Q33
Georgia	9	8	Q230
Germany	12	12	Q183
Ghana	27	16	Q117
Greece	9	9	Q41
Grenada	16	13	Q769
Guatemala	20	10	Q774
Honduras	26	17	Q783
Hungary	11	10	Q28
India	33	29	Q668
Indonesia	17	15	Q252
Iran, Islamic Rep.	29	19	Q794
Italy	11	10	Q38
Jamaica	25	17	Q766
Japan	16	11	Q17
Jordan	19	12	Q810
Kazakhstan	20	7	Q232
Korea, Rep.	16	13	Q884
Kyrgyz Republic	25	11	Q813
Lao PDR	22	18	Q819
Latvia	12	8	Q211
Lebanon	12	8	Q822
Lesotho	33	25	Q1013
Liechtenstein	8	10	Q347
Lithuania	14	8	Q37
Luxembourg	8	9	Q32
Madagascar	40	19	Q1019
Malawi	59	72	Q1020
Malaysia	12	11	Q833
Mali	38	17	Q912
Malta	13	7	Q233
Mauritania	34	26	Q1025
Mauritius	16	11	Q1027
Mexico	27	17	Q96
Moldova	18	10	Q217
Monaco	11	9	Q235
Morocco	27	19	Q1028
Mozambique	55	37	Q1029
Myanmar	24	27	Q836
Nepal	20	28	Q837
Netherlands	12	15	Q55
New Zealand	15	14	Q664
Niger	36	30	Q1032
North Macedonia	15	9	Q221
Norway	9	9	Q20
Oman	10	10	Q842
Pakistan	44	20	Q843
Panama	22	14	Q804
Papua New Guinea	36	34	Q691
Peru	17	14	Q419
Philippines	29	24	Q928
Poland	10	9	Q36
Portugal	12	10	Q45
Puerto Rico	14	17	Q1183
Qatar	12	11	Q846
Romania	19	12	Q218
Rwanda	60	28	Q1037
San Marino	7	6	Q238
Sao Tome and Principe	31	25	Q1039
Saudi Arabia	14	12	Q851
Senegal	36	19	Q1041
Serbia	14	8	Q403
Seychelles	14	11	Q1042
Sierra Leone	28	22	Q1044
Singapore	15	11	Q334
Slovak Republic	16	11	Q214
Slovenia	14	10	Q215
Spain	13	12	Q29
Sri Lanka	22	18	Q854
St. Kitts and Nevis	14	8	Q763
St. Lucia	15	11	Q760
St. Vincent and the Grenadines	14	14	Q757
Sweden	12	13	Q34
Switzerland	10	10	Q39
Tanzania	51	21	Q924
Thailand	17	26	Q869
Timor-Leste	27	27	Q574
Turkey	17	17	Q43
Turks and Caicos Islands	18	10	Q18221
Tuvalu	16	9	Q672
Ukraine	13	7	Q212
United Arab Emirates	25	10	Q878
United Kingdom	15	17	Q145
United States	14	15	Q30
Uzbekistan	22	10	Q265
West Bank and Gaza	24	17	Q407199
