Country	Modeled estimates	ID
Afghanistan	673	Q889
Albania	16	Q222
Algeria	113	Q262
Angola	246	Q916
Antigua and Barbuda	43	Q781
Argentina	40	Q414
Armenia	26	Q399
Australia	6	Q408
Austria	5	Q40
Azerbaijan	26	Q227
Bahamas, The	72	Q778
Bahrain	15	Q398
Bangladesh	186	Q902
Barbados	30	Q244
Belarus	3	Q184
Belgium	5	Q31
Belize	39	Q242
Benin	408	Q962
Bhutan	193	Q917
Bolivia	161	Q750
Bosnia and Herzegovina	10	Q225
Botswana	151	Q963
Brazil	62	Q155
Brunei Darussalam	31	Q921
Bulgaria	10	Q219
Burkina Faso	331	Q965
Burundi	558	Q967
Cabo Verde	59	Q1011
Cambodia	168	Q424
Cameroon	538	Q1009
Canada	10	Q16
Central African Republic	890	Q929
Chad	1140	Q657
Chile	13	Q298
China	29	Q148
Colombia	84	Q739
Comoros	279	Q970
Congo, Dem. Rep.	481	Q974
Congo, Rep.	397	Q971
Costa Rica	28	Q800
Cote d'Ivoire	636	Q1008
Croatia	7	Q224
Cuba	37	Q241
Cyprus	6	Q229
Czech Republic	4	Q213
Denmark	4	Q35
Djibouti	246	Q977
Dominican Republic	94	Q786
Ecuador	61	Q736
Egypt, Arab Rep.	38	Q79
El Salvador	47	Q792
Equatorial Guinea	301	Q983
Eritrea	498	Q986
Estonia	11	Q191
Eswatini	436	Q1050
Ethiopia	422	Q115
Fiji	34	Q712
Finland	3	Q33
France	8	Q142
Gabon	256	Q1000
Gambia, The	611	Q1005
Georgia	26	Q230
Germany	5	Q183
Ghana	314	Q117
Greece	3	Q41
Grenada	25	Q769
Guatemala	98	Q774
Guinea	621	Q1006
Guinea-Bissau	679	Q1007
Guyana	170	Q734
Haiti	489	Q790
Honduras	65	Q783
Hungary	12	Q28
Iceland	4	Q189
India	150	Q668
Indonesia	184	Q252
Iran, Islamic Rep.	16	Q794
Iraq	78	Q796
Ireland	6	Q27
Israel	3	Q801
Italy	2	Q38
Jamaica	80	Q766
Japan	5	Q17
Jordan	47	Q810
Kazakhstan	10	Q232
Kenya	346	Q114
Kiribati	94	Q710
Korea, Dem. Peopleâ€™s Rep.	90	Q423
Korea, Rep.	11	Q884
Kuwait	12	Q817
Kyrgyz Republic	63	Q813
Lao PDR	196	Q819
Latvia	26	Q211
Lebanon	29	Q822
Lesotho	559	Q1013
Liberia	661	Q1014
Libya	73	Q1016
Lithuania	8	Q37
Luxembourg	5	Q32
Madagascar	348	Q1019
Malawi	358	Q1020
Malaysia	29	Q833
Maldives	54	Q826
Mali	590	Q912
Malta	6	Q233
Mauritania	777	Q1025
Mauritius	67	Q1027
Mexico	34	Q96
Micronesia, Fed. Sts.	90	Q702
Moldova	20	Q217
Mongolia	46	Q711
Montenegro	6	Q236
Morocco	72	Q1028
Mozambique	301	Q1029
Myanmar	245	Q836
Namibia	207	Q1030
Nepal	200	Q837
Netherlands	6	Q55
New Zealand	10	Q664
Nicaragua	100	Q811
Niger	530	Q1032
Nigeria	925	Q1033
North Macedonia	8	Q221
Norway	3	Q20
Oman	19	Q842
Pakistan	143	Q843
Panama	55	Q804
Papua New Guinea	148	Q691
Paraguay	130	Q733
Peru	91	Q419
Philippines	124	Q928
Poland	2	Q36
Portugal	9	Q45
Puerto Rico	20	Q1183
Qatar	9	Q846
Romania	21	Q218
Russian Federation	18	Q159
Rwanda	260	Q1037
Samoa	44	Q683
Sao Tome and Principe	130	Q1039
Saudi Arabia	17	Q851
Senegal	330	Q1041
Serbia	12	Q403
Seychelles	54	Q1042
Sierra Leone	1120	Q1044
Singapore	8	Q334
Slovak Republic	6	Q214
Slovenia	7	Q215
Solomon Islands	108	Q685
Somalia	865	Q1045
South Africa	122	Q258
South Sudan	1130	Q958
Spain	4	Q29
Sri Lanka	36	Q854
St. Lucia	117	Q760
St. Vincent and the Grenadines	67	Q757
Sudan	308	Q1049
Suriname	121	Q730
Sweden	4	Q34
Switzerland	5	Q39
Syrian Arab Republic	30	Q858
Tajikistan	17	Q863
Tanzania	539	Q924
Thailand	37	Q869
Timor-Leste	152	Q574
Togo	395	Q945
Tonga	53	Q678
Trinidad and Tobago	68	Q754
Tunisia	45	Q948
Turkey	18	Q43
Turkmenistan	8	Q874
Uganda	381	Q1036
Ukraine	20	Q212
United Arab Emirates	3	Q878
United Kingdom	7	Q145
United States	19	Q30
Uruguay	18	Q77
Uzbekistan	29	Q265
Vanuatu	74	Q686
Venezuela, RB	121	Q717
Vietnam	44	Q881
West Bank and Gaza	29	Q407199
Yemen, Rep.	165	Q805
Zambia	222	Q953
Zimbabwe	468	Q954
