Country	lending rate minus deposit rate	ID
Albania	5.8	Q222
Algeria	6.3	Q262
Angola	12.9	Q916
Antigua and Barbuda	7	Q781
Argentina	20	Q414
Armenia	3.7	Q399
Aruba	3.5	Q21203
Australia	3.5	Q408
Azerbaijan	7.6	Q227
Bahamas, The	3.7	Q778
Bangladesh	2.8	Q902
Barbados	7.9	Q244
Belarus	2.5	Q184
Belize	7.1	Q242
Benin	-1.4	Q962
Bhutan	11.8	Q917
Bolivia	5.2	Q750
Bosnia and Herzegovina	2.4	Q225
Botswana	4.8	Q963
Brazil	32	Q155
Brunei Darussalam	5.1	Q921
Bulgaria	4.5	Q219
Burkina Faso	-1.4	Q965
Canada	2.6	Q16
Cabo Verde	7.7	Q1011
Chile	1.5	Q298
China	2.9	Q148
Hong Kong SAR, China	5	Q8646
Macao SAR, China	5.1	Q14773
Colombia	7.3	Q739
Comoros	8.8	Q970
Congo, Dem. Rep.	21.2	Q974
Costa Rica	4.1	Q800
Cote d'Ivoire	-1.4	Q1008
Czech Republic	3.3	Q213
Dominica	5.8	Q784
Dominican Republic	7.8	Q786
Egypt, Arab Rep.	5.2	Q79
Fiji	2.4	Q712
Gambia, The	19	Q1005
Georgia	2.1	Q230
Grenada	6.2	Q769
Guatemala	7.7	Q774
Guinea-Bissau	-1.4	Q1007
Guyana	9.6	Q734
Haiti	6	Q790
Honduras	8.9	Q783
Hungary	1.7	Q28
Indonesia	3.7	Q252
Israel	2.9	Q801
Jamaica	10.9	Q766
Japan	0.7	Q17
Jordan	3.7	Q810
Kenya	4.8	Q114
Korea, Rep.	1.6	Q884
Kosovo	5.3	Q1246
Kuwait	2.9	Q817
Kyrgyz Republic	17.5	Q813
Lebanon	0.8	Q822
Lesotho	9.7	Q1013
Liberia	8.2	Q1014
North Macedonia	3.7	Q221
Madagascar	36	Q1019
Malaysia	1.9	Q833
Maldives	8	Q826
Mali	-1.4	Q912
Mauritania	11.3	Q1025
Mauritius	4.7	Q1027
Mexico	4.9	Q96
Micronesia, Fed. Sts.	15.3	Q702
Moldova	3.6	Q217
Mongolia	6	Q711
Mozambique	9.9	Q1029
Myanmar	7.8	Q836
Namibia	4.2	Q1030
New Zealand	1.5	Q664
Nicaragua	9.4	Q811
Niger	-1.4	Q1032
Nigeria	6.5	Q1033
Oman	1.7	Q842
Pakistan	3.1	Q843
Panama	5.4	Q804
Papua New Guinea	7.8	Q691
Paraguay	14.1	Q733
Peru	12.3	Q419
Philippines	3	Q928
Qatar	1.4	Q846
Romania	5.4	Q218
Russian Federation	3.3	Q159
Rwanda	8.9	Q1037
Samoa	6.2	Q683
San Marino	0.6	Q238
Sao Tome and Principe	16.1	Q1039
Senegal	-1.4	Q1041
Seychelles	9	Q1042
Sierra Leone	13.9	Q1044
Singapore	5.1	Q334
Solomon Islands	10.4	Q685
South Africa	3.1	Q258
South Sudan	15.6	Q958
Sri Lanka	2.5	Q854
St. Kitts and Nevis	6.5	Q763
St. Lucia	6.2	Q760
St. Vincent and the Grenadines	6.5	Q757
Suriname	6	Q730
Eswatini	6.4	Q1050
Switzerland	3	Q39
Tajikistan	23.4	Q863
Tanzania	9.7	Q924
Thailand	2.7	Q869
Timor-Leste	14.7	Q574
Togo	-1.4	Q945
Tonga	5.5	Q678
Trinidad and Tobago	7.8	Q754
Uganda	10.5	Q1036
Ukraine	6.9	Q212
Uruguay	6.5	Q77
Uzbekistan	7.5	Q265
Vanuatu	1.8	Q686
Venezuela, RB	6.3	Q717
Vietnam	2.7	Q881
West Bank and Gaza	4.4	Q407199
Zambia	2	Q953
Zimbabwe	13.2	Q954
