Country	Tons	Change %	ID
Kyrgyz Republic	13794.7	-58.6	Q813
Lao PDR	161718.7	436.8	Q819
Latvia	13943.9	-58.6	Q211
Lesotho	3472.7	84.5	Q1013
Liberia	2833.9	61.7	Q1014
Libya	82129.1	34.5	Q1016
Lithuania	29442.2	-45.8	Q37
Luxembourg	12611	-3.7	Q32
North Macedonia	12992.2	-9.3	Q221
Madagascar	117932.6	143.9	Q1019
Malawi	21632.1	153.4	Q1020
Malaysia	279098.4	40.5	Q833
Mali	77437.9	151.5	Q912
Mauritania	13343.2	123.2	Q1025
Mexico	663425	34.3	Q96
Moldova	11350.6	-70.2	Q217
Mongolia	24860.4	-57.2	Q711
Morocco	80436.7	114.3	Q1028
Mozambique	380308.3	828.9	Q1029
Myanmar	528416.2	-39.6	Q836
Namibia	38049.3	421.2	Q1030
Nepal	40762.7	62.3	Q837
Netherlands	195873.8	-12.7	Q55
New Zealand	78131	18.9	Q664
Nicaragua	16323	59	Q811
Niger	11460.9	65.4	Q1032
Nigeria	301010.1	84.4	Q1033
Northern Mariana Islands	12.5	144.1	Q16644
Norway	63536.7	-5.8	Q20
Oman	62201.6	75.9	Q842
Pakistan	369734.6	114.3	Q843
Panama	16248.8	138.4	Q804
Papua New Guinea	11087.5	-62.4	Q691
Paraguay	50844	-20.3	Q733
Peru	74807	25.6	Q419
Philippines	167297.5	73.6	Q928
Poland	414606.9	-12.5	Q36
Portugal	72524.2	24.6	Q45
Puerto Rico	3293.3	12	Q1183
Qatar	103155.1	369.3	Q846
Romania	121762.2	-50.8	Q218
Russian Federation	2803398.5	-22	Q159
Rwanda	6689.9	105.7	Q1037
Samoa	356.1	24	Q683
Sao Tome and Principe	195.5	100.6	Q1039
Senegal	54185.4	391.9	Q1041
Seychelles	910.3	149.2	Q1042
Sierra Leone	11810.9	22.7	Q1044
Slovak Republic	46301.3	-35.9	Q214
Slovenia	21074.7	5.5	Q215
Solomon Islands	4591.5	-22.2	Q685
Somalia	21916.3	22.1	Q1045
Spain	348257.3	18.7	Q29
Sri Lanka	30451.8	65.7	Q854
St. Lucia	598.8	115.3	Q760
St. Vincent and the Grenadines	319.2	127	Q757
Sudan	491982.3	430.9	Q1049
Suriname	2657.9	-74.7	Q730
Eswatini	3478	53.8	Q1050
Sweden	65767.8	-14.8	Q34
Switzerland	54108.1	-4.1	Q39
Syrian Arab Republic	77118.7	58.7	Q858
Tajikistan	15364.6	-29.1	Q863
Tanzania	235353.1	147.8	Q924
Thailand	440411.7	111.7	Q869
Timor-Leste	959.3	111.8	Q574
Togo	22931.9	71	Q945
Tonga	155.3	24.8	Q678
Tunisia	39721	87.2	Q948
Turkey	445640.1	98.5	Q43
Turkmenistan	92178.1	13.3	Q874
Tuvalu	5.2	30	Q672
Uganda	80725.1	118.8	Q1036
Ukraine	404900.3	-57.5	Q212
United Arab Emirates	204888.7	182.6	Q878
United Kingdom	585779.8	-24.6	Q145
United States	6343840.5	3.4	Q30
Uruguay	34237.8	31.1	Q77
Uzbekistan	177223.8	4.6	Q265
Vanuatu	446.2	3	Q686
Venezuela, RB	281921.4	34.2	Q717
Vietnam	310664.1	213.6	Q881
Virgin Islands (U.S.)	61.5	35.8	Q11703
Yemen, Rep.	40924.6	218.5	Q805
Zambia	320254.2	52.8	Q953
Zimbabwe	72057.8	105.3	Q954
