Country	Value of shares traded (2010)	Value of shares traded (2019)	ID
Argentina	4	7.6	Q414
Australia	77.8	56.1	Q408
Austria	38.8	25.2	Q40
Bahrain	1.4	2.8	Q398
Bangladesh	11.6	20.4	Q902
Barbados	1.5	0.4	Q244
Bermuda	6.8	0.8	Q23635
Brazil	58.8	87.5	Q155
Bulgaria	5.1	1.1	Q219
Canada	64.7	59.5	Q16
Cayman Islands	0.4	0.5	Q5785
Chile	16.9	18	Q298
China	205	223.7	Q148
Hong Kong SAR, China	54.9	37.2	Q8646
Colombia	10.9	10.5	Q739
Costa Rica	2.9	1.7	Q800
Croatia	4.1	1.5	Q224
Cyprus	10.9	1.3	Q229
Czech Republic	78.9	14.6	Q213
Egypt, Arab Rep.	44.2	25.3	Q79
Germany	104.5	64.4	Q183
Greece	60.1	28.8	Q41
Hungary	95.5	26.4	Q28
India	66.2	28.9	Q668
Indonesia	29	22.5	Q252
Iran, Islamic Rep.	19.6	25.3	Q794
Ireland	14.7	29.1	Q27
Israel	47.6	28.8	Q801
Jamaica	5.1	5	Q766
Japan	111.6	82.3	Q17
Jordan	27.9	8	Q810
Kazakhstan	2	0.8	Q232
Kenya	5.5	1.9	Q114
Korea, Rep.	149.3	129.8	Q884
Lebanon	14.8	2.5	Q822
Luxembourg	0.2	0.1	Q32
Malaysia	28.1	26.9	Q833
Malta	1.2	1.9	Q233
Mauritius	4.7	4	Q1027
Mexico	24.5	20.5	Q96
Morocco	8.8	5	Q1028
Namibia	1721.5	3.8	Q1030
Netherlands	84.3	40.8	Q55
New Zealand	4.4	11.6	Q664
Nigeria	10.1	6.2	Q1033
Norway	71.8	34.4	Q20
Oman	11.7	10	Q842
Panama	0.8	2.2	Q804
Peru	3.9	1.6	Q419
Philippines	14.1	10.9	Q928
Poland	36.4	33.2	Q36
Qatar	63	8.3	Q846
Romania	11.8	7.8	Q218
Russian Federation	53.3	22.8	Q159
Saudi Arabia	56.9	9.2	Q851
Singapore	47.2	16.4	Q334
Slovenia	5.1	1.9	Q215
South Africa	30	33.1	Q258
Spain	117.3	62.7	Q29
Sri Lanka	25.1	6	Q854
Switzerland	71.2	52.6	Q39
Thailand	80.1	64.5	Q869
Tunisia	17.2	5.4	Q948
Turkey	133.3	187.9	Q43
United Arab Emirates	21.1	10.5	Q878
United States	208.4	108.5	Q30
Vietnam	83.7	22.3	Q881
West Bank and Gaza	15.3	7.3	Q407199
