Country	Imports (2010)	Imports (2019)	ID
Afghanistan	69	79	Q889
Albania	16	11	Q222
Algeria	26	32	Q262
Angola	19	39	Q916
Antigua and Barbuda	33	21	Q781
Argentina	26	20	Q414
Armenia	36	23	Q399
Aruba	17	14	Q21203
Australia	27	18	Q408
Austria	32	29	Q40
Azerbaijan	21	23	Q227
Bahamas, The	31	29	Q778
Bahrain	40	13	Q398
Bangladesh	84	60	Q902
Barbados	24	16	Q244
Belarus	46	33	Q184
Belgium	24	22	Q31
Belize	38	32	Q242
Benin	62	69	Q962
Bermuda	27	23	Q23635
Bhutan	38	23	Q917
Bolivia	41	26	Q750
Bosnia and Herzegovina	34	37	Q225
Botswana	10	21	Q963
Brazil	19	17	Q155
Brunei Darussalam	37	13	Q921
Bulgaria	27	38	Q219
Burkina Faso	44	47	Q965
Burundi	71	74	Q967
Cabo Verde	34	34	Q1011
Cambodia	61	53	Q424
Cameroon	36	37	Q1009
Canada	22	21	Q16
Chile	52	36	Q298
China	45	21	Q148
Hong Kong SAR, China	22	22	Q8646
Macao SAR, China	12	10	Q14773
Colombia	30	24	Q739
Comoros	62	51	Q970
Congo, Dem. Rep.	61	47	Q974
Congo, Rep.	23	65	Q971
Costa Rica	42	29	Q800
Cote d'Ivoire	59	53	Q1008
Croatia	22	14	Q224
Curacao	15	12	Q25279
Cyprus	31	25	Q229
Czech Republic	25	23	Q213
Denmark	50	45	Q35
Djibouti	67	90	Q977
Dominica	47	24	Q784
Dominican Republic	54	47	Q786
Ecuador	58	41	Q736
Egypt, Arab Rep.	51	42	Q79
El Salvador	44	35	Q792
Estonia	33	31	Q191
Eswatini	11	16	Q1050
Ethiopia	65	67	Q115
Fiji	60	51	Q712
Finland	21	18	Q33
France	24	20	Q142
French Polynesia	42	31	Q30971
Gambia, The	47	77	Q1005
Georgia	55	54	Q230
Germany	25	19	Q183
Ghana	46	23	Q117
Greece	54	60	Q41
Grenada	52	26	Q769
Guatemala	46	44	Q774
Guinea	59	50	Q1006
Guinea-Bissau	28	29	Q1007
Guyana	31	31	Q734
Haiti	81	73	Q790
Honduras	53	50	Q783
Hungary	21	25	Q28
Iceland	17	18	Q189
India	18	18	Q668
Indonesia	33	30	Q252
Iraq	51	30	Q796
Ireland	2	1	Q27
Israel	31	26	Q801
Italy	23	21	Q38
Jamaica	41	37	Q766
Japan	29	17	Q17
Jordan	49	56	Q810
Kazakhstan	17	22	Q232
Kenya	49	36	Q114
Kiribati	58	51	Q710
Korea, Rep.	32	22	Q884
Kosovo	19	20	Q1246
Kuwait	28	13	Q817
Kyrgyz Republic	53	52	Q813
Lao PDR	9	11	Q819
Latvia	29	31	Q211
Lebanon	14	14	Q822
Lesotho	16	13	Q1013
Liberia	12	44	Q1014
Libya	45	29	Q1016
Lithuania	53	52	Q37
Luxembourg	5	5	Q32
Madagascar	38	49	Q1019
Malawi	42	28	Q1020
Malaysia	32	27	Q833
Maldives	34	31	Q826
Mali	61	59	Q912
Malta	5	6	Q233
Marshall Islands	51	55	Q709
Mauritania	36	41	Q1025
Mauritius	28	28	Q1027
Mexico	40	41	Q96
Moldova	39	36	Q217
Mongolia	37	31	Q711
Montenegro	34	44	Q236
Morocco	47	47	Q1028
Mozambique	32	13	Q1029
Myanmar	60	46	Q836
Namibia	22	25	Q1030
Nepal	33	35	Q837
Netherlands	17	15	Q55
New Caledonia	27	26	Q33788
New Zealand	28	23	Q664
Nicaragua	49	47	Q811
Niger	64	61	Q1032
Nigeria	43	21	Q1033
North Macedonia	39	29	Q221
Norway	25	23	Q20
Oman	42	39	Q842
Pakistan	57	38	Q843
Palau	54	54	Q695
Panama	57	39	Q804
Papua New Guinea	22	20	Q691
Paraguay	69	62	Q733
Peru	42	30	Q419
Philippines	28	18	Q928
Poland	20	24	Q36
Portugal	26	24	Q45
Qatar	63	41	Q846
Romania	19	20	Q218
Russian Federation	16	16	Q159
Rwanda	79	51	Q1037
Samoa	46	43	Q683
Sao Tome and Principe	91	35	Q1039
Saudi Arabia	25	33	Q851
Senegal	50	57	Q1041
Serbia	29	25	Q403
Seychelles	50	33	Q1042
Sierra Leone	49	38	Q1044
Singapore	29	31	Q334
Sint Maarten (Dutch part)	19	10	Q26273
Slovak Republic	26	28	Q214
Slovenia	20	20	Q215
Solomon Islands	25	23	Q685
South Africa	37	43	Q258
Spain	16	14	Q29
Sri Lanka	66	38	Q854
St. Kitts and Nevis	42	23	Q763
St. Lucia	41	25	Q760
St. Vincent and the Grenadines	53	41	Q757
Sudan	42	74	Q1049
Suriname	31	8	Q730
Sweden	24	15	Q34
Switzerland	14	11	Q39
Tajikistan	86	80	Q863
Tanzania	39	41	Q924
Thailand	46	32	Q869
Timor-Leste	9	21	Q574
Togo	62	65	Q945
Tonga	60	30	Q678
Trinidad and Tobago	33	26	Q754
Tunisia	52	49	Q948
Turkey	44	29	Q43
Uganda	60	58	Q1036
Ukraine	33	16	Q212
United Kingdom	16	12	Q145
United States	20	19	Q30
Uruguay	46	26	Q77
Vanuatu	54	58	Q686
Venezuela, RB	33	29	Q717
West Bank and Gaza	13	26	Q407199
Yemen, Rep.	49	54	Q805
Zambia	56	55	Q953
Zimbabwe	54	24	Q954
