Country	Prevalence %	ID
Afghanistan	9.2	Q889
Albania	9	Q222
Algeria	6.7	Q262
Andorra	7.7	Q228
Angola	4.5	Q916
Antigua and Barbuda	13.1	Q781
Argentina	5.9	Q414
Armenia	6.1	Q399
Aruba	11.6	Q21203
Australia	5.6	Q408
Austria	6.6	Q40
Azerbaijan	6.1	Q227
Bahamas, The	8.8	Q778
Bahrain	15.6	Q398
Bangladesh	9.2	Q902
Barbados	13.4	Q244
Belarus	5	Q184
Belgium	4.6	Q31
Belize	17.1	Q242
Benin	1	Q962
Bermuda	6.7	Q23635
Bhutan	10.3	Q917
Bolivia	6.8	Q750
Bosnia and Herzegovina	9	Q225
Botswana	5.8	Q963
Brazil	10.4	Q155
Brunei Darussalam	13.3	Q921
Bulgaria	6	Q219
Burkina Faso	7.3	Q965
Burundi	5.1	Q967
Cabo Verde	2.4	Q1011
Cambodia	6.4	Q424
Cameroon	6	Q1009
Canada	7.6	Q16
Cayman Islands	6.8	Q5785
Central African Republic	6	Q929
Chad	6	Q657
Channel Islands	3.9	Q42314
Chile	8.6	Q298
China	9.2	Q148
Hong Kong SAR, China	4.5	Q8646
Macao SAR, China	4.3	Q14773
Colombia	7.4	Q739
Comoros	12.3	Q970
Congo, Dem. Rep.	6	Q974
Congo, Rep.	6	Q971
Costa Rica	9.1	Q800
Cote d'Ivoire	2.4	Q1008
Croatia	5.4	Q224
Cuba	9.6	Q241
Curacao	11.6	Q25279
Cyprus	9	Q229
Czech Republic	7	Q213
Denmark	8.3	Q35
Djibouti	5.1	Q977
Dominica	11.6	Q784
Dominican Republic	8.6	Q786
Ecuador	5.5	Q736
Egypt, Arab Rep.	17.2	Q79
El Salvador	8.8	Q792
Equatorial Guinea	6	Q983
Eritrea	5.1	Q986
Estonia	4.2	Q191
Eswatini	4.5	Q1050
Ethiopia	4.3	Q115
Faroe Islands	4.7	Q4628
Fiji	14.7	Q712
Finland	5.6	Q33
France	4.8	Q142
French Polynesia	19.5	Q30971
Gabon	6	Q1000
Gambia, The	1.9	Q1005
Georgia	5.8	Q230
Germany	10.4	Q183
Ghana	2.5	Q117
Greece	4.7	Q41
Greenland	2.1	Q223
Grenada	10.7	Q769
Guam	18.7	Q16635
Guatemala	10	Q774
Guinea	2.4	Q1006
Guinea-Bissau	2.4	Q1007
Guyana	11.6	Q734
Haiti	6.7	Q790
Honduras	7.3	Q783
Hungary	6.9	Q28
Iceland	5.8	Q189
India	10.4	Q668
Indonesia	6.3	Q252
Iran, Islamic Rep.	9.6	Q794
Iraq	8.8	Q796
Ireland	3.2	Q27
Israel	9.7	Q801
Italy	5	Q38
Jamaica	11.3	Q766
Japan	5.6	Q17
Jordan	12.7	Q810
Kazakhstan	6.1	Q232
Kenya	3.1	Q114
Kiribati	22.5	Q710
Korea, Dem. Peopleâ€™s Rep.	6.4	Q423
Korea, Rep.	6.9	Q884
Kuwait	12.2	Q817
Kyrgyz Republic	6.1	Q813
Lao PDR	6.4	Q819
Latvia	5	Q211
Lebanon	11.2	Q822
Lesotho	4.5	Q1013
Liberia	2.4	Q1014
Libya	10.2	Q1016
Liechtenstein	9.4	Q347
Lithuania	3.8	Q37
Luxembourg	5	Q32
Madagascar	4.5	Q1019
Malawi	4.5	Q1020
Malaysia	16.7	Q833
Maldives	9.2	Q826
Mali	2.4	Q912
Malta	8.3	Q233
Marshall Islands	30.5	Q709
Mauritania	7.1	Q1025
Mauritius	22	Q1027
Mexico	13.5	Q96
Micronesia, Fed. Sts.	11.9	Q702
Moldova	5.7	Q217
Monaco	2.9	Q235
Mongolia	4.7	Q711
Montenegro	9	Q236
Morocco	7	Q1028
Mozambique	3.3	Q1029
Myanmar	3.9	Q836
Namibia	4.5	Q1030
Nepal	7.2	Q837
Netherlands	5.4	Q55
New Caledonia	21.8	Q33788
New Zealand	6.2	Q664
Nicaragua	11.4	Q811
Niger	2.4	Q1032
Nigeria	3.1	Q1033
North Macedonia	9.3	Q221
Norway	5.3	Q20
Oman	10.1	Q842
Pakistan	19.9	Q843
Palau	17.9	Q695
Panama	7.7	Q804
Papua New Guinea	17.9	Q691
Paraguay	9.6	Q733
Peru	6.6	Q419
Philippines	7.1	Q928
Poland	6.1	Q36
Portugal	9.8	Q45
Puerto Rico	13.7	Q1183
Qatar	15.6	Q846
Romania	6.9	Q218
Russian Federation	6.1	Q159
Rwanda	5.1	Q1037
Samoa	9.2	Q683
San Marino	5.9	Q238
Sao Tome and Principe	2.4	Q1039
Saudi Arabia	15.8	Q851
Senegal	2.4	Q1041
Serbia	9	Q403
Seychelles	12.3	Q1042
Sierra Leone	2.4	Q1044
Singapore	5.5	Q334
Sint Maarten (Dutch part)	6.8	Q26273
Slovak Republic	6.5	Q214
Slovenia	5.9	Q215
Solomon Islands	19	Q685
Somalia	5.1	Q1045
South Africa	12.7	Q258
South Sudan	10.2	Q958
Spain	6.9	Q29
Sri Lanka	10.7	Q854
St. Kitts and Nevis	13.3	Q763
St. Lucia	11.6	Q760
St. Vincent and the Grenadines	11.6	Q757
Sudan	22.1	Q1049
Suriname	12.5	Q730
Sweden	4.8	Q34
Switzerland	5.7	Q39
Syrian Arab Republic	13.5	Q858
Tajikistan	6.1	Q863
Tanzania	5.7	Q924
Thailand	7	Q869
Timor-Leste	6.7	Q574
Togo	2.4	Q945
Tonga	15.7	Q678
Trinidad and Tobago	11	Q754
Tunisia	8.5	Q948
Turkey	11.1	Q43
Turkmenistan	6.1	Q874
Tuvalu	22.1	Q672
Uganda	2.5	Q1036
Ukraine	6.1	Q212
United Arab Emirates	16.3	Q878
United Kingdom	3.9	Q145
United States	10.8	Q30
Uruguay	7.3	Q77
Uzbekistan	6.5	Q265
Vanuatu	11.9	Q686
Venezuela, RB	7	Q717
Vietnam	6	Q881
Virgin Islands (U.S.)	12.3	Q11703
West Bank and Gaza	9.5	Q407199
Yemen, Rep.	5.4	Q805
Zambia	4.5	Q953
Zimbabwe	1.8	Q954
