Country	Exports (2010)	Exports (2019)	ID
Afghanistan	81	65	Q889
Albania	26	30	Q222
Algeria	63	60	Q262
Angola	11	9	Q916
Antigua and Barbuda	7	6	Q781
Argentina	43	48	Q414
Armenia	18	21	Q399
Aruba	15	6	Q21203
Australia	22	21	Q408
Austria	31	42	Q40
Azerbaijan	45	21	Q227
Bahamas, The	8	7	Q778
Bahrain	28	19	Q398
Bangladesh	75	63	Q902
Barbados	15	19	Q244
Belarus	28	48	Q184
Belgium	52	62	Q31
Belize	10	12	Q242
Benin	26	2	Q962
Bermuda	45	39	Q23635
Bhutan	1	1	Q917
Bolivia	35	12	Q750
Bosnia and Herzegovina	48	28	Q225
Botswana	21	30	Q963
Brazil	58	60	Q155
Brunei Darussalam	21	17	Q921
Bulgaria	27	37	Q219
Burkina Faso	51	41	Q965
Burundi	44	68	Q967
Cabo Verde	6	7	Q1011
Cambodia	9	4	Q424
Cameroon	45	28	Q1009
Canada	53	48	Q16
Chile	21	32	Q298
China	29	63	Q148
Hong Kong SAR, China	18	19	Q8646
Macao SAR, China	2	2	Q14773
Colombia	20	22	Q739
Comoros	28	20	Q970
Congo, Dem. Rep.	50	9	Q974
Congo, Rep.	64	22	Q971
Costa Rica	47	52	Q800
Cote d'Ivoire	48	28	Q1008
Croatia	20	21	Q224
Curacao	53	52	Q25279
Cyprus	10	25	Q229
Czech Republic	40	50	Q213
Denmark	26	34	Q35
Djibouti	11	14	Q977
Dominica	23	16	Q784
Dominican Republic	9	8	Q786
Ecuador	17	6	Q736
Egypt, Arab Rep.	12	9	Q79
El Salvador	50	39	Q792
Estonia	34	48	Q191
Eswatini	55	70	Q1050
Ethiopia	11	5	Q115
Fiji	4	4	Q712
Finland	67	74	Q33
France	50	53	Q142
French Polynesia	14	6	Q30971
Gambia, The	14	6	Q1005
Georgia	9	4	Q230
Germany	46	56	Q183
Ghana	26	81	Q117
Greece	11	10	Q41
Grenada	16	5	Q769
Guatemala	39	48	Q774
Guinea	74	76	Q1006
Guinea-Bissau	57	37	Q1007
Guyana	51	66	Q734
Haiti	5	4	Q790
Honduras	66	71	Q783
Hungary	49	49	Q28
Iceland	29	21	Q189
India	70	72	Q668
Indonesia	38	31	Q252
Iraq	6	38	Q796
Ireland	69	82	Q27
Israel	63	79	Q801
Italy	40	40	Q38
Jamaica	10	12	Q766
Japan	54	56	Q17
Jordan	10	5	Q810
Kazakhstan	13	12	Q232
Kenya	14	17	Q114
Kiribati	17	23	Q710
Korea, Rep.	37	51	Q884
Kosovo	26	13	Q1246
Kuwait	42	43	Q817
Kyrgyz Republic	46	15	Q813
Lao PDR	8	7	Q819
Latvia	27	41	Q211
Lebanon	33	26	Q822
Lesotho	35	18	Q1013
Liberia	0	0	Q1014
Libya	3	20	Q1016
Lithuania	20	27	Q37
Luxembourg	23	32	Q32
Madagascar	34	17	Q1019
Malawi	14	35	Q1020
Malaysia	32	36	Q833
Maldives	3	2	Q826
Mali	38	46	Q912
Malta	51	62	Q233
Marshall Islands	16	44	Q709
Mauritania	53	50	Q1025
Mauritius	34	23	Q1027
Mexico	2	0	Q96
Moldova	43	46	Q217
Mongolia	11	26	Q711
Montenegro	15	14	Q236
Morocco	37	36	Q1028
Mozambique	20	6	Q1029
Myanmar	35	54	Q836
Namibia	20	25	Q1030
Nepal	34	46	Q837
Netherlands	63	68	Q55
New Caledonia	36	20	Q33788
New Zealand	24	20	Q664
Nicaragua	51	51	Q811
Niger	6	45	Q1032
Nigeria	3	7	Q1033
North Macedonia	51	53	Q221
Norway	40	32	Q20
Oman	26	12	Q842
Pakistan	38	67	Q843
Palau	6	5	Q695
Panama	9	6	Q804
Papua New Guinea	89	62	Q691
Paraguay	16	26	Q733
Peru	1	8	Q419
Philippines	77	68	Q928
Poland	45	50	Q36
Portugal	28	25	Q45
Qatar	2	7	Q846
Romania	62	57	Q218
Russian Federation	48	45	Q159
Rwanda	5	9	Q1037
Samoa	24	17	Q683
Sao Tome and Principe	10	3	Q1039
Saudi Arabia	3	7	Q851
Senegal	45	43	Q1041
Serbia	53	59	Q403
Seychelles	8	32	Q1042
Sierra Leone	8	40	Q1044
Singapore	33	44	Q334
Sint Maarten (Dutch part)	16	25	Q26273
Slovak Republic	34	43	Q214
Slovenia	28	37	Q215
Solomon Islands	6	18	Q685
South Africa	15	20	Q258
Spain	49	34	Q29
Sri Lanka	26	13	Q854
St. Kitts and Nevis	18	5	Q763
St. Lucia	9	4	Q760
St. Vincent and the Grenadines	27	7	Q757
Sudan	52	2	Q1049
Suriname	55	22	Q730
Sweden	61	61	Q34
Switzerland	42	50	Q39
Tajikistan	55	13	Q863
Tanzania	13	7	Q924
Thailand	23	16	Q869
Timor-Leste	19	2	Q574
Togo	28	33	Q945
Tonga	19	20	Q678
Trinidad and Tobago	7	11	Q754
Tunisia	18	18	Q948
Turkey	8	10	Q43
Uganda	17	19	Q1036
Ukraine	31	53	Q212
United Kingdom	44	53	Q145
United States	46	47	Q30
Uruguay	19	41	Q77
Vanuatu	4	3	Q686
Venezuela, RB	13	13	Q717
West Bank and Gaza	17	54	Q407199
Yemen, Rep.	8	39	Q805
Zambia	5	6	Q953
Zimbabwe	23	15	Q954
