Country	$ (2010)	$ (2019)	ID
Afghanistan	2097	498	Q889
Albania	2533	3736	Q222
Algeria	3442	2915	Q262
Angola	857	455	Q916
Antigua and Barbuda	466	1112	Q781
Argentina	12631	13992	Q414
Armenia	1001	2356	Q399
Aruba	1545	2325	Q21203
Australia	45664	69515	Q408
Austria	52163	74600	Q40
Azerbaijan	2397	3727	Q227
Bahamas, The	2456	3699	Q778
Bahrain	4233	12054	Q398
Bangladesh	1236	3207	Q902
Barbados	1295	1394	Q244
Belarus	4799	9598	Q184
Belgium	96064	118047	Q31
Belize	325	586	Q242
Benin	348	485	Q962
Bermuda	1342	1506	Q23635
Bhutan	67	130	Q917
Bolivia	688	1466	Q750
Bosnia and Herzegovina	1698	2246	Q225
Botswana	598	892	Q963
Brazil	29144	33291	Q155
Brunei Darussalam	462	599	Q921
Bulgaria	6559	10596	Q219
Burkina Faso	265	507	Q965
Burundi	7	24	Q967
Cabo Verde	487	713	Q1011
Cambodia	1917	5854	Q424
Cameroon	1241	2005	Q1009
Canada	75300	99557	Q16
Chile	10541	9866	Q298
China	116578	242772	Q148
Hong Kong SAR, China	80471	101307	Q8646
Macao SAR, China	23715	43614	Q14773
Colombia	5031	9810	Q739
Comoros	55	104	Q970
Congo, Dem. Rep.	291	89	Q974
Congo, Rep.	389	226	Q971
Costa Rica	4990	9472	Q800
Cote d'Ivoire	1027	1034	Q1008
Croatia	10815	16702	Q224
Curacao	1292	1365	Q25279
Cyprus	9201	13602	Q229
Czech Republic	21925	30087	Q213
Denmark	61203	74222	Q35
Djibouti	149	714	Q977
Dominica	131	139	Q784
Dominican Republic	5101	9031	Q786
Ecuador	1375	3144	Q736
Egypt, Arab Rep.	23618	24253	Q79
El Salvador	1466	3104	Q792
Estonia	4694	7852	Q191
Eswatini	250	86	Q1050
Ethiopia	1911	4509	Q115
Fiji	922	1510	Q712
Finland	20670	34688	Q33
France	200654	286801	Q142
French Polynesia	774	860	Q30971
Gambia, The	131	197	Q1005
Georgia	1556	4510	Q230
Germany	225954	340970	Q183
Ghana	1344	7563	Q117
Greece	37531	44721	Q41
Grenada	150	603	Q769
Guatemala	2302	3525	Q774
Guinea	61	104	Q1006
Guinea-Bissau	42	38	Q1007
Guyana	248	156	Q734
Haiti	402	663	Q790
Honduras	2076	3128	Q783
Hungary	19530	29964	Q28
Iceland	3015	5606	Q189
India	116583	213731	Q668
Indonesia	16115	30914	Q252
Iraq	2199	6991	Q796
Ireland	89075	238036	Q27
Israel	25196	55169	Q801
Italy	99776	121142	Q38
Jamaica	2600	3796	Q766
Japan	131971	202831	Q17
Jordan	5221	7021	Q810
Kazakhstan	3900	7495	Q232
Kenya	3016	3785	Q114
Kiribati	11	8	Q710
Korea, Rep.	81932	106994	Q884
Kosovo	674	1836	Q1246
Kuwait	8429	8002	Q817
Kyrgyz Republic	586	813	Q813
Lao PDR	489	914	Q819
Latvia	4006	6251	Q211
Lebanon	15972	15531	Q822
Lesotho	42	28	Q1013
Liberia	4	10	Q1014
Libya	410	134	Q1016
Lithuania	4262	13144	Q37
Luxembourg	62057	109917	Q32
Madagascar	918	1279	Q1019
Malawi	75	161	Q1020
Malaysia	34588	40077	Q833
Maldives	1804	3345	Q826
Mali	356	486	Q912
Malta	10022	17046	Q233
Marshall Islands	7	37	Q709
Mauritania	128	113	Q1025
Mauritius	2656	3180	Q1027
Mexico	15385	30053	Q96
Moldova	750	1503	Q217
Mongolia	483	1228	Q711
Montenegro	1048	1895	Q236
Morocco	14329	18713	Q1028
Mozambique	245	931	Q1029
Myanmar	337	4458	Q836
Namibia	643	623	Q1030
Nepal	583	1477	Q837
Netherlands	123902	195236	Q55
New Caledonia	409	345	Q33788
New Zealand	11444	17042	Q664
Nicaragua	732	1238	Q811
Niger	119	225	Q1032
Nigeria	2619	4949	Q1033
North Macedonia	975	1811	Q221
Norway	41206	45099	Q20
Oman	1808	4456	Q842
Pakistan	2931	4567	Q843
Palau	82	130	Q695
Panama	6350	13817	Q804
Papua New Guinea	278	356	Q691
Paraguay	565	967	Q733
Peru	3133	6887	Q419
Philippines	17770	40954	Q928
Poland	35391	71925	Q36
Portugal	22828	39278	Q45
Qatar	5580	18305	Q846
Romania	10348	30225	Q218
Russian Federation	48644	61813	Q159
Rwanda	244	651	Q1037
Samoa	172	263	Q683
Sao Tome and Principe	13	74	Q1039
Saudi Arabia	10351	23468	Q851
Senegal	937	1216	Q1041
Serbia	3512	7786	Q403
Seychelles	440	1117	Q1042
Sierra Leone	56	104	Q1044
Singapore	100118	204509	Q334
Sint Maarten (Dutch part)	899	659	Q26273
Slovak Republic	6401	11949	Q214
Slovenia	6234	9560	Q215
