Country	Total	per capita	Grants	Technical cooperation	ID
Afghanistan	3789	102	3322	300	Q889
Albania	343,00	120,00	181,00	94,00	Q222
Algeria	144,00	3,00	80,00	178,00	Q262
Angola	159	5	139	47	Q916
Antigua and Barbuda	17,00	174,00	3,00	1,00	Q781
Argentina	71,00	2,00	30,00	46,00	Q414
Armenia	139	47	112	45	Q399
Azerbaijan	84,00	8,00	46,00	43,00	Q227
Bangladesh	3.040,00	19,00	1.330,00	197,00	Q902
Belarus	117	12	56	65	Q184
Belize	33	87	17	4	Q242
Benin	570	50	328	82	Q962
Bhutan	100	133	49	18	Q917
Bolivia	727,00	64,00	237,00	71,00	Q750
Bosnia and Herzegovina	352	106	226	68	Q225
Botswana	82,00	37,00	70,00	13,00	Q963
Brazil	429,00	2,00	242,00	181,00	Q155
Burkina Faso	1111	56	721	107	Q965
Burundi	450	40	380	26	Q967
Cabo Verde	83,00	153,00	43,00	26,00	Q1011
Cambodia	769,00	47,00	448,00	121,00	Q424
Cameroon	1.164,00	46,00	469,00	145,00	Q1009
Central African Republic	656,00	141,00	487,00	23,00	Q929
Chad	875	57	555	17	Q657
China	-737,00	-1,00	192,00	516,00	Q148
Colombia	1.763,00	36,00	741,00	160,00	Q739
Comoros	87,00	104,00	52,00	18,00	Q970
Congo, Dem. Rep.	2.510,00	30,00	2.241,00	113,00	Q974
Congo, Rep.	144,00	28,00	81,00	25,00	Q971
Costa Rica	94	19	26	24	Q800
Cote d'Ivoire	954	38	727	93	Q1008
Cuba	747,00	66,00	511,00	23,00	Q241
Djibouti	177,00	185,00	120,00	13,00	Q977
Dominica	27,00	372,00	28,00	1,00	Q784
Dominican Republic	87,00	8,00	105,00	25,00	Q786
Ecuador	396,00	23,00	122,00	57,00	Q736
Egypt, Arab Rep.	2.064,00	21,00	345,00	225,00	Q79
El Salvador	249,00	39,00	264,00	29,00	Q792
Equatorial Guinea	6,00	4,00	7,00	2,00	Q983
Ethiopia	4.930,00	45,00	2.366,00	206,00	Q115
Fiji	111	126	66	46	Q712
Gabon	116,00	55,00	20,00	27,00	Q1000
Gambia, The	233	102	126	34	Q1005
Georgia	589	158	314	68	Q230
Ghana	1067	36	714	132	Q117
Grenada	31,00	275,00	0,00	2,00	Q769
Guatemala	394,00	24,00	343,00	58,00	Q774
Guinea	591	48	367	58	Q1006
Guinea-Bissau	152	81	80	16	Q1007
Guyana	102,00	132,00	44,00	8,00	Q734
Haiti	992,00	89,00	790,00	71,00	Q790
Honduras	660	69	303	51	Q783
India	2454	2	689	410	Q668
Indonesia	949	4	697	362	Q252
Iran, Islamic Rep.	166,00	2,00	65,00	113,00	Q794
Iraq	2.300,00	60,00	1.719,00	184,00	Q796
Jamaica	99,00	34,00	97,00	16,00	Q766
Jordan	2.524,00	254,00	2.346,00	206,00	Q810
Kazakhstan	76,00	4,00	91,00	35,00	Q232
Kenya	2.488,00	48,00	1.504,00	145,00	Q114
Kiribati	74,00	640,00	51,00	21,00	Q710
Korea, Dem. Peopleâ€™s Rep.	121,00	5,00	118,00	4,00	Q423
Kosovo	345	192	267	79	Q1246
Kyrgyz Republic	414	65	384	52	Q813
Lao PDR	565	80	337	108	Q819
Lebanon	1.420,00	207,00	1.202,00	101,00	Q822
Lesotho	152	72	133	9	Q1013
Liberia	571	118	436	33	Q1014
Libya	303,00	45,00	269,00	35,00	Q1016
North Macedonia	170	82	134	80	Q221
Madagascar	691	26	374	100	Q1019
Malawi	1271	70	974	90	Q1020
Malaysia	-38,00	-1,00	26,00	41,00	Q833
Maldives	119,00	231,00	73,00	6,00	Q826
Mali	1492	78	1034	162	Q912
Marshall Islands	54,00	922,00	51,00	3,00	Q709
Mauritania	447	102	180	30	Q1025
Mauritius	67,00	53,00	38,00	17,00	Q1027
Mexico	540	4	319	120	Q96
Micronesia, Fed. Sts.	99,00	877,00	74,00	5,00	Q702
Moldova	231,00	85,00	132,00	90,00	Q217
Mongolia	332	105	116	78	Q711
Montenegro	155,00	249,00	58,00	10,00	Q236
Morocco	812	23	474	297	Q1028
Mozambique	1.820,00	62,00	1.344,00	148,00	Q1029
Myanmar	1.688,00	31,00	887,00	219,00	Q836
Namibia	150,00	61,00	128,00	42,00	Q1030
Nepal	1.451,00	52,00	630,00	101,00	Q837
