Country	%	ID
Afghanistan	16.2	Q889
Albania	10.3	Q222
Argentina	10.7	Q414
Armenia	19.9	Q399
Austria	4.2	Q40
Bangladesh	8.5	Q902
Belarus	8.2	Q184
Belgium	6	Q31
Belize	9.6	Q242
Bolivia	5	Q750
Bosnia and Herzegovina	18.9	Q225
Brazil	14.1	Q155
Brunei Darussalam	8.7	Q921
Bulgaria	4.5	Q219
Burkina Faso	8.7	Q965
Cabo Verde	16.5	Q1011
Cambodia	1.3	Q424
Canada	7	Q16
Cayman Islands	4.8	Q5785
Chile	7.8	Q298
Colombia	10.7	Q739
Costa Rica	12.7	Q800
Cote d'Ivoire	6.4	Q1008
Croatia	9.1	Q224
Cyprus	8.8	Q229
Czech Republic	2.1	Q213
Denmark	4.1	Q35
Dominican Republic	8.8	Q786
Ecuador	5.7	Q736
Egypt, Arab Rep.	10.4	Q79
El Salvador	6	Q792
Estonia	5.8	Q191
Eswatini	28.9	Q1050
Fiji	5.5	Q712
Finland	8.3	Q33
France	9.7	Q142
Gambia, The	16.9	Q1005
Georgia	12.8	Q230
Germany	2.9	Q183
Ghana	7.6	Q117
Greece	21.8	Q41
Guatemala	5.5	Q774
Guyana	16.4	Q734
Honduras	10.3	Q783
Hong Kong SAR, China	4	Q8646
Hungary	3.3	Q28
Iceland	2.3	Q189
India	10.8	Q668
Indonesia	7.7	Q252
Iran, Islamic Rep.	13.2	Q794
Ireland	6.9	Q27
Israel	4.6	Q801
Italy	10.1	Q38
Japan	3.1	Q17
Kazakhstan	5.3	Q232
Kenya	4.2	Q114
Kiribati	9.8	Q710
Korea, Rep.	3.7	Q884
Kosovo	19.6	Q1246
Lao PDR	6.5	Q819
Latvia	8.5	Q211
Liberia	8.5	Q1014
Lithuania	8	Q37
Luxembourg	5.6	Q32
Macao SAR, China	1.8	Q14773
Madagascar	4.9	Q1019
Malawi	22.5	Q1020
Malaysia	4.1	Q833
Maldives	6	Q826
Mali	10.8	Q912
Malta	3.4	Q233
Mauritania	10	Q1025
Mauritius	8.2	Q1027
Mexico	4	Q96
Moldova	4.2	Q217
Mongolia	6.2	Q711
Montenegro	16.6	Q236
Mozambique	16.4	Q1029
Myanmar	1.9	Q836
Namibia	23.9	Q1030
Nepal	15.1	Q837
Netherlands	3.6	Q55
Niger	7.8	Q1032
Nigeria	11.5	Q1033
North Macedonia	21	Q221
Norway	3.5	Q20
Pakistan	5.6	Q843
Panama	5.5	Q804
Paraguay	5.9	Q733
Peru	4.4	Q419
Philippines	9	Q928
Poland	4.4	Q36
Portugal	8.2	Q45
Romania	4.3	Q218
Russian Federation	4.2	Q159
Rwanda	24.2	Q1037
Samoa	18.6	Q683
San Marino	8.3	Q238
Senegal	11.2	Q1041
Serbia	13.7	Q403
Seychelles	4.7	Q1042
Singapore	4.6	Q334
Slovak Republic	5.8	Q214
Slovenia	5.5	Q215
South Africa	28.5	Q258
Spain	15.5	Q29
Sri Lanka	6.7	Q854
St. Lucia	27	Q760
Sweden	4.6	Q34
Switzerland	4.7	Q39
Thailand	1.1	Q869
Timor-Leste	7	Q574
Togo	14.3	Q945
Tonga	2.8	Q678
Trinidad and Tobago	3.2	Q754
Tunisia	16.3	Q948
Turkey	12.1	Q43
Tuvalu	11.6	Q672
Uganda	11.9	Q1036
Ukraine	9.9	Q212
United Arab Emirates	3.4	Q878
United Kingdom	4.6	Q145
United States	5.2	Q30
Uruguay	6.2	Q77
Vietnam	1.8	Q881
West Bank and Gaza	24.8	Q407199
Zambia	16.3	Q953
