Country	Survey Year	Agriculture	Manufacturing	Services	ID
Albania	2010	83.9	1.3	9.3	Q222
Azerbaijan	2005	91.7	0.7	7.4	Q227
Bangladesh	2013	39.3	27.3	33.3	Q902
Bolivia	2015	74.5	7	18.5	Q750
Brazil	2015	56.1	8.4	35.6	Q155
Burkina Faso	2010	70.9	1.4	24.9	Q965
Cambodia	2012	62	13.3	22.2	Q424
Cameroon	2011	88.5	3.1	8.2	Q1009
Chile	2012	29.4	2.9	60.3	Q298
Colombia	2015	43.3	15.2	41.4	Q739
Costa Rica	2016	36.6	10.1	53.5	Q800
Dominican Republic	2014	23.5	15.3	61.2	Q786
Ecuador	2015	79.4	4.9	15.7	Q736
Egypt, Arab Rep.	2009	53.2	9.6	30.4	Q79
El Salvador	2013	51.1	11.1	37.8	Q792
Ethiopia	2011	94.6	1.5	3.7	Q115
Gambia, The	2015	94.7	2.6	2.7	Q1005
Ghana	2012	78.1	3.3	18.1	Q117
Guatemala	2015	58.9	11.4	28.5	Q774
Guinea	2012	75.8	1.7	18.8	Q1006
Honduras	2014	57.9	9.4	32.8	Q783
India	2012	56.5	27.6	10.4	Q668
Indonesia	2010	61.6	9.9	26.5	Q252
Jordan	2016	42.7	14.7	42.6	Q810
Kyrgyz Republic	2014	98.9	0.3	0.8	Q813
Lao PDR	2010	95.1	2.1	2.4	Q819
Lesotho	2002	58	0	10.4	Q1013
Liberia	2010	77.6	2.8	18.5	Q1014
Madagascar	2007	87.6	2.9	8.2	Q1019
Malawi	2015	71.2	0.1	28.7	Q1020
Mali	2013	72.4	4.7	12.3	Q912
Mexico	2013	34.5	11.7	53.9	Q96
Moldova	2009	97.2	0.1	2.2	Q217
Mongolia	2013	85	2	12.3	Q711
Morocco	2004	55.5	17.9	21.9	Q1028
Nepal	2014	89	1.4	3.1	Q837
Nicaragua	2012	53.9	8.1	38	Q811
Niger	2012	14.4	3.3	81	Q1032
Nigeria	2011	85.2	3.3	10.2	Q1033
Pakistan	2011	76.1	6.7	14.6	Q843
Panama	2014	69.8	3	27.2	Q804
Paraguay	2014	56.1	8.6	35.3	Q733
Peru	2015	62.6	5	31.1	Q419
Philippines	2011	54.5	4.3	40.2	Q928
Portugal	2001	48.5	11.2	33.3	Q45
Romania	2000	97.1	0	2.3	Q218
Rwanda	2014	69	0.9	22.3	Q1037
Senegal	2015	85.6	2.8	2.6	Q1041
Sierra Leone	2013	83.8	0.8	13.4	Q1044
South Sudan	2008	60.2	0.3	38.2	Q958
Sri Lanka	2009	66.5	15.3	17.4	Q854
Sudan	2014	67.5	0.6	23.7	Q1049
Tanzania	2014	95	0.3	4.8	Q924
Timor-Leste	2007	97.6	0	1	Q574
Togo	2014	72.2	2.7	24.3	Q945
Turkey	2006	57.1	14.3	27.1	Q43
Uganda	2012	95.3	1.1	3.1	Q1036
Uruguay	2009	28.5	8.5	58.6	Q77
Venezuela, RB	2013	31.8	9.4	58.9	Q717
Vietnam	2012	77.1	5.9	16.2	Q881
Yemen, Rep.	2010	70.4	1.1	27.3	Q805
Zambia	2008	91.9	0.7	7	Q953
