Country	Revenue % (2010)	Revenue % (2018)	ID
Afghanistan	3	5	Q889
Albania	15	17	Q222
Angola	34	39	Q916
Argentina	12	10	Q414
Armenia	19	40	Q399
Australia	61	65	Q408
Austria	26	28	Q40
Azerbaijan	10	11	Q227
Bangladesh	20	25	Q902
Barbados	32	30	Q244
Belarus	7	3	Q184
Belgium	35	34	Q31
Belize	31	24	Q242
Bhutan	23	23	Q917
Bosnia and Herzegovina	6	8	Q225
Botswana	29	30	Q963
Brazil	23	24	Q155
Bulgaria	16	16	Q219
Burkina Faso	15	22	Q965
Cabo Verde	17	19	Q1011
Cambodia	10	18	Q424
Cameroon	24	21	Q1009
Canada	53	55	Q16
Central African Republic	9	5	Q929
Chile	27	37	Q298
China	23	19	Q148
Macao SAR, China	4	6	Q14773
Colombia	17	25	Q739
Congo, Rep.	5	13	Q971
Costa Rica	16	16	Q800
Cote d'Ivoire	20	25	Q1008
Croatia	8	7	Q224
Cyprus	25	23	Q229
Czech Republic	14	16	Q213
Denmark	41	43	Q35
Dominican Republic	19	26	Q786
Egypt, Arab Rep.	25	24	Q79
El Salvador	25	27	Q792
Equatorial Guinea	25	22	Q983
Estonia	17	20	Q191
Ethiopia	14	22	Q115
Fiji	29	25	Q712
Finland	15	16	Q33
France	23	27	Q142
Gabon	21	29	Q1000
Georgia	31	34	Q230
Germany	15	18	Q183
Ghana	25	39	Q117
Greece	18	19	Q41
Guatemala	28	33	Q774
Honduras	20	23	Q783
Hungary	19	16	Q28
Iceland	22	25	Q189
India	43	44	Q668
Indonesia	36	39	Q252
Ireland	36	43	Q27
Israel	27	32	Q801
Italy	33	31	Q38
Jamaica	37	27	Q766
Japan	46	49	Q17
Jordan	13	12	Q810
Kazakhstan	36	31	Q232
Kiribati	11	7	Q710
Korea, Rep.	28	30	Q884
Latvia	7	7	Q211
Lebanon	18	28	Q822
Lesotho	22	25	Q1013
Lithuania	14	17	Q37
Luxembourg	29	32	Q32
Madagascar	20	18	Q1019
Malawi	26	42	Q1020
Malaysia	46	51	Q833
Mali	22	24	Q912
Malta	31	34	Q233
Marshall Islands	11	11	Q709
Mauritius	20	21	Q1027
Mexico	28	38	Q96
Micronesia, Fed. Sts.	4	43	Q702
Moldova	1	13	Q217
Mongolia	27	17	Q711
Morocco	30	33	Q1028
Mozambique	21	40	Q1029
Myanmar	8	11	Q836
Namibia	42	36	Q1030
Nepal	16	23	Q837
Netherlands	26	29	Q55
New Zealand	51	53	Q664
Nicaragua	27	40	Q811
North Macedonia	75	18	Q221
Norway	31	25	Q20
Palau	8	9	Q695
Paraguay	11	14	Q733
Peru	30	30	Q419
Philippines	40	37	Q928
Poland	13	13	Q36
Portugal	21	24	Q45
Romania	18	15	Q218
Russian Federation	2	2	Q159
Samoa	17	15	Q683
San Marino	16	17	Q238
Saudi Arabia	1	2	Q851
Seychelles	26	34	Q1042
Singapore	34	33	Q334
Slovak Republic	16	18	Q214
Slovenia	11	12	Q215
Solomon Islands	26	22	Q685
South Africa	49	48	Q258
Spain	36	34	Q29
Sri Lanka	16	16	Q854
St. Kitts and Nevis	17	16	Q763
St. Lucia	27	23	Q760
St. Vincent and the Grenadines	22	25	Q757
Sudan	5	6	Q1049
Sweden	15	16	Q34
Switzerland	22	25	Q39
Tanzania	19	26	Q924
Thailand	33	31	Q869
Timor-Leste	35	24	Q574
Togo	10	14	Q945
Tonga	12	11	Q678
Trinidad and Tobago	50	22	Q754
Turkey	17	19	Q43
Ukraine	11	16	Q212
United Kingdom	36	33	Q145
United States	48	51	Q30
Uruguay	18	22	Q77
Uzbekistan	20	18	Q265
West Bank and Gaza	4	5	Q407199
Zambia	40	36	Q953
Zimbabwe	30	33	Q954
