Country	Researchers	Technicians	ID
Algeria	819	42	Q262
Angola	19	5	Q916
Argentina	1192	337	Q414
Austria	5733	2648	Q40
Bahrain	369	17	Q398
Belgium	5023	1378	Q31
Bolivia	164	26	Q750
Bosnia and Herzegovina	471	51	Q225
Botswana	185	125	Q963
Brazil	888	970	Q155
Bulgaria	2343	442	Q219
Burkina Faso	48	37	Q965
Burundi	23	7	Q967
Cambodia	30	61	Q424
Canada	4326	1268	Q16
Cabo Verde	123	41	Q1011
Chad	58	8	Q657
Chile	493	303	Q298
Hong Kong SAR, China	4026	316	Q8646
Macao SAR, China	3543	182	Q14773
Congo, Dem. Rep.	11	7	Q974
Croatia	1921	714	Q224
Cyprus	1256	325	Q229
Czech Republic	3863	2186	Q213
Denmark	8066	2124	Q35
Ecuador	399	90	Q736
Egypt, Arab Rep.	687	370	Q79
El Salvador	64	13	Q792
Estonia	3755	655	Q191
Ethiopia	91	33	Q115
France	4715	1806	Q142
Gambia, The	53	89	Q1005
Georgia	1464	242	Q230
Germany	5212	2007	Q183
Ghana	89	29	Q117
Greece	3483	585	Q41
Guatemala	14	20	Q774
Honduras	35	10	Q783
Hungary	3238	770	Q28
Iceland	6131	2371	Q189
India	253	73	Q668
Indonesia	216	35	Q252
Iran, Islamic Rep.	1475	497	Q794
Iraq	111	23	Q796
Ireland	5243	1165	Q27
Japan	5331	524	Q17
Jordan	596	109	Q810
Kazakhstan	667	124	Q232
Kenya	221	628	Q114
Korea, Rep.	7980	1311	Q884
Kuwait	514	45	Q817
Latvia	1792	391	Q211
Lesotho	24	7	Q1013
Lithuania	3191	462	Q37
Luxembourg	4942	3166	Q32
North Macedonia	799	91	Q221
Madagascar	34	13	Q1019
Malawi	50	60	Q1020
Malaysia	2397	263	Q833
Mali	33	24	Q912
Malta	1947	886	Q233
Mauritius	474	130	Q1027
Mexico	315	140	Q96
Moldova	696	60	Q217
Montenegro	734	156	Q236
Morocco	1074	40	Q1028
Mozambique	43	27	Q1029
Myanmar	29	19	Q836
Namibia	149	66	Q1030
Netherlands	5605	2038	Q55
New Zealand	5530	1276	Q664
Niger	26	9	Q1032
Oman	281	33	Q842
Pakistan	336	32	Q843
Panama	39	155	Q804
Papua New Guinea	35	11	Q691
Paraguay	135	40	Q733
Philippines	106	18	Q928
Poland	3106	415	Q36
Portugal	4538	780	Q45
Puerto Rico	348	156	Q1183
Qatar	577	397	Q846
Romania	882	279	Q218
Russian Federation	2784	438	Q159
Rwanda	14	6	Q1037
Senegal	564	37	Q1041
Serbia	2087	412	Q403
Singapore	6803	377	Q334
Slovak Republic	2996	521	Q214
Slovenia	4855	1814	Q215
South Africa	518	130	Q258
Spain	3001	1265	Q29
Sri Lanka	106	75	Q854
Eswatini	142	36	Q1050
Sweden	7536	2028	Q34
Switzerland	5450	2620	Q39
Syrian Arab Republic	91	68	Q858
Tanzania	19	6	Q924
Thailand	1350	297	Q869
Togo	48	4	Q945
Trinidad and Tobago	517	278	Q754
Tunisia	1772	62	Q948
Turkey	1379	354	Q43
Uganda	28	11	Q1036
Ukraine	988	150	Q212
United Arab Emirates	2379	890	Q878
United Kingdom	4603	1305	Q145
Uzbekistan	476	48	Q265
Vietnam	708	71	Q881
West Bank and Gaza	575	178	Q407199
Zimbabwe	100	11	Q954
