Country	2018	ID
Afghanistan	65	Q889
Albania	20	Q222
Algeria	10	Q262
Angola	148	Q916
Antigua and Barbuda	42	Q781
Argentina	63	Q414
Armenia	21	Q399
Aruba	21	Q21203
Australia	11	Q408
Austria	7	Q40
Azerbaijan	56	Q227
Bahamas, The	29	Q778
Bahrain	13	Q398
Bangladesh	82	Q902
Barbados	31	Q244
Belarus	14	Q184
Belgium	5	Q31
Belize	68	Q242
Benin	84	Q962
Bhutan	19	Q917
Bolivia	64	Q750
Bosnia and Herzegovina	9	Q225
Botswana	45	Q963
Brazil	58	Q155
Brunei Darussalam	10	Q921
Bulgaria	39	Q219
Burkina Faso	102	Q965
Burundi	55	Q967
Cabo Verde	73	Q1011
Cambodia	51	Q424
Cameroon	103	Q1009
Canada	8	Q16
Central African Republic	127	Q929
Chad	158	Q657
Channel Islands	7	Q42314
Chile	40	Q298
China	8	Q148
Hong Kong SAR, China	3	Q8646
Macao SAR, China	2	Q14773
Colombia	65	Q739
Comoros	64	Q970
Congo, Dem. Rep.	123	Q974
Congo, Rep.	111	Q971
Costa Rica	53	Q800
Cote d'Ivoire	116	Q1008
Croatia	8	Q224
Cuba	52	Q241
Curacao	28	Q25279
Cyprus	4	Q229
Czech Republic	12	Q213
Denmark	4	Q35
Djibouti	18	Q977
Dominican Republic	93	Q786
Ecuador	79	Q736
Egypt, Arab Rep.	53	Q79
El Salvador	69	Q792
Equatorial Guinea	153	Q983
Eritrea	51	Q986
Estonia	7	Q191
Eswatini	75	Q1050
Ethiopia	65	Q115
Fiji	49	Q712
Finland	6	Q33
France	5	Q142
French Polynesia	38	Q30971
Gabon	94	Q1000
Gambia, The	76	Q1005
Georgia	45	Q230
Germany	8	Q183
Ghana	66	Q117
Greece	7	Q41
Grenada	28	Q769
Guam	31	Q16635
Guatemala	70	Q774
Guinea	133	Q1006
Guinea-Bissau	103	Q1007
Guyana	73	Q734
Haiti	51	Q790
Honduras	72	Q783
Hungary	24	Q28
Iceland	6	Q189
India	12	Q668
Indonesia	47	Q252
Iran, Islamic Rep.	41	Q794
Iraq	72	Q796
Ireland	7	Q27
Israel	9	Q801
Italy	5	Q38
Jamaica	51	Q766
Japan	4	Q17
Jordan	26	Q810
Kazakhstan	29	Q232
Kenya	74	Q114
Kiribati	15	Q710
Korea, Dem. Peopleâ€™s Rep.	0	Q423
Korea, Rep.	1	Q884
Kuwait	8	Q817
Kyrgyz Republic	32	Q813
Lao PDR	65	Q819
Latvia	16	Q211
Lebanon	14	Q822
Lesotho	93	Q1013
Liberia	136	Q1014
Libya	6	Q1016
Lithuania	10	Q37
Luxembourg	5	Q32
Madagascar	108	Q1019
Malawi	132	Q1020
Malaysia	13	Q833
Maldives	7	Q826
Mali	167	Q912
Malta	12	Q233
Mauritania	70	Q1025
Mauritius	25	Q1027
Mexico	59	Q96
Micronesia, Fed. Sts.	13	Q702
Moldova	22	Q217
Mongolia	31	Q711
Montenegro	9	Q236
Morocco	31	Q1028
Mozambique	146	Q1029
Myanmar	28	Q836
Namibia	62	Q1030
Nepal	64	Q837
Netherlands	4	Q55
New Caledonia	14	Q33788
New Zealand	19	Q664
Nicaragua	83	Q811
Niger	184	Q1032
Nigeria	105	Q1033
North Macedonia	15	Q221
Norway	5	Q20
Oman	13	Q842
Pakistan	38	Q843
Panama	81	Q804
Papua New Guinea	52	Q691
Paraguay	70	Q733
Peru	56	Q419
Philippines	55	Q928
Poland	10	Q36
Portugal	8	Q45
Puerto Rico	28	Q1183
Qatar	10	Q846
Romania	36	Q218
Russian Federation	20	Q159
Rwanda	39	Q1037
Samoa	23	Q683
Sao Tome and Principe	93	Q1039
Saudi Arabia	7	Q851
Senegal	71	Q1041
Serbia	14	Q403
Seychelles	61	Q1042
Sierra Leone	110	Q1044
Singapore	4	Q334
Slovak Republic	26	Q214
Slovenia	4	Q215
Solomon Islands	78	Q685
Somalia	98	Q1045
South Africa	68	Q258
South Sudan	59	Q958
Spain	7	Q29
Sri Lanka	21	Q854
St. Lucia	40	Q760
St. Vincent and the Grenadines	48	Q757
Sudan	61	Q1049
Suriname	61	Q730
Sweden	5	Q34
Switzerland	3	Q39
Syrian Arab Republic	38	Q858
Tajikistan	57	Q863
Tanzania	117	Q924
Thailand	45	Q869
Timor-Leste	32	Q574
Togo	89	Q945
Tonga	14	Q678
Trinidad and Tobago	29	Q754
Tunisia	8	Q948
Turkey	26	Q43
Turkmenistan	24	Q874
Uganda	116	Q1036
Ukraine	23	Q212
United Arab Emirates	6	Q878
United Kingdom	13	Q145
United States	19	Q30
Uruguay	58	Q77
Uzbekistan	24	Q265
Vanuatu	49	Q686
Venezuela, RB	85	Q717
Vietnam	29	Q881
Virgin Islands (U.S.)	28	Q11703
West Bank and Gaza	52	Q407199
Yemen, Rep.	59	Q805
Zambia	118	Q953
Zimbabwe	83	Q954
