Country	New	Entry density	ID
Afghanistan	4274	0.21	Q889
Albania	2990	1.52	Q222
Algeria	9472	0.35	Q262
Antigua and Barbuda	220	3.31	Q781
Argentina	5667	0.2	Q414
Armenia	6137	03.05	Q399
Australia	235654	14.47	Q408
Austria	3830	0.65	Q40
Azerbaijan	11611	1.66	Q227
Bahrain	3823	3.11	Q398
Bangladesh	4473	0.04	Q902
Belarus	8700	1.34	Q184
Belgium	24677	3.37	Q31
Belize	843	3.39	Q242
Benin	3341	0.54	Q962
Bhutan	47	0.09	Q917
Bolivia	3593	0.51	Q750
Bosnia and Herzegovina	2493	01.09	Q225
Botswana	26613	20.09	Q963
Brazil	189076	1.29	Q155
Brunei Darussalam	731	2.36	Q921
Bulgaria	45683	10.1	Q219
Burkina Faso	3416	0.33	Q965
Cabo Verde	1444	3.99	Q1011
Cambodia	7007	0.67	Q424
Canada	4065	0.16	Q16
Central African Republic	213	0.09	Q929
Chad	878	0.11	Q657
Chile	132740	10.31	Q298
Hong Kong SAR, China	151739	28.59	Q8646
Colombia	68588	02.02	Q739
Comoros	78	0.16	Q970
Congo, Dem. Rep.	2102	0.05	Q974
Costa Rica	8984	2.6	Q800
Cote d'Ivoire	10233	0.74	Q1008
Croatia	15585	5.86	Q224
Cyprus	14526	17.58	Q229
Czech Republic	30336	4.39	Q213
Denmark	36982	10.01	Q35
Dominica	371	7.74	Q784
Dominican Republic	10204	1.48	Q786
El Salvador	2347	0.57	Q792
Estonia	19950	23.59	Q191
Ethiopia	31198	0.51	Q115
Finland	14700	4.29	Q33
France	201087	4.84	Q142
Gabon	1106	0.88	Q1000
Georgia	25241	10.35	Q230
Germany	72844	1.35	Q183
Ghana	13154	0.87	Q117
Greece	9793	1.42	Q41
Grenada	188	2.52	Q769
Guatemala	5530	0.53	Q774
Guinea	2630	0.4	Q1006
Hungary	24252	3.74	Q28
Iceland	2283	9.88	Q189
India	123942	0.14	Q668
Indonesia	58426	0.33	Q252
Iran, Islamic Rep.	23689	0.42	Q794
Iraq	2020	0.1	Q796
Ireland	22398	7.13	Q27
Israel	17456	3.27	Q801
Italy	114360	2.96	Q38
Jamaica	3159	1.6	Q766
Japan	29243	0.39	Q17
Jordan	3289	0.53	Q810
Kazakhstan	23464	2	Q232
Kenya	44259	1.49	Q114
Kiribati	2	0.03	Q710
Korea, Rep.	96155	2.56	Q884
Kosovo	5353	4	Q1246
Kuwait	18535	5.9	Q817
Kyrgyz Republic	4936	1.27	Q813
Lao PDR	178	0.04	Q819
Latvia	9864	08.01	Q211
Lesotho	3725	2.83	Q1013
Liberia	59	0.02	Q1014
Liechtenstein	163	6.31	Q347
Lithuania	6072	3.33	Q37
Luxembourg	7309	17.2	Q32
North Macedonia	5282	3.63	Q221
Madagascar	1881	0.13	Q1019
Malaysia	51722	2.37	Q833
Mali	3130	0.33	Q912
Malta	5527	17.48	Q233
Mauritania	959	0.38	Q1025
Mauritius	8285	9.26	Q1027
Mexico	83903	1	Q96
Micronesia, Fed. Sts.	25	0.35	Q702
Moldova	4801	1.86	Q217
Mongolia	11507	5.54	Q711
Montenegro	4694	11.29	Q236
Morocco	45132	1.9	Q1028
Myanmar	14051	0.39	Q836
Namibia	1613	1.15	Q1030
Nepal	24088	1.34	Q837
Netherlands	71531	6.42	Q55
New Zealand	56380	17.84	Q664
Niger	931	0.09	Q1032
Nigeria	86309	0.83	Q1033
Norway	29959	8.62	Q20
Oman	5085	1.4	Q842
Pakistan	13229	0.1	Q843
Panama	13068	4.83	Q804
Paraguay	1018	0.23	Q733
Peru	79346	3.75	Q419
Philippines	19774	0.29	Q928
Poland	36879	1.44	Q36
Portugal	43114	6.49	Q45
Qatar	14824	6.26	Q846
Romania	94244	7.32	Q218
Russian Federation	317468	3.26	Q159
Rwanda	10635	1.51	Q1037
Samoa	126	1.13	Q683
Sao Tome and Principe	265	2.3	Q1039
Saudi Arabia	12116	0.5	Q851
Senegal	4003	0.47	Q1041
Serbia	8671	1.88	Q403
Seychelles	344	5.17	Q1042
Sierra Leone	1980	0.46	Q1044
Singapore	43046	10.01	Q334
Slovak Republic	19720	5.25	Q214
Slovenia	4182	03.09	Q215
South Africa	376727	10.21	Q258
South Sudan	1765	0.3	Q958
Spain	94676	03.07	Q29
Sri Lanka	10510	0.74	Q854
St. Lucia	350	2.69	Q760
St. Vincent and the Grenadines	118	1.6	Q757
Suriname	860	2.29	Q730
Sweden	45590	7.18	Q34
Switzerland	25637	4.53	Q39
Tajikistan	831	0.15	Q863
Tanzania	5276	0.18	Q924
Thailand	55589	1.13	Q869
Timor-Leste	2889	4.43	Q574
Togo	2587	0.59	Q945
Tonga	49	0.84	Q678
Tunisia	13134	1.68	Q948
Turkey	85798	1.56	Q43
Uganda	18862	0.86	Q1036
Ukraine	51349	1.68	Q212
United Arab Emirates	24716	03.04	Q878
United Kingdom	664974	15.65	Q145
Uruguay	2796	1.26	Q77
Uzbekistan	35968	1.63	Q265
Vanuatu	258	1.53	Q686
Vietnam	73422	1.12	Q881
Zambia	10236	1.11	Q953
Zimbabwe	16810	2.13	Q954
