Country	%_2000	%_2018	ID
United States	4.1	3.8	Q30
Uruguay	15.9	10.1	Q77
Uzbekistan	11.8	5.5	Q265
Vanuatu	5.2	4.9	Q686
Venezuela, RB	14.6	8	Q717
Vietnam	2.1	1.8	Q881
Virgin Islands (U.S.)	10.3	9.1	Q11703
West Bank and Gaza	8	41.8	Q407199
Yemen, Rep.	8.9	25.3	Q805
Zambia	11.4	12.4	Q953
Zimbabwe	4.6	5.6	Q954
