Country	Both sexes	Male	Female	ID
Afghanistan	6715	3560	3154	Q889
Albania	887	573	314	Q222
Algeria	5965	3471	2493	Q262
Angola	3602	1558	2045	Q916
Antigua and Barbuda	28	15	13	Q781
Argentina	34425	16792	17633	Q414
Armenia	1156	625	530	Q399
Australia	11738	6234	5504	Q408
Austria	4108	2230	1878	Q40
Azerbaijan	1911	991	920	Q227
Bahamas	40	26	15	Q778
Bahrain	96	55	42	Q398
Bangladesh	82293	47491	34803	Q902
Barbados	114	65	48	Q244
Belarus	2172	1578	593	Q184
Belgium	8648	4743	3905	Q31
Belize	65	47	18	Q242
Benin	2381	1184	1197	Q962
Bhutan	419	220	199	Q917
Bolivia (Plurinational State of)	3304	1800	1504	Q750
Bosnia and Herzegovina	1448	868	580	Q225
Botswana	612	373	239	Q963
Brazil	84749	45156	39593	Q155
Brunei Darussalam	99	52	46	Q921
Bulgaria	4612	2838	1774	Q219
Burkina Faso	2416	1115	1301	Q965
Burundi	2005	1046	959	Q967
Cabo Verde	114	54	60	Q1011
Cambodia	3817	2103	1714	Q424
Cameroon	5323	2870	2454	Q1009
Canada	18610	9605	9005	Q16
Central African Republic	1109	503	606	Q929
Chad	3118	1669	1449	Q657
Chile	7064	3615	3449	Q298
China	938227	509554	428674	Q148
Colombia	18272	9634	8638	Q739
Comoros	128	71	57	Q970
Congo	810	314	495	Q971
Costa Rica	1610	831	779	Q800
Côte d'Ivoire	6501	3723	2778	Q1008
Croatia	2016	1152	863	Q224
Cuba	5563	2922	2641	Q241
Cyprus	730	401	330	Q229
Czechia	4680	2768	1912	Q213
Democratic People's Republic of Korea	31558	15056	16502	Q423
Democratic Republic of the Congo	13680	5337	8343	Q974
Denmark	4760	2302	2458	Q35
Djibouti	163	97	65	Q977
Dominican Republic	1699	962	738	Q786
Ecuador	4360	2444	1916	Q736
Egypt	25909	15081	10828	Q79
El Salvador	1236	587	649	Q792
Equatorial Guinea	220	100	121	Q983
Eritrea	1020	611	410	Q986
Estonia	345	229	116	Q191
Eswatini	402	233	169	Q1050
Ethiopia	15460	8304	7156	Q115
Fiji	336	212	124	Q712
Finland	1742	1112	630	Q33
France	31072	16639	14433	Q142
Gabon	311	141	170	Q1000
Gambia	352	183	169	Q1005
Georgia	2190	1263	927	Q230
Germany	58839	31552	27287	Q183
Ghana	4887	2374	2514	Q117
Greece	10499	5272	5227	Q41
Grenada	20	9	11	Q769
Guatemala	2756	1439	1317	Q774
Guinea	3004	1515	1488	Q1006
Guinea-Bissau	325	168	157	Q1007
Guyana	191	118	73	Q734
Haiti	3143	1855	1288	Q790
Honduras	1678	653	1025	Q783
Hungary	6538	3619	2920	Q28
Iceland	145	66	79	Q189
India	1017179	526709	490470	Q668
Indonesia	103704	65242	38462	Q252
Iran (Islamic Republic of)	14552	8681	5871	Q794
Iraq	3569	1889	1680	Q796
Ireland	2735	1405	1330	Q27
Israel	2804	1461	1343	Q801
Italy	41311	22130	19181	Q38
Jamaica	639	463	176	Q766
Japan	115041	65861	49180	Q17
Jordan	1042	672	370	Q810
Kazakhstan	6614	3922	2692	Q232
Kenya	3432	1658	1774	Q114
Kiribati	49	32	17	Q710
Kuwait	312	182	130	Q817
Kyrgyzstan	1509	865	644	Q813
Lao People's Democratic Republic	2463	1225	1238	Q819
Latvia	421	296	125	Q211
Lebanon	1574	732	842	Q822
Lesotho	1103	613	489	Q1013
Liberia	528	241	286	Q1014
Libya	1132	661	471	Q1016
Lithuania	699	479	220	Q37
Luxembourg	267	136	131	Q32
Madagascar	5953	3036	2917	Q1019
Malawi	1876	990	887	Q1020
Malaysia	6300	4230	2069	Q833
Maldives	113	54	58	Q826
Mali	5405	3007	2398	Q912
Malta	197	123	73	Q233
Mauritania	652	333	319	Q1025
Mauritius	887	497	390	Q1027
Mexico	36494	19373	17121	Q96
Micronesia (Federated States of)	39	23	15	Q702
Mongolia	335	198	137	Q711
Montenegro	186	120	67	Q236
Morocco	6441	3574	2867	Q1028
Mozambique	2915	1452	1464	Q1029
Myanmar	35749	22361	13388	Q836
Namibia	726	410	316	Q1030
Nepal	18952	8539	10413	Q837
Netherlands	10843	5631	5212	Q55
New Zealand	2209	1143	1066	Q664
Nicaragua	1041	540	500	Q811
Niger	3767	2041	1726	Q1032
Nigeria	32984	15299	17684	Q1033
Norway	3136	1605	1531	Q20
Oman	174	113	62	Q842
Pakistan	71484	48550	22934	Q843
Panama	1303	699	604	Q804
Papua New Guinea	3164	1933	1231	Q691
Paraguay	1170	742	428	Q733
Peru	9700	5281	4419	Q419
Philippines	42243	26398	15845	Q928
Poland	17892	10640	7251	Q36
Portugal	7155	3723	3432	Q45
Qatar	55	43	11	Q846
Republic of Korea	16740	9663	7077	Q884
Republic of Moldova	1007	636	371	Q217
North Macedonia	911	545	365	Q221
Romania	9349	5920	3429	Q218
Russian Federation	33346	22817	10529	Q159
Rwanda	1721	812	908	Q1037
Saint Lucia	65	44	21	Q760
Saint Vincent and the Grenadines	29	21	8	Q757
Samoa	52	35	16	Q683
Sao Tome and Principe	76	39	36	Q1039
Saudi Arabia	3031	1651	1381	Q851
Senegal	2736	1554	1182	Q1041
Serbia	5514	3261	2252	Q403
Seychelles	30	19	11	Q1042
Sierra Leone	1918	949	969	Q1044
Singapore	865	615	250	Q334
Slovakia	1335	855	480	Q214
Slovenia	742	410	332	Q215
Solomon Islands	181	120	61	Q685
Somalia	2296	1316	980	Q1045
South Africa	23526	14255	9271	Q258
South Sudan	1823	944	879	Q958
Spain	43187	24290	18897	Q29
Sri Lanka	11831	6254	5577	Q854
Sudan	8730	4548	4182	Q1049
Suriname	97	60	36	Q730
Sweden	5214	2437	2777	Q34
Switzerland	3625	1938	1687	Q39
Syrian Arab Republic	2742	1508	1234	Q858
Tajikistan	1775	959	815	Q863
Thailand	30746	19781	10965	Q869
Timor-Leste	264	141	123	Q574
Togo	1664	832	832	Q945
Tonga	39	26	13	Q678
Trinidad and Tobago	405	241	164	Q754
Tunisia	3115	1698	1418	Q948
Turkey	30282	19850	10432	Q43
Turkmenistan	467	268	199	Q874
Uganda	5447	2554	2894	Q1036
Ukraine	13068	8904	4164	Q212
United Arab Emirates	825	716	109	Q878
United Kingdom of Great Britain and Northern Ireland	50026	25576	24450	Q145
United Republic of Tanzania	6997	3411	3586	Q924
United States of America	246944	121715	125229	Q30
Uruguay	2671	1449	1222	Q77
Uzbekistan	3554	2031	1522	Q265
Vanuatu	87	59	28	Q686
Venezuela (Bolivarian Republic of)	7212	3742	3470	Q717
Viet Nam	30627	18082	12545	Q881
Yemen	6395	3476	2919	Q805
Zambia	1910	933	977	Q953
Zimbabwe	2970	1345	1625	Q954
