Country	$ (2000)	$ (2018)	ID
Afghanistan	0.76	2.24	Q889
Albania	0.15	0.93	Q222
Algeria	25.22	47.23	Q262
Angola	0.26	6.14	Q916
Antigua and Barbuda	0.01	0.04	Q781
Argentina	46.88	65.98	Q414
Australia	48.14	82.82	Q408
Austria	35.85	77.11	Q40
Azerbaijan	0.28	2.18	Q227
Bahamas, The	0.23	0.37	Q778
Bangladesh	7.49	49.21	Q902
Belarus	3.44	12.76	Q184
Belgium	41.42	66.72	Q31
Belize	0.08	0.1	Q242
Benin	0.49	1.31	Q962
Bhutan	0.04	0.18	Q917
Bolivia	1.11	4.17	Q750
Bosnia and Herzegovina	0.47	2.67	Q225
Botswana	0.33	0.96	Q963
Brazil	86.09	184.45	Q155
Brunei Darussalam	0.92	1.91	Q921
Burkina Faso	0.45	1.52	Q965
Burundi	0.09	0.28	Q967
Cambodia	0.59	04.02	Q424
Cameroon	1.79	7.18	Q1009
Canada	128.92	151.72	Q16
Cabo Verde	0.05	0.13	Q1011
Chad	0.12	0.32	Q657
Chile	13.14	31.4	Q298
Hong Kong SAR, China	7.88	3.53	Q8646
Macao SAR, China	0.5	0.3	Q14773
Colombia	13.92	37.14	Q739
Congo, Dem. Rep.	1.89	8.66	Q974
Congo, Rep.	0.11	0.57	Q971
Costa Rica	2.75	7.13	Q800
Cote d'Ivoire	1.84	6.42	Q1008
Croatia	3.64	7.63	Q224
Cuba	05.02	13.05	Q241
Cyprus	0.81	1.21	Q229
Czech Republic	14.56	56.55	Q213
Denmark	23.22	46.25	Q35
Dominica	0.02	0.01	Q784
Dominican Republic	5.1	12.09	Q786
Ecuador	4.1	15	Q736
Egypt, Arab Rep.	17.97	40.63	Q79
El Salvador	2.3	4.17	Q792
Estonia	0.88	04.07	Q191
Eswatini	0.59	1.36	Q1050
Ethiopia	0.46	4.91	Q115
Faroe Islands	0.07	0.17	Q4628
Fiji	0.21	0.58	Q712
Finland	30.36	40.52	Q33
France	197.22	275.76	Q142
Gabon	0.19	3.22	Q1000
Gambia, The	0.05	0.07	Q1005
Georgia	0.37	1.55	Q230
Germany	399.24	805.85	Q183
Ghana	0.45	6.86	Q117
Greece	12.35	20.94	Q41
Grenada	0.02	0.04	Q769
Guatemala	2.54	10.22	Q774
Guinea	0.11	1.15	Q1006
Guinea-Bissau	0.02	0.15	Q1007
Guyana	0.02	0.19	Q734
Honduras	1.46	04.04	Q783
Hungary	09.02	29.43	Q28
Iceland	01.04	2.16	Q189
India	74.6	395.69	Q668
Indonesia	37.39	207.03	Q252
Iran, Islamic Rep.	18.24	53.42	Q794
Ireland	23.1	123.95	Q27
Israel	22.26	44.31	Q801
Italy	201.01	312.85	Q38
Jamaica	0.84	1.21	Q766
Japan	1102.54	1027.97	Q17
Jordan	1.38	08.03	Q810
Kazakhstan	03.02	20.5	Q232
Kenya	1.31	6.82	Q114
Kiribati	0	0.01	Q710
Korea, Rep.	152.39	458.53	Q884
Kuwait	2.61	9.62	Q817
Kyrgyz Republic	0.25	1.18	Q813
Lao PDR	0.15	1.34	Q819
Latvia	01.08	3.56	Q211
Lebanon	1.97	4.19	Q822
Lesotho	0.12	0.42	Q1013
Liberia	0.02	0.06	Q1014
Lithuania	1.93	8.83	Q37
Luxembourg	02.05	3.65	Q32
Malawi	0.2	0.59	Q1020
Malaysia	28.95	77.32	Q833
Maldives	0.05	0.11	Q826
Malta	0.82	01.08	Q233
Marshall Islands	0	0.01	Q709
Mauritania	0.18	0.55	Q1025
Mauritius	0.92	1.61	Q1027
Mexico	134.42	211.45	Q96
Micronesia, Fed. Sts.	0	0	Q702
Moldova	0.18	1.28	Q217
Mongolia	0.08	1.24	Q711
Montenegro	0.09	0.22	Q236
Morocco	7.19	18.51	Q1028
Mozambique	0.72	1.3	Q1029
Myanmar	0.64	18.86	Q836
Namibia	0.38	1.62	Q1030
Nepal	0.49	1.46	Q837
Netherlands	55.61	101.53	Q55
New Zealand	8.16	21.04	Q664
Nicaragua	0.64	1.84	Q811
Niger	0.16	0.8	Q1032
Nigeria	9.68	38.42	Q1033
North Macedonia	0.34	1.42	Q221
Norway	15.15	25.61	Q20
Oman	30.17	30.28	Q842
Pakistan	8.38	38.33	Q843
Palau	0	0	Q695
Panama	1.39	3.83	Q804
Papua New Guinea	0.25	0.44	Q691
Paraguay	1.39	7.64	Q733
Peru	7.87	28.73	Q419
Philippines	21.15	66.24	Q928
Poland	27.7	98.55	Q36
Portugal	17.8	29.28	Q45
Puerto Rico	24.49	47.83	Q1183
Qatar	5.67	17.61	Q846
Romania	7.38	45.2	Q218
Russian Federation	52.49	217.52	Q159
Rwanda	0.2	0.73	Q1037
Samoa	0.05	0.05	Q683
Sao Tome and Principe	0.01	0.03	Q1039
Saudi Arabia	18.21	100.75	Q851
Serbia	1.86	7.34	Q403
Seychelles	0.12	0.11	Q1042
Sierra Leone	0.02	0.09	Q1044
Singapore	24.85	77.41	Q334
Slovak Republic	5.83	20.04	Q214
Slovenia	4.39	11.04	Q215
South Africa	23.83	43.29	Q258
Spain	96.89	159.48	Q29
Sri Lanka	2.46	13.99	Q854
St. Kitts and Nevis	0.03	0.06	Q763
St. Vincent and the Grenadines	0.02	0.04	Q757
Sudan	01.02	3.37	Q1049
Suriname	0.13	0.5	Q730
Sweden	52.98	72.38	Q34
