Country	Migrants	ID
Afghanistan	382	Q889
Albania	58	Q222
Algeria	242	Q262
American Samoa	23,00	Q16641
Andorra	42,00	Q228
Angola	107	Q916
Antigua and Barbuda	28	Q781
Argentina	2086	Q414
Armenia	191	Q399
Aruba	36,00	Q21203
Australia	6.764,00	Q408
Austria	1.492,00	Q40
Azerbaijan	264	Q227
Bahamas, The	59,00	Q778
Bahrain	704,00	Q398
Bangladesh	1.423,00	Q902
Barbados	34,00	Q244
Belarus	1083	Q184
Belgium	1.388,00	Q31
Belize	54	Q242
Benin	245	Q962
Bermuda	19,00	Q23635
Bhutan	51	Q917
Bolivia	143,00	Q750
Bosnia and Herzegovina	35	Q225
Botswana	161	Q963
Brazil	714	Q155
Brunei Darussalam	103,00	Q921
Bulgaria	102,00	Q219
Burkina Faso	705	Q965
Burundi	287	Q967
Cabo Verde	15	Q1011
Cambodia	74	Q424
Cameroon	382	Q1009
Canada	7.836,00	Q16
Cayman Islands	24,00	Q5785
Central African Republic	82,00	Q929
Chad	517	Q657
Channel Islands	82,00	Q42314
Chile	469,00	Q298
China	978	Q148
Hong Kong SAR, China	2.839,00	Q8646
Macao SAR, China	343,00	Q14773
Colombia	133	Q739
Comoros	13	Q970
Congo, Dem. Rep.	546	Q974
Congo, Rep.	393	Q971
Costa Rica	422	Q800
Cote d'Ivoire	2175	Q1008
Croatia	577,00	Q224
Cuba	13	Q241
Curacao	38,00	Q25279
Cyprus	196,00	Q229
Czech Republic	405,00	Q213
Denmark	573,00	Q35
Djibouti	112	Q977
Dominica	7	Q784
Dominican Republic	416,00	Q786
Ecuador	388	Q736
Egypt, Arab Rep.	492,00	Q79
El Salvador	42	Q792
Equatorial Guinea	11	Q983
Eritrea	16	Q986
Estonia	202,00	Q191
Eswatini	32	Q1050
Ethiopia	1.073,00	Q115
Faroe Islands	6	Q4628
Fiji	14,00	Q712
Finland	316,00	Q33
France	7.784,00	Q142
French Polynesia	30,00	Q30971
Gabon	268	Q1000
Gambia, The	193	Q1005
Georgia	169,00	Q230
Germany	12006	Q183
Ghana	399,00	Q117
Greece	1.243,00	Q41
Greenland	6	Q223
Grenada	7,00	Q769
Guam	76	Q16635
Guatemala	76	Q774
Guinea	228	Q1006
Guinea-Bissau	22	Q1007
Guyana	15,00	Q734
Haiti	40	Q790
Honduras	28,00	Q783
Hungary	450,00	Q28
Iceland	38	Q189
India	5241	Q668
Indonesia	329	Q252
Iran, Islamic Rep.	2726	Q794
Iraq	354,00	Q796
Ireland	746,00	Q27
Isle of Man	45,00	Q9676
Israel	2.012,00	Q801
Italy	5789	Q38
Jamaica	23,00	Q766
Japan	2044	Q17
Jordan	3112	Q810
Kazakhstan	3547	Q232
Kenya	1.084,00	Q114
Kiribati	3	Q710
Korea, Dem. Peopleâ€™s Rep.	48,00	Q423
Korea, Rep.	1327	Q884
Kuwait	2866	Q817
Kyrgyz Republic	204	Q813
Lao PDR	22,00	Q819
Latvia	263	Q211
Lebanon	1998	Q822
Lesotho	7	Q1013
Liberia	114,00	Q1014
Libya	771,00	Q1016
Liechtenstein	23,00	Q347
Lithuania	136,00	Q37
Luxembourg	249	Q32
North Macedonia	131	Q221
Madagascar	32	Q1019
Malawi	215	Q1020
Malaysia	2514	Q833
Maldives	94	Q826
Mali	363,00	Q912
Malta	41,00	Q233
Marshall Islands	3	Q709
Mauritania	138,00	Q1025
Mauritius	29	Q1027
Mexico	1.193,00	Q96
Micronesia, Fed. Sts.	3	Q702
Moldova	143,00	Q217
Monaco	21	Q235
Mongolia	18	Q711
Montenegro	83	Q236
Morocco	89	Q1028
Mozambique	223	Q1029
Myanmar	73	Q836
Namibia	94,00	Q1030
Nepal	518,00	Q837
Netherlands	1.979,00	Q55
New Caledonia	64,00	Q33788
New Zealand	1.040,00	Q664
Nicaragua	40	Q811
Niger	189	Q1032
Nigeria	1.199,00	Q1033
Northern Mariana Islands	22,00	Q16644
Norway	742,00	Q20
Oman	1845	Q842
Pakistan	3.629,00	Q843
Palau	6	Q695
Panama	185	Q804
Papua New Guinea	26	Q691
Paraguay	156,00	Q733
Peru	91	Q419
Philippines	212,00	Q928
Poland	619,00	Q36
Portugal	837,00	Q45
Puerto Rico	275,00	Q1183
Qatar	1.688,00	Q846
Romania	227,00	Q218
Russian Federation	11643	Q159
Rwanda	442	Q1037
Samoa	5,00	Q683
San Marino	5	Q238
Sao Tome and Principe	2,00	Q1039
Saudi Arabia	10186	Q851
Senegal	263	Q1041
Serbia	807,00	Q403
Seychelles	13	Q1042
Sierra Leone	91,00	Q1044
Singapore	2.544,00	Q334
Sint Maarten (Dutch part)	27,00	Q26273
Slovak Republic	177,00	Q214
Slovenia	236	Q215
Solomon Islands	3,00	Q685
Somalia	25,00	Q1045
South Africa	3.143,00	Q258
South Sudan	824,00	Q958
Spain	5.853,00	Q29
Sri Lanka	39,00	Q854
St. Kitts and Nevis	7	Q763
St. Lucia	13,00	Q760
St. Vincent and the Grenadines	5	Q757
Sudan	503,00	Q1049
Suriname	47	Q730
Sweden	1.640,00	Q34
Switzerland	2.439,00	Q39
Syrian Arab Republic	875	Q858
Tajikistan	275	Q863
Tanzania	261	Q924
Thailand	3.913,00	Q869
Timor-Leste	11	Q574
Togo	277	Q945
Tonga	6	Q678
Trinidad and Tobago	50,00	Q754
Tunisia	57,00	Q948
Turkey	2.965,00	Q43
Turkmenistan	196	Q874
Turks and Caicos Islands	12,00	Q18221
Tuvalu	0	Q672
Uganda	749	Q1036
Ukraine	4835	Q212
United Arab Emirates	8.095,00	Q878
United Kingdom	8.543,00	Q145
United States	46.627,00	Q30
Uruguay	72,00	Q77
Uzbekistan	1171	Q265
Vanuatu	3	Q686
Venezuela, RB	1404	Q717
Vietnam	73,00	Q881
Virgin Islands (U.S.)	57,00	Q11703
West Bank and Gaza	256	Q407199
Yemen, Rep.	344	Q805
Zambia	128	Q953
Zimbabwe	399	Q954
