Country	Savings (2010)	Savings (2019)	ID
Afghanistan	2	19	Q889
Albania	20	14	Q222
Algeria	50	38	Q262
Angola	37	25	Q916
Argentina	17	17	Q414
Armenia	13	9	Q399
Aruba	4	15	Q21203
Australia	22	22	Q408
Austria	26	28	Q40
Azerbaijan	44	29	Q227
Bahamas, The	24	13	Q778
Bahrain	30	30	Q398
Bangladesh	39	36	Q902
Belarus	27	28	Q184
Belgium	25	24	Q31
Belize	10	8	Q242
Benin	11	20	Q962
Bhutan	35	22	Q917
Bolivia	25	14	Q750
Bosnia and Herzegovina	8	15	Q225
Botswana	35	33	Q963
Brazil	18	12	Q155
Brunei Darussalam	60	54	Q921
Bulgaria	22	24	Q219
Burundi	3	4	Q967
Cabo Verde	35	35	Q1011
Cambodia	18	24	Q424
Cameroon	18	17	Q1009
Canada	19	20	Q16
Chile	25	19	Q298
China	51	45	Q148
Hong Kong SAR, China	31	25	Q8646
Macao SAR, China	53	52	Q14773
Colombia	18	15	Q739
Comoros	14	13	Q970
Congo, Dem. Rep.	20	17	Q974
Costa Rica	16	14	Q800
Cote d'Ivoire	15	17	Q1008
Croatia	19	25	Q224
Cyprus	13	14	Q229
Czech Republic	23	27	Q213
Denmark	25	31	Q35
Dominican Republic	19	22	Q786
Ecuador	26	25	Q736
Egypt, Arab Rep.	18	14	Q79
El Salvador	14	17	Q792
Estonia	23	29	Q191
Eswatini	8	14	Q1050
Ethiopia	33	33	Q115
Finland	24	23	Q33
France	21	23	Q142
Gambia, The	0	9	Q1005
Georgia	11	22	Q230
Germany	26	29	Q183
Ghana	5	21	Q117
Greece	6	13	Q41
Guatemala	13	17	Q774
Guinea	7	12	Q1006
Guinea-Bissau	-3	9	Q1007
Guyana	13	35	Q734
Haiti	24	24	Q790
Honduras	17	22	Q783
Hungary	21	28	Q28
Iceland	4	26	Q189
India	36	29	Q668
Indonesia	33	31	Q252
Iraq	36	15	Q796
Ireland	17	34	Q27
Israel	22	24	Q801
Italy	17	21	Q38
Jamaica	13	21	Q766
Japan	25	28	Q17
Jordan	23	11	Q810
Kazakhstan	30	26	Q232
Kenya	14	9	Q114
Kiribati	15	64	Q710
Korea, Rep.	35	35	Q884
Kosovo	21	23	Q1246
Kuwait	51	43	Q817
Kyrgyz Republic	20	27	Q813
Latvia	22	22	Q211
Lebanon	5	-4	Q822
Lesotho	29	25	Q1013
Liberia	-23	-64	Q1014
Lithuania	18	21	Q37
Luxembourg	23	17	Q32
Madagascar	17	19	Q1019
Malawi	18	11	Q1020
Malaysia	33	26	Q833
Mali	13	16	Q912
Malta	19	30	Q233
Marshall Islands	28	17	Q709
Mauritania	37	29	Q1025
Mauritius	14	17	Q1027
Mexico	24	23	Q96
Moldova	17	16	Q217
Mongolia	27	23	Q711
Montenegro	1	16	Q236
Morocco	30	28	Q1028
Mozambique	12	13	Q1029
Myanmar	33	29	Q836
Namibia	18	9	Q1030
Nepal	38	48	Q837
Netherlands	27	31	Q55
New Zealand	17	19	Q664
Nicaragua	16	25	Q811
Niger	18	17	Q1032
Nigeria	24	19	Q1033
North Macedonia	24	32	Q221
Norway	37	33	Q20
Oman	35	18	Q842
Pakistan	22	21	Q843
Palau	17	11	Q695
Panama	23	29	Q804
Paraguay	24	21	Q733
Peru	22	20	Q419
Philippines	40	32	Q928
Poland	16	20	Q36
Portugal	11	19	Q45
Qatar	60	47	Q846
Romania	22	18	Q218
Russian Federation	26	28	Q159
Rwanda	13	14	Q1037
Saudi Arabia	44	34	Q851
Senegal	15	23	Q1041
Serbia	14	18	Q403
Seychelles	18	11	Q1042
Sierra Leone	21	-7	Q1044
Singapore	51	43	Q334
Slovak Republic	21	22	Q214
Slovenia	22	27	Q215
South Africa	18	15	Q258
Spain	19	23	Q29
Sri Lanka	28	27	Q854
Sudan	19	15	Q1049
Sweden	29	29	Q34
Switzerland	39	35	Q39
Tajikistan	12	25	Q863
Tanzania	25	31	Q924
Thailand	30	31	Q869
Timor-Leste	257	14	Q574
Togo	16	23	Q945
Tunisia	21	8	Q948
Turkey	21	25	Q43
Uganda	19	24	Q1036
Ukraine	18	12	Q212
United Kingdom	13	14	Q145
United States	16	19	Q30
Uruguay	17	13	Q77
Vietnam	30	23	Q881
West Bank and Gaza	7	13	Q407199
Zambia	31	44	Q953
Zimbabwe	-4	-2	Q954
