Country	Fixed telephone	Mobile cellular	ID
Suriname	2020.3	130.6	Q730
Sweden	24	126.8	Q34
Switzerland	38.7	126.8	Q39
Syrian Arab Republic	16.2	101.1	Q858
Tajikistan	2020.4	111.5	Q863
Tanzania	0.2	77.2	Q924
Thailand	2020.2	180.2	Q869
Timor-Leste	0.2	115.8	Q574
Togo	0.5	77.9	Q945
Tonga	14.2	104.6	Q678
Trinidad and Tobago	2020.1	141.9	Q754
Tunisia	2020.3	127.7	Q948
Turkey	2020.1	97.3	Q43
Turkmenistan	2020.8	162.9	Q874
Tuvalu	17.6	70.4	Q672
Uganda	0.4	57.3	Q1036
Ukraine	2020.4	127.8	Q212
United Arab Emirates	24.3	208.5	Q878
United Kingdom	47.5	118.4	Q145
United States	33.6	129	Q30
Uruguay	33.4	149.9	Q77
Uzbekistan	2020.7	71.5	Q265
Vanuatu	1.4	85.9	Q686
Venezuela, RB	2020.2	71.8	Q717
Vietnam	2020.5	147.2	Q881
West Bank and Gaza	9.7	90	Q407199
Yemen, Rep.	4.3	53.7	Q805
Zambia	0.6	89.2	Q953
Zimbabwe	1.9	89.4	Q954
