Country	Institution	ID
Afghanistan	-7.8	Q889
Albania	-42	Q222
Algeria	0	Q262
Angola	-1.1	Q916
Argentina	0	Q414
Armenia	-35.4	Q399
Azerbaijan	-48.7	Q227
Bangladesh	1218.5	Q902
Belarus	0	Q184
Belize	0	Q242
Benin	93.4	Q962
Bhutan	30.5	Q917
Bolivia	20.5	Q750
Bosnia and Herzegovina	-30.9	Q225
Botswana	-0.4	Q963
Brazil	0	Q155
Bulgaria	0	Q219
Burkina Faso	166.3	Q965
Burundi	-3.3	Q967
Cabo Verde	0.2	Q1011
Cambodia	7	Q424
Cameroon	127	Q1009
Central African Republic	37.1	Q929
Chad	-3.6	Q657
China	-681.4	Q148
Colombia	0	Q739
Comoros	-0.3	Q970
Congo, Dem. Rep.	180.2	Q974
Congo, Rep.	27.2	Q971
Costa Rica	0	Q800
Cote d'Ivoire	214.3	Q1008
Djibouti	12.1	Q977
Dominica	2.1	Q784
Dominican Republic	-0.7	Q786
Ecuador	-0.8	Q736
Egypt, Arab Rep.	-117.8	Q79
El Salvador	-0.6	Q792
Eritrea	0	Q986
Ethiopia	1493.9	Q115
Fiji	0	Q712
Gabon	0	Q1000
Gambia, The	13.3	Q1005
Georgia	-70.1	Q230
Ghana	75.2	Q117
Grenada	32.1	Q769
Guatemala	0	Q774
Guinea	98.1	Q1006
Guinea-Bissau	46.1	Q1007
Guyana	41.1	Q734
Haiti	0	Q790
Honduras	-28.5	Q783
India	-783.8	Q668
Indonesia	-172.8	Q252
Iran, Islamic Rep.	0	Q794
Jamaica	0	Q766
Jordan	12.9	Q810
Kazakhstan	0	Q232
Kenya	631.2	Q114
Kosovo	8.6	Q1246
Kyrgyz Republic	7.8	Q813
Lao PDR	18.9	Q819
Lebanon	0	Q822
Lesotho	24.6	Q1013
Liberia	69.3	Q1014
North Macedonia	-16.1	Q221
Madagascar	92.8	Q1019
Malawi	78.4	Q1020
Maldives	-2.7	Q826
Mali	149.3	Q912
Mauritania	2	Q1025
Mauritius	-0.6	Q1027
Mexico	0	Q96
Moldova	23.8	Q217
Mongolia	4.7	Q711
Montenegro	-8.1	Q236
Morocco	-1	Q1028
Mozambique	153.3	Q1029
Myanmar	180.7	Q836
Nepal	511.8	Q837
Nicaragua	43.9	Q811
Niger	140.7	Q1032
Nigeria	850.5	Q1033
Pakistan	129.6	Q843
Papua New Guinea	187.2	Q691
Paraguay	-0.9	Q733
Peru	0	Q419
Philippines	-17.2	Q928
Romania	0	Q218
Russian Federation	0	Q159
Rwanda	241.2	Q1037
Samoa	4	Q683
Sao Tome and Principe	-0.3	Q1039
Senegal	122.6	Q1041
Serbia	-67.7	Q403
Sierra Leone	15.7	Q1044
Solomon Islands	1.4	Q685
Somalia	0	Q1045
South Africa	0	Q258
Sri Lanka	17.6	Q854
St. Lucia	3.2	Q760
St. Vincent and the Grenadines	0.6	Q757
Sudan	20.4	Q1049
Eswatini	-0.1	Q1050
Syrian Arab Republic	0	Q858
Tajikistan	14.6	Q863
Tanzania	516.8	Q924
Thailand	0	Q869
Timor-Leste	2.9	Q574
Togo	17.3	Q945
Tonga	2.8	Q678
Tunisia	-1.4	Q948
Turkey	-3	Q43
Turkmenistan	0	Q874
Uganda	189.9	Q1036
Ukraine	0	Q212
Uzbekistan	656.8	Q265
Vanuatu	26.8	Q686
Venezuela, RB	0	Q717
Vietnam	485.8	Q881
Yemen, Rep.	-70.9	Q805
Zambia	132.1	Q953
Zimbabwe	0	Q954
