Country	Cancer rate	ID
Australia	468.0	Q408
New Zealand	438.1	Q664
Ireland	373.7	Q27
Hungary	368.1	Q28
United States	352.2	Q30
Belgium	345.8	Q31
France	344.1	Q142
Denmark	340.4	Q35
Norway	337.8	Q20
Netherlands	334.1	Q55
Canada	334.0	Q16
France (New Caledonia)	324.2	Q33788
United Kingdom	319.2	Q145
South Korea	313.5	Q884
Germany	313.1	Q183
Switzerland	311.0	Q39
Luxembourg	309.3	Q32
Serbia	307.9	Q403
Slovenia	304.9	Q215
Latvia	302.2	Q211
Slovakia	297.5	Q214
Czech Republic	296.7	Q213
Sweden	294.7	Q34
Italy	290.6	Q38
Croatia	287.2	Q224
Lithuania	285.8	Q37
Estonia	283.3	Q191
Greece	279.8	Q41
Spain	272.3	Q29
Finland	266.2	Q33
Uruguay	263.4	Q77
Belarus	260.7	Q184
Portugal	259.5	Q45
Iceland	257.8	Q189
France (Guadeloupe)	254.6	Q3118683
United States (Puerto Rico)	254.5	Q1183
Moldova	254.2	Q217
Poland	253.8	Q36
Cyprus	250.8	Q229
France (Martinique)	250.8	Q17054
Malta	249.4	Q233
Singapore	248.9	Q334
Japan	248.0	Q17
Austria	247.7	Q40
Barbados	247.5	Q244
France (French Guiana)	247.0	Q1006
Bulgaria	242.8	Q219
Lebanon	242.8	Q822
France (French Polynesia)	240.6	Q30971
Israel	233.6	Q801
