Country	Political Rights (2015)	Civil Liberties (2015)	Political Rights  (2016)	Civil Liberties  (2016)	Political Rights (2017)	Civil Liberties (2017)	Political Rights (2018)	Civil Liberties (2018)	Political Rights (2019)	Civil Liberties (2019)	Political Rights (2020)	Civil Liberties (2020)	ID
Afghanistan	6	6	6	6	6	6	5	6	5	6	5	6	Q889
Albania	3	3	3	3	3	3	3	3	3	3	3	3	Q222
Algeria	6	5	6	5	6	5	6	5	6	5	6	5	Q262
Andorra	1	1	1	1	1	1	1	1	1	1	1	1	Q228
Angola	6	5	6	6	6	6	6	6	6	5	6	5	Q916
Antigua and Barbuda	2	2	2	2	2	2	2	2	2	2	2	2	Q781
Argentina	2	2	2	2	2	2	2	2	2	2	1	1	Q414
Armenia	5	4	5	4	5	4	5	4	4	4	4	4	Q399
Australia	1	1	1	1	1	1	1	1	1	1	1	1	Q408
Austria	1	1	1	1	1	1	1	1	1	1	1	1	Q40
Azerbaijan	6	6	7	6	7	6	7	6	7	6	7	6	Q227
Bahamas	1	1	1	1	1	1	1	1	1	1	1	1	Q778
Bahrain	7	6	7	6	7	6	7	6	7	6	7	6	Q398
Bangladesh	4	4	4	4	4	4	4	4	5	5	5	5	Q902
Barbados	1	1	1	1	1	1	1	1	1	1	1	1	Q244
Belarus	7	6	7	6	7	6	6	6	7	6	7	6	Q184
Belgium	1	1	1	1	1	1	1	1	1	1	1	1	Q31
Belize	1	2	1	2	1	2	1	2	1	2	1	2	Q242
Benin	2	2	2	2	2	2	2	2	2	2	4	2	Q962
Bhutan	3	4	3	4	3	4	3	4	3	4	3	4	Q917
Bolivia	3	3	3	3	3	3	3	3	3	3	3	3	Q750
Bosnia and Herzegovina	4	3	4	3	4	4	4	4	4	4	4	4	Q225
Botswana	3	2	3	2	3	2	3	2	3	2	3	2	Q963
Brazil	2	2	2	2	2	2	2	2	2	2	2	2	Q155
Brunei	6	5	6	5	6	5	6	5	6	5	6	5	Q921
Bulgaria	2	2	2	2	2	2	2	2	2	2	2	2	Q219
Burkina Faso	6	3	4	3	4	3	4	3	4	3	4	3	Q965
Burundi	6	5	7	6	7	6	7	6	7	6	7	6	Q967
Cambodia	6	5	6	5	6	5	6	5	6	5	6	5	Q424
Cameroon	6	6	6	6	6	6	6	6	6	6	6	6	Q1009
Canada	1	1	1	1	1	1	1	1	1	1	1	1	Q16
Cape Verde	1	1	1	1	1	1	1	1	1	1	1	1	Q1011
Central African Republic	7	7	7	7	7	7	7	7	7	7	7	7	Q929
