Country	Goods, Exports	Goods, Imports	Services, Exports	ID
Afghanistan	0	0.2	16.2	Q889
Albania	0	1.9	3	Q222
Algeria	0	4.9	5.2	Q262
Angola	0	2.5	2.5	Q916
Antigua and Barbuda	1.2	3.7	0.9	Q781
Argentina	0.1	2020.6	2020.6	Q414
Armenia	0.3	5.4	11	Q399
Aruba	2020.3	2020.2	2020.1	Q21203
Australia	1	10.4	4.3	Q408
Austria	3.4	5.3	9.8	Q40
Azerbaijan	0	4.6	1.4	Q227
Bahrain	0.4	4.2	6.7	Q398
Belarus	0.7	2020.6	2020.4	Q184
Belgium	1.7	2.7	10.7	Q31
Belize	0.1	3.6	3.7	Q242
Benin	0.1	1.9	8	Q962
Bermuda	2020.4	3	2020.8	Q23635
Bolivia	0.1	4.3	4.6	Q750
Bosnia and Herzegovina	0.2	2020.6	8	Q225
Botswana	0.2	3	2.2	Q963
Brazil	0.4	2020.8	2020.3	Q155
Brunei Darussalam	0.2	3	0	Q921
Bulgaria	3.3	5	12.3	Q219
Burkina Faso	0	3.4	10.8	Q965
Burundi	0.1	4.8	3.2	Q967
Cabo Verde	0	3.5	5	Q1011
Cambodia	1.9	2.2	1.4	Q424
Cameroon	0	3.4	6.8	Q1009
Canada	1.8	7.2	8.3	Q16
Chile	0.3	2020.1	2020.4	Q298
China	27.3	22.7	12.7	Q148
Colombia	0.2	9.9	4.1	Q739
Costa Rica	0.9	2020.6	2020.8	Q800
Cote d'Ivoire	0	3.2	10.7	Q1008
Croatia	2.3	4.8	5.2	Q224
Cyprus	4.5	3.5	15.8	Q229
Czech Republic	15.1	16.3	14	Q213
Denmark	3.7	7	6.5	Q35
Dominican Republic	2.2	4.8	1.6	Q786
Ecuador	0.1	5.9	1.4	Q736
Egypt, Arab Rep.	2.4	5	3.5	Q79
El Salvador	0.2	5.1	8	Q792
Estonia	8.5	8.5	10.5	Q191
Eswatini	0.1	3	5.3	Q1050
Ethiopia	1.7	6.2	2.2	Q115
Fiji	3.9	4.9	1.7	Q712
Finland	2.6	7.3	26.2	Q33
France	4	6.1	6.7	Q142
Gambia, The	0.1	0.4	3	Q1005
Georgia	0.4	2020.2	2020.3	Q230
Germany	5	8.6	11.7	Q183
Greece	2020.1	2020.4	3	Q41
Guatemala	0.2	6.4	7	Q774
Guyana	0	1.3	3.4	Q734
Honduras	0.5	5.2	9.6	Q783
Hong Kong SAR, China	55.5	53.5	2.9	Q8646
Hungary	11.3	12.5	8.2	Q28
Iceland	0.2	5.8	4.8	Q189
India	1.2	9.2	42.4	Q668
Indonesia	2.9	7.7	4	Q252
Ireland	6.8	8.1	43.2	Q27
Israel	2020.6	2020.9	45.4	Q801
Italy	2	4.9	8.1	Q38
Jamaica	1	3.6	3.6	Q766
Japan	8.1	11.9	2.7	Q17
Jordan	2	4.7	0.4	Q810
Kazakhstan	0.1	6	2020.8	Q232
Kenya	0.3	3.8	10.2	Q114
Korea, Rep.	2020.8	14	2020.8	Q884
Kuwait	0.2	7.2	43.3	Q817
Kyrgyz Republic	0.1	3.9	4.8	Q813
Lao PDR	10	7.4	3.2	Q819
Latvia	8.4	8.2	12.5	Q211
Lebanon	0.7	3.1	4.2	Q822
Lesotho	2.8	2.7	5.5	Q1013
Lithuania	3.5	4.9	5.8	Q37
Luxembourg	2.4	4.4	3.8	Q32
Macao SAR, China	2020.8	2020.8	0.1	Q14773
North Macedonia	0.6	3.6	10.7	Q221
Madagascar	0	2.7	7.5	Q1019
Malawi	0.1	4	27	Q1020
Malaysia	33.1	25.1	7.2	Q833
Maldives	0	4.5	3.3	Q826
Malta	15.7	6.5	0.6	Q233
Mauritius	2020.4	2020.1	2020.2	Q1027
Mexico	15	15.2	0.3	Q96
Moldova	0.2	4	2020.9	Q217
Mongolia	0	2020.3	2020.6	Q711
Montenegro	0.5	3.9	3.9	Q236
Morocco	2.1	3.9	8.6	Q1028
Mozambique	0.5	2.7	3.2	Q1029
Myanmar	0.5	2.9	2.9	Q836
Namibia	0.2	2.8	5.1	Q1030
Nepal	0.6	5.3	18	Q837
Netherlands	10.8	13.7	9.4	Q55
New Zealand	1	7.3	3.5	Q664
Nicaragua	0.1	2.7	11.2	Q811
Niger	0.1	4.2	42.1	Q1032
Nigeria	0	3.1	5.8	Q1033
Norway	0.9	6.7	5.7	Q20
Oman	0.4	4.9	3	Q842
Pakistan	0.2	3.9	15.9	Q843
Palau	0	3.1	2.2	Q695
Panama	2020.7	2020.3	2020.2	Q804
Paraguay	0.1	15.6	1.4	Q733
Peru	0.1	8.3	2.1	Q419
Philippines	38.3	22.1	16.5	Q928
Poland	6.9	8.5	10.9	Q36
Portugal	3	5.6	4.6	Q45
Qatar	0	5.1	3.5	Q846
Romania	2.9	7.1	18.1	Q218
Russian Federation	0.5	2020.9	2020.1	Q159
Rwanda	1	9.8	2	Q1037
Samoa	0.3	3.6	8	Q683
Sao Tome and Principe	0.4	4	0.3	Q1039
Saudi Arabia	0.1	7.5	1.9	Q851
Serbia	1	2020.6	2020.1	Q403
Seychelles	0.1	2.8	1.3	Q1042
Sierra Leone	0.3	1.8	68.2	Q1044
Singapore	29.6	26.6	6.7	Q334
Slovak Republic	14.3	13.7	14.6	Q214
Slovenia	1.6	3.7	7.4	Q215
Solomon Islands	0	2.6	1.8	Q685
South Africa	1	7.9	4.2	Q258
Spain	1.5	5.2	8.7	Q29
Sri Lanka	0.6	4.7	12	Q854
St. Kitts and Nevis	2020.5	2020.5	0.9	Q763
St. Lucia	8.7	4.8	1.3	Q760
St. Vincent and the Grenadines	0.3	4.4	3.3	Q757
Suriname	0	1.3	7.9	Q730
Sweden	5.8	9.2	19.1	Q34
Switzerland	1.1	3.9	11	Q39
Tanzania	4.2	3.1	0.4	Q924
Thailand	15.6	13.4	0.6	Q869
Timor-Leste	0.3	3.9	2	Q574
Togo	0.1	2.7	6.6	Q945
Tunisia	6	5.3	9.2	Q948
Turkey	2020.2	2020.2	0.6	Q43
Uganda	0.4	4	2.4	Q1036
Ukraine	1	2020.8	2020.5	Q212
United Kingdom	3.9	8.1	7	Q145
United States	8.9	13.6	5.3	Q30
Uruguay	0.1	2020.8	2020.5	Q77
West Bank and Gaza	0.4	3.9	15.1	Q407199
Zambia	0.1	4.4	4.3	Q953
Zimbabwe	0	2.8	3.3	Q954
