Country	$ (2010)	$(2019)	ID
Afghanistan	15.9	19.1	Q889
Albania	11.9	15.3	Q222
Algeria	161.2	170	Q262
American Samoa	0.6	0.6	Q16641
Andorra	3.4	3.2	Q228
Angola	83.8	94.6	Q916
Antigua and Barbuda	1.1	1.7	Q781
Argentina	423.6	449.7	Q414
Armenia	9.3	13.7	Q399
Aruba	2.4	3.1	Q21203
Australia	1.1	1.7	Q408
Austria	391.9	446.3	Q40
Azerbaijan	52.9	48	Q227
Bahamas, The	10.1	12.8	Q778
Bahrain	25.7	38.6	Q398
Bangladesh	115.3	302.6	Q902
Barbados	4.5	5.2	Q244
Belarus	57.2	63.1	Q184
Belgium	481	529.6	Q31
Belize	1.4	1.9	Q242
Benin	9.5	14.4	Q962
Bhutan	1.5	2.4	Q917
Bolivia	19.6	40.9	Q750
Bosnia and Herzegovina	17.2	20	Q225
Botswana	12.8	18.3	Q963
Brazil	1.9	1.8	Q155
Brunei Darussalam	13.7	13.5	Q921
Bulgaria	50.4	67.9	Q219
Burkina Faso	10.1	15.7	Q965
Burundi	2	3	Q967
Cabo Verde	1.7	2	Q1011
Cambodia	11.2	27.1	Q424
Cameroon	26.2	38.8	Q1009
Canada	1613.5	1736.4	Q16
Cayman Islands	4.2	5.5	Q5785
Central African Republic	2.1	2.2	Q929
Chad	10.7	11.3	Q657
Chile	218.5	282.3	Q298
China	1.2	14342.9	Q148
Hong Kong SAR, China	228.6	366	Q8646
Macao SAR, China	28.1	53.9	Q14773
Colombia	286.6	323.8	Q739
Comoros	0.9	1.2	Q970
Congo, Dem. Rep.	21.6	47.3	Q974
Congo, Rep.	12	10.8	Q971
Costa Rica	37.3	61.8	Q800
Cote d'Ivoire	24.9	58.8	Q1008
Croatia	59.8	60.4	Q224
Cuba	64.3	100	Q241
Curacao	3	3.1	Q25279
Cyprus	25.7	24.6	Q229
Czech Republic	207.5	246.5	Q213
Denmark	322	348.1	Q35
Djibouti	1.1	3.3	Q977
Dominica	0.5	0.6	Q784
Dominican Republic	53.9	88.9	Q786
Ecuador	69.6	107.4	Q736
Egypt, Arab Rep.	218.9	303.2	Q79
El Salvador	18.4	27	Q792
Equatorial Guinea	16.3	11	Q983
Estonia	19.7	31.4	Q191
Eswatini	4.4	4.4	Q1050
Ethiopia	29.9	96.1	Q115
Faroe Islands	2.3	2.8	Q4628
Fiji	3.1	5.5	Q712
Finland	249.2	268.8	Q33
France	1.6	1.5	Q142
Gabon	14.4	16.7	Q1000
Gambia, The	1.5	1.8	Q1005
Georgia	12.2	17.7	Q230
Germany	1.4	1.6	Q183
Ghana	32.2	67	Q117
Greece	299.4	209.9	Q41
Greenland	2.5	3.1	Q223
Grenada	0.8	1.2	Q769
Guam	4.9	5.9	Q16635
Guatemala	41.3	76.7	Q774
Guinea	6.9	13.6	Q1006
Guinea-Bissau	0.8	1.3	Q1007
Guyana	2.3	4.3	Q734
Haiti	6.6	8.5	Q790
Honduras	15.8	25.1	Q783
Hungary	131.1	161	Q28
Iceland	13.7	24.2	Q189
India	1.6	1.1	Q668
Indonesia	755.1	1119.2	Q252
Iran, Islamic Rep.	486.8	445.3	Q794
Iraq	138.5	234.1	Q796
Ireland	222.1	388.7	Q27
Isle of Man	5.9	6.8	Q9676
Israel	234	395.1	Q801
Italy	2134	2001.2	Q38
Jamaica	13.2	16.5	Q766
Japan	1.1	5081.8	Q17
Jordan	26.8	43.7	Q810
Kazakhstan	148	180.2	Q232
Kenya	40	95.5	Q114
Kiribati	0.2	0.2	Q710
Korea, Rep.	1.1	1.4	Q884
Kosovo	5.8	7.9	Q1246
Kuwait	115.4	134.8	Q817
Kyrgyz Republic	4.8	8.5	Q813
Lao PDR	7.1	18.2	Q819
Latvia	23.8	34.1	Q211
Lebanon	38.4	53.4	Q822
Lesotho	2.3	2.5	Q1013
Liberia	2	3.1	Q1014
Libya	74.8	52.1	Q1016
Liechtenstein	5.1	6.6	Q347
Lithuania	37	54.2	Q37
Luxembourg	53.2	71.1	Q32
Madagascar	10	14.1	Q1019
Malawi	7	7.7	Q1020
Malaysia	255	364.7	Q833
Maldives	2.6	5.7	Q826
Mali	10.7	17.5	Q912
Malta	8.7	14.8	Q233
Marshall Islands	0.2	0.2	Q709
Mauritania	5.6	7.6	Q1025
Mauritius	10	14.2	Q1027
Mexico	1.8	1.3	Q96
Micronesia, Fed. Sts.	0.3	0.4	Q702
Moldova	7	12	Q217
Monaco	5.4	7.2	Q235
Mongolia	7.2	13.9	Q711
Montenegro	4.1	5.5	Q236
Morocco	93.2	118.7	Q1028
Mozambique	11.1	14.9	Q1029
Myanmar	49.5	76.1	Q836
Namibia	11.3	12.4	Q1030
Nepal	16	30.6	Q837
Netherlands	846.6	909.1	Q55
New Zealand	146.6	206.9	Q664
Nicaragua	8.8	12.5	Q811
Niger	7.8	12.9	Q1032
Nigeria	363.4	448.1	Q1033
North Macedonia	9.4	12.7	Q221
Northern Mariana Islands	0.8	1.3	Q16644
Norway	428.8	403.3	Q20
Oman	57	77	Q842
Pakistan	177.2	278.2	Q843
Palau	0.2	0.3	Q695
Panama	29.4	66.8	Q804
Papua New Guinea	14.3	25	Q691
Paraguay	27.2	38.1	Q733
Peru	147.5	226.8	Q419
Philippines	208.4	376.8	Q928
Poland	479.3	592.2	Q36
Portugal	237.9	237.7	Q45
Puerto Rico	98.4	105	Q1183
Qatar	125.1	183.5	Q846
