Country	Reaching grade 5, male_1999	Reaching grade 5, male_2017	Reaching grade 5, female_1999	Reaching grade 5, female_2017	Reaching last grade of primary education, male_2017	Reaching last grade of primary education, female_2017	ID
Algeria	94	95	96	97	95	97	Q262
Argentina	98	95	94	96	94	94	Q414
Bahrain	95	99	96	97	98	96	Q398
Belize	74	96	78	96	95	96	Q242
Benin	89	58	78	57	49	46	Q962
Bhutan	89	87	92	93	85	93	Q917
Burkina Faso	67	78	70	85	64	74	Q965
Burundi	59	51	58	58	40	47	Q967
Cabo Verde	88	92	95	93	89	91	Q1011
Cambodia	63	86	63	92	79	88	Q424
Chad	59	37	51	34	30	26	Q657
Colombia	64	90	69	94	90	94	Q739
Costa Rica	90	93	93	97	92	97	Q800
Cote d'Ivoire	73	83	65	84	83	81	Q1008
Cuba	95	96	96	97	96	97	Q241
Cyprus	94	99	96	99	99	99	Q229
Czech Republic	98	99	99	100	99	100	Q213
Dominican Republic	71	83	79	86	77	82	Q786
Ecuador	77	99	77	99	99	99	Q736
Egypt, Arab Rep.	99	97	99	98	96	97	Q79
El Salvador	64	85	70	88	81	85	Q792
Eritrea	96	80	91	80	80	80	Q986
Estonia	99	99	99	100	99	99	Q191
Eswatini	72	95	88	95	82	86	Q1050
Fiji	89	92	86	93	90	93	Q712
Finland	100	100	99	100	100	100	Q33
Gambia, The	65	78	66	81	73	77	Q1005
Ghana	67	86	65	87	81	82	Q117
Guatemala	55	87	58	89	84	86	Q774
Honduras	56	86	60	89	81	85	Q783
India	63	91	60	92	91	92	Q668
Indonesia	87	99	92	100	97	99	Q252
Iran, Islamic Rep.	98	98	97	96	98	94	Q794
Israel	100	100	99	98	99	98	Q801
Italy	95	100	96	100	100	100	Q38
Jamaica	85	96	89	97	96	97	Q766
Jordan	98	96	97	99	95	97	Q810
Korea, Rep.	100	99	99	100	99	100	Q884
Lao PDR	55	81	54	83	81	83	Q819
Lebanon	87	86	94	90	83	88	Q822
Lesotho	68	79	81	89	59	81	Q1013
Luxembourg	97	96	94	96	82	84	Q32
Madagascar	52	34	53	36	34	36	Q1019
Malaysia	87	97	87	98	95	97	Q833
Mauritania	66	68	67	73	63	66	Q1025
Mauritius	100	96	99	99	95	97	Q1027
Mexico	88	100	90	98	99	98	Q96
Morocco	82	95	82	96	92	94	Q1028
Mozambique	47	57	38	54	41	37	Q1029
Namibia	92	90	93	94	81	87	Q1030
Nepal	57	74	63	73	74	73	Q837
Norway	100	100	100	99	99	99	Q20
Oman	94	98	94	99	98	98	Q842
Peru	88	95	87	94	93	93	Q419
Philippines	69	93	79	96	91	95	Q928
Rwanda	41	64	43	72	51	60	Q1037
Samoa	89	87	94	88	85	86	Q683
Senegal	75	73	69	78	56	64	Q1041
Seychelles	96	97	97	96	97	96	Q1042
South Africa	65	81	64	93	71	90	Q258
Sri Lanka	98	98	98	99	98	99	Q854
Tanzania	80	94	80	96	90	93	Q924
Thailand	83	98	88	100	97	100	Q869
Tunisia	91	97	93	97	93	95	Q948
Uganda	56	60	58	62	35	36	Q1036
Uruguay	87	99	90	100	99	100	Q77
Venezuela, RB	88	87	94	87	82	84	Q717
