Country	Population (1990)	Population (2016)	ID
Afghanistan	59	43	Q889
Albania	21	27	Q222
Algeria	13	9	Q262
Angola	33	39	Q916
Argentina	39	37	Q414
Armenia	49	58	Q399
Australia	25	22	Q408
Austria	32	37	Q40
Azerbaijan	45	42	Q227
Bahrain	29	38	Q398
Bangladesh	32	33	Q902
Belarus	24	27	Q184
Belgium	18	18	Q31
Benin	29	16	Q962
Bolivia	28	23	Q750
Bosnia and Herzegovina	19	21	Q225
Brazil	13	12	Q155
Bulgaria	21	24	Q219
Burkina Faso	44	44	Q965
Burundi	69	61	Q967
Cambodia	44	52	Q424
Cameroon	20	25	Q1009
Canada	18	20	Q16
Central African Republic	45	44	Q929
Chad	38	37	Q657
Chile	42	41	Q298
China	3	3	Q148
Hong Kong SAR, China	100	100	Q8646
Macao SAR, China	100	100	Q14773
Colombia	21	26	Q739
Congo, Dem. Rep.	35	35	Q974
Congo, Rep.	55	62	Q971
Costa Rica	47	35	Q800
Cote d'Ivoire	45	39	Q1008
Croatia	29	29	Q224
Cuba	27	24	Q241
Czech Republic	16	16	Q213
Denmark	24	26	Q35
Djibouti	71	75	Q977
Dominican Republic	39	37	Q786
Ecuador	28	27	Q736
Egypt, Arab Rep.	41	48	Q79
El Salvador	37	25	Q792
Equatorial Guinea	26	38	Q983
Estonia	43	47	Q191
Ethiopia	30	20	Q115
Finland	22	26	Q33
France	22	20	Q142
Gabon	56	43	Q1000
Gambia, The	62	33	Q1005
Georgia	46	50	Q230
Germany	6	6	Q183
Ghana	22	18	Q117
Greece	42	37	Q41
Guatemala	38	35	Q774
Guinea	49	42	Q1006
Guinea-Bissau	61	68	Q1007
Haiti	57	43	Q790
Honduras	29	25	Q783
Hungary	29	25	Q28
India	6	6	Q668
Indonesia	15	7	Q252
Iran, Islamic Rep.	20	15	Q794
Iraq	34	25	Q796
Ireland	46	39	Q27
Israel	42	48	Q801
Italy	10	10	Q38
Jamaica	47	37	Q766
Japan	34	32	Q17
Jordan	33	22	Q810
Kazakhstan	12	17	Q232
Kenya	35	32	Q114
Korea, Dem. Peopleâ€™s Rep.	21	19	Q423
Korea, Rep.	33	24	Q884
Kuwait	68	68	Q817
Kyrgyz Republic	38	44	Q813
Lao PDR	43	28	Q819
Latvia	49	48	Q211
Lebanon	55	38	Q822
Liberia	91	57	Q1014
Libya	26	22	Q1016
Lithuania	23	28	Q37
North Macedonia	39	47	Q221
Madagascar	35	31	Q1019
Malawi	34	33	Q1020
Malaysia	23	31	Q833
Mali	38	31	Q912
Mauritania	52	51	Q1025
Mexico	26	22	Q96
Moldova	47	44	Q217
Mongolia	46	68	Q711
Morocco	22	17	Q1028
Mozambique	24	15	Q1029
Myanmar	28	31	Q836
Namibia	35	34	Q1030
Nepal	24	24	Q837
Netherlands	9	7	Q55
New Zealand	31	37	Q664
Nicaragua	33	28	Q811
Niger	36	34	Q1032
Nigeria	17	14	Q1033
Norway	22	23	Q20
Oman	29	35	Q842
Pakistan	22	20	Q843
Panama	64	63	Q804
Papua New Guinea	28	33	Q691
Paraguay	54	74	Q733
Peru	38	42	Q419
Philippines	27	27	Q928
Poland	7	8	Q36
Portugal	53	44	Q45
Puerto Rico	71	77	Q1183
Qatar	53	24	Q846
Romania	17	17	Q218
Russian Federation	8	11	Q159
Rwanda	56	50	Q1037
Saudi Arabia	19	24	Q851
Senegal	47	41	Q1041
Serbia	30	35	Q403
Sierra Leone	37	36	Q1044
Singapore	99	100	Q334
Slovak Republic	15	15	Q214
Somalia	48	30	Q1045
South Africa	11	14	Q258
South Sudan	14	16	Q958
Spain	15	17	Q29
Sri Lanka	19	15	Q854
Sudan	41	39	Q1049
Sweden	15	18	Q34
Switzerland	20	22	Q39
Syrian Arab Republic	28	24	Q858
Tajikistan	35	36	Q863
Tanzania	31	32	Q924
Thailand	35	29	Q869
Togo	57	55	Q945
Trinidad and Tobago	75	74	Q754
Tunisia	31	29	Q948
Turkey	21	24	Q43
Turkmenistan	25	27	Q874
Uganda	39	30	Q1036
Ukraine	7	9	Q212
United Arab Emirates	33	31	Q878
United Kingdom	15	16	Q145
United States	9	7	Q30
Uruguay	56	53	Q77
Uzbekistan	25	15	Q265
Venezuela, RB	17	11	Q717
Vietnam	22	24	Q881
West Bank and Gaza	20	19	Q407199
Yemen, Rep.	27	27	Q805
Zambia	24	33	Q953
Zimbabwe	35	33	Q954
