Country	1990	2018	ID
Afghanistan	7.5	4.5	Q889
Albania	3	1.6	Q222
Algeria	4.7	3	Q262
Angola	7.3	5.5	Q916
Antigua and Barbuda	2.1	2	Q781
Argentina	3	2.3	Q414
Armenia	2.5	1.8	Q399
Aruba	2.2	1.9	Q21203
Australia	1.9	1.7	Q408
Austria	1.5	1.5	Q40
Azerbaijan	2.7	1.7	Q227
Bahamas, The	2.6	1.8	Q778
Bahrain	3.7	2	Q398
Bangladesh	4.5	2	Q902
Barbados	1.7	1.6	Q244
Belarus	1.9	1.4	Q184
Belgium	1.6	1.6	Q31
Belize	4.5	2.3	Q242
Benin	6.7	4.8	Q962
Bhutan	5.5	2	Q917
Bolivia	4.9	2.7	Q750
Bosnia and Herzegovina	1.8	1.3	Q225
Botswana	4.5	2.9	Q963
Brazil	2.9	1.7	Q155
Brunei Darussalam	3.3	1.8	Q921
Bulgaria	1.8	1.6	Q219
Burkina Faso	7	5.2	Q965
Burundi	7.4	5.4	Q967
Cabo Verde	5.4	2.3	Q1011
Cambodia	5.6	2.5	Q424
Cameroon	6.4	4.6	Q1009
Canada	1.8	1.5	Q16
Central African Republic	5.8	4.7	Q929
Chad	7.3	5.7	Q657
Channel Islands	1.5	1.5	Q42314
Chile	2.6	1.6	Q298
China	2.3	1.7	Q148
Hong Kong SAR, China	1.3	1.1	Q8646
Macao SAR, China	1.7	1.2	Q14773
Colombia	3.1	1.8	Q739
Comoros	6.4	4.2	Q970
Congo, Dem. Rep.	6.7	5.9	Q974
Congo, Rep.	5.1	4.4	Q971
Costa Rica	3.3	1.8	Q800
Cote d'Ivoire	6.6	4.6	Q1008
Croatia	1.6	1.5	Q224
Cuba	1.7	1.6	Q241
Cyprus	2.4	1.3	Q229
Czech Republic	1.9	1.7	Q213
Denmark	1.7	1.7	Q35
Djibouti	6.1	2.7	Q977
Dominican Republic	3.4	2.3	Q786
Ecuador	3.7	2.4	Q736
Egypt, Arab Rep.	4.6	3.3	Q79
El Salvador	4	2	Q792
Equatorial Guinea	6	4.5	Q983
Eritrea	6.5	4.1	Q986
Estonia	2.1	1.7	Q191
Eswatini	5.1	3	Q1050
Ethiopia	7.2	4.2	Q115
Faroe Islands	2.8	2.5	Q4628
Fiji	3.4	2.8	Q712
Finland	1.8	1.4	Q33
France	1.8	1.9	Q142
French Polynesia	3.4	1.9	Q30971
Gabon	5.4	4	Q1000
Gambia, The	6.1	5.2	Q1005
Georgia	2.2	2.1	Q230
Germany	1.5	1.6	Q183
Ghana	5.6	3.9	Q117
Greece	1.4	1.4	Q41
Greenland	2.4	2	Q223
Grenada	3.8	2.1	Q769
Guam	3	2.3	Q16635
Guatemala	5.4	2.9	Q774
Guinea	6.6	4.7	Q1006
Guinea-Bissau	6.6	4.5	Q1007
Guyana	3.1	2.5	Q734
Haiti	5.4	2.9	Q790
Honduras	5.1	2.5	Q783
Hungary	1.9	1.6	Q28
Iceland	2.3	1.7	Q189
India	4	2.2	Q668
Indonesia	3.1	2.3	Q252
Iran, Islamic Rep.	4.7	2.1	Q794
Iraq	5.9	3.7	Q796
Ireland	2.1	1.8	Q27
Israel	2.8	3.1	Q801
Italy	1.3	1.3	Q38
Jamaica	2.9	2	Q766
Japan	1.5	1.4	Q17
Jordan	5.5	2.8	Q810
Kazakhstan	2.7	2.8	Q232
