Country	Consumption (2010)	Consumption (2019)	ID
Afghanistan	100.1	78.8	Q889
Albania	78.1	80.3	Q222
Algeria	34.3	44	Q262
American Samoa	69.8	74.2	Q16641
Angola	35.8	56.4	Q916
Argentina	64.2	64.4	Q414
Armenia	86.3	84.5	Q399
Aruba	60.5	60.8	Q21203
Australia	56.2	55.6	Q408
Austria	53.5	51.6	Q40
Azerbaijan	39.4	56.7	Q227
Bahamas, The	61.7	69	Q778
Bahrain	41.2	39.6	Q398
Bangladesh	74.1	69	Q902
Barbados	77.8	78.4	Q244
Belarus	55.6	55.1	Q184
Belgium	51.4	51.4	Q31
Belize	70.4	68.5	Q242
Benin	78.5	68.4	Q962
Bhutan	45.3	60.5	Q917
Bolivia	62.3	68.4	Q750
Bosnia and Herzegovina	84.8	76.2	Q225
Botswana	49.1	51.2	Q963
Brazil	60.2	64.9	Q155
Brunei Darussalam	14.7	20.5	Q921
Bulgaria	63.6	59.5	Q219
Burkina Faso	71.6	64.3	Q965
Burundi	81	77.5	Q967
Cabo Verde	63	61.6	Q1011
Cambodia	81.3	69.4	Q424
Cameroon	70.2	72	Q1009
Canada	57.1	57.8	Q16
Central African Republic	82.3	86.3	Q929
Chad	65.5	76.1	Q657
Chile	58.3	63	Q298
China	34.3	38.5	Q148
Hong Kong SAR, China	61.4	68.5	Q8646
Macao SAR, China	23.4	25.4	Q14773
Colombia	65.9	68.5	Q739
Comoros	91	91.3	Q970
Congo, Dem. Rep.	72.4	70.8	Q974
Congo, Rep.	38.6	31	Q971
Costa Rica	65.4	63.3	Q800
Cote d'Ivoire	67.1	67.9	Q1008
Croatia	60.1	58.1	Q224
Cuba	50.3	56	Q241
Cyprus	65.8	64.9	Q229
Czech Republic	49	47.4	Q213
Denmark	47.6	46.5	Q35
Dominican Republic	74.3	69.6	Q786
Ecuador	63.3	60.5	Q736
Egypt, Arab Rep.	74.6	85.4	Q79
El Salvador	87.3	83	Q792
Equatorial Guinea	23.4	57.9	Q983
Estonia	52.1	48.7	Q191
Eswatini	74.6	66.5	Q1050
Ethiopia	72.4	68.5	Q115
Finland	52.6	52.6	Q33
France	55.4	53.7	Q142
Gabon	30.6	38.6	Q1000
Gambia, The	93.3	90.9	Q1005
Georgia	81.2	69.3	Q230
Germany	55.1	52.3	Q183
Ghana	93.6	69	Q117
Greece	69.4	68	Q41
Greenland	43.2	36.2	Q223
Guam	57.5	58.4	Q16635
Guatemala	86.1	84.9	Q774
Guinea	80	68.5	Q1006
Guinea-Bissau	100.3	100.4	Q1007
Guyana	87.4	58.3	Q734
Haiti	116.4	101.6	Q790
Honduras	78.1	80.3	Q783
Hungary	52.5	48.3	Q28
Iceland	51.5	50.8	Q189
India	54.7	60.2	Q668
Indonesia	56.2	57.9	Q252
Iran, Islamic Rep.	42.9	47.6	Q794
Iraq	44.4	62.7	Q796
Ireland	47.6	30.4	Q27
Israel	56.6	54.7	Q801
Italy	60.7	60.2	Q38
Jamaica	81.9	76.3	Q766
Japan	57.8	55.6	Q17
Jordan	72.9	85.2	Q810
Kazakhstan	45.4	52.4	Q232
Kenya	77.2	82.5	Q114
Kiribati	90	76.8	Q710
Korea, Rep.	50.4	48.6	Q884
Kosovo	86.2	84.5	Q1246
Kuwait	28.9	39.2	Q817
Kyrgyz Republic	84.6	82	Q813
Latvia	63.1	59.7	Q211
Lebanon	87.9	86.7	Q822
Lesotho	92.2	74.6	Q1013
Liberia	139.8	127.5	Q1014
Lithuania	64	60.7	Q37
Luxembourg	32.2	29.5	Q32
Madagascar	74	70.6	Q1019
Malawi	75	79.2	Q1020
Malaysia	48.1	59.8	Q833
Mali	72.6	72.6	Q912
Malta	57.8	42.5	Q233
Marshall Islands	75.6	73.5	Q709
Mauritania	56.2	56.7	Q1025
Mauritius	73.2	75.2	Q1027
Mexico	65.3	65.4	Q96
Moldova	90.2	84.7	Q217
Mongolia	55.2	55.3	Q711
Montenegro	81.8	71.9	Q236
Morocco	58.8	58.1	Q1028
Mozambique	74.1	69.3	Q1029
Myanmar	56.5	52.1	Q836
Namibia	63.2	73.2	Q1030
Nepal	78.6	69.5	Q837
Netherlands	45.4	43.7	Q55
New Zealand	57.9	57.5	Q664
Nicaragua	80.5	72.1	Q811
Niger	71.6	70.6	Q1032
Nigeria	67.2	76.6	Q1033
North Macedonia	75.5	64.8	Q221
Northern Mariana Islands	55.3	46.6	Q16644
Norway	42	44.8	Q20
Oman	33.1	38.6	Q842
Pakistan	79.7	82.9	Q843
Palau	70	69.4	Q695
Panama	57.4	50.4	Q804
Paraguay	64.5	65.6	Q733
Peru	61.7	64.6	Q419
Philippines	70.2	73.2	Q928
Poland	61.6	57.3	Q36
Portugal	65.9	64.1	Q45
Puerto Rico	57.7	63.7	Q1183
Qatar	16.2	23.5	Q846
Romania	63.8	63.6	Q218
Russian Federation	51.5	50.4	Q159
Rwanda	81.9	73.3	Q1037
Saudi Arabia	32.3	38.9	Q851
Senegal	79.6	68.5	Q1041
Serbia	75.5	68.1	Q403
Seychelles	50.3	63.8	Q1042
Sierra Leone	76.2	99	Q1044
Singapore	36.3	36	Q334
Slovak Republic	57.2	56.1	Q214
Slovenia	56.2	51.7	Q215
South Africa	59	60.2	Q258
Spain	58.1	57.6	Q29
Sri Lanka	68.5	69.3	Q854
Sudan	70.2	72.2	Q1049
Sweden	46.9	45.4	Q34
Switzerland	53.9	53.1	Q39
Tajikistan	110.9	82.4	Q863
Tanzania	66	59.4	Q924
Thailand	52.2	50.1	Q869
Timor-Leste	71.4	67.8	Q574
