Country	Total	ID
Afghanistan	0	Q889
Albania	11.6	Q222
Algeria	12.1	Q262
Andorra	83.1	Q228
Antigua and Barbuda	14	Q781
Argentina	50.1	Q414
Armenia	86.7	Q399
Australia	45.1	Q408
Austria	109.9	Q40
Azerbaijan	67.6	Q227
Bahrain	14.4	Q398
Bangladesh	2.9	Q902
Barbados	17.2	Q244
Belarus	124.2	Q184
Belgium	89.8	Q31
Belize	10.5	Q242
Benin	1.9	Q962
Bhutan	2.9	Q917
Bolivia	33.9	Q750
Bosnia and Herzegovina	32.3	Q225
Botswana	3.6	Q963
Brazil	55.5	Q155
Bulgaria	112.7	Q219
Burkina Faso	0.6	Q965
Burundi	0.4	Q967
Cabo Verde	16	Q1011
Cambodia	4.2	Q424
Cameroon	1.2	Q1009
Canada	43.9	Q16
Cayman Islands	156.8	Q5785
Central African Republic	0.4	Q929
Chad	0.3	Q657
Channel Islands	38.7	Q42314
Chile	59.3	Q298
China	40.1	Q148
Hong Kong SAR, China	27.8	Q8646
Colombia	22.7	Q739
Congo, Dem. Rep.	0.2	Q974
Congo, Rep.	0.2	Q971
Costa Rica	25.5	Q800
Cote d'Ivoire	2.8	Q1008
Croatia	81.2	Q224
Cuba	100.9	Q241
Cyprus	84.4	Q229
Czech Republic	124.5	Q213
Denmark	69	Q35
Djibouti	4.4	Q977
Dominica	11.3	Q784
Ecuador	59.4	Q736
Egypt, Arab Rep.	50.1	Q79
El Salvador	22.3	Q792
Eritrea	0.4	Q986
Estonia	65	Q191
Eswatini	0.2	Q1050
Ethiopia	0.5	Q115
Fiji	5.4	Q712
Finland	76.3	Q33
France	58.6	Q142
French Polynesia	32.6	Q30971
Gambia, The	1.8	Q1005
Georgia	130.4	Q230
Germany	108	Q183
Greece	163.5	Q41
Grenada	12.6	Q769
Guatemala	3.4	Q774
Guyana	8.8	Q734
Haiti	5.9	Q790
Honduras	13.7	Q783
Hungary	55.7	Q28
Iceland	101.6	Q189
India	6.8	Q668
Iran, Islamic Rep.	5	Q794
Iraq	7.6	Q796
Ireland	72	Q27
Isle of Man	52.4	Q9676
Israel	75.6	Q801
Italy	142.4	Q38
Jamaica	11.2	Q766
Japan	37.4	Q17
Jordan	24.5	Q810
Kazakhstan	73.2	Q232
Kenya	2.4	Q114
Kiribati	8.2	Q710
Korea, Rep.	49.6	Q884
Kosovo	27.7	Q1246
Kyrgyz Republic	50.1	Q813
Lao PDR	3.7	Q819
Latvia	67.6	Q211
Lebanon	87.4	Q822
Lesotho	0.6	Q1013
Liberia	0.6	Q1014
Liechtenstein	71.9	Q347
Lithuania	130.9	Q37
Luxembourg	80.8	Q32
Madagascar	0.8	Q1019
Malawi	0.4	Q1020
Malaysia	11.4	Q833
Maldives	4.8	Q826
Mali	1.1	Q912
Malta	113.5	Q233
Marshall Islands	15.9	Q709
Mauritius	17.6	Q1027
Micronesia, Fed. Sts.	7	Q702
Moldova	86.1	Q217
Monaco	195.6	Q235
Mongolia	45	Q711
Montenegro	64.1	Q236
Morocco	3.7	Q1028
Mozambique	0.5	Q1029
Myanmar	2.4	Q836
Namibia	6.1	Q1030
Nepal	3	Q837
Netherlands	49	Q55
New Zealand	43	Q664
Nicaragua	15.5	Q811
Niger	0.4	Q1032
Nigeria	1.4	Q1033
North Macedonia	61.2	Q221
Norway	67.2	Q20
Oman	30.5	Q842
Pakistan	5.5	Q843
Panama	26.2	Q804
Papua New Guinea	2.3	Q691
Paraguay	20.5	Q733
Peru	42.9	Q419
Philippines	9.6	Q928
Poland	67.9	Q36
Portugal	86.1	Q45
Qatar	14.5	Q846
Romania	60.5	Q218
Russian Federation	63.1	Q159
Rwanda	0.8	Q1037
Samoa	1.6	Q683
San Marino	112.9	Q238
Senegal	1.1	Q1041
Serbia	86.7	Q403
Seychelles	48.6	Q1042
Sierra Leone	0.1	Q1044
Singapore	31.5	Q334
Slovak Republic	53.9	Q214
Slovenia	66.7	Q215
Solomon Islands	2.5	Q685
Somalia	0.2	Q1045
South Africa	11.4	Q258
South Sudan	0.3	Q958
Spain	79.9	Q29
Sri Lanka	2.8	Q854
St. Kitts and Nevis	33.5	Q763
St. Lucia	23.6	Q760
St. Vincent and the Grenadines	23.6	Q757
Sudan	2.7	Q1049
Sweden	113.1	Q34
Switzerland	94.8	Q39
Tajikistan	41.7	Q863
Tanzania	0.5	Q924
Thailand	13.1	Q869
Timor-Leste	0.9	Q574
Togo	0.5	Q945
Tonga	14	Q678
Trinidad and Tobago	30.9	Q754
Tunisia	11.5	Q948
Turkey	47.6	Q43
Turkmenistan	58.8	Q874
Tuvalu	26.1	Q672
Uganda	1.1	Q1036
Ukraine	86.6	Q212
United Kingdom	133.3	Q145
United States	54.7	Q30
Uruguay	38.9	Q77
Uzbekistan	50.4	Q265
Vanuatu	3.2	Q686
Venezuela, RB	18.1	Q717
Yemen, Rep.	0.8	Q805
Zambia	1.5	Q953
Zimbabwe	1.6	Q954
