Country	Consumption (2010)	Consumption (2019)	ID
Afghanistan	14	13	Q889
Albania	11	12	Q222
Algeria	17	19	Q262
Angola	17	10	Q916
Argentina	15	15	Q414
Armenia	12	12	Q399
Aruba	27	17	Q21203
Australia	18	19	Q408
Austria	20	19	Q40
Azerbaijan	11	11	Q227
Bahamas, The	13	12	Q778
Bahrain	13	16	Q398
Bangladesh	5	6	Q902
Barbados	15	11	Q244
Belarus	16	16	Q184
Belgium	24	23	Q31
Belize	16	17	Q242
Benin	11	10	Q962
Bhutan	20	17	Q917
Bolivia	14	18	Q750
Bosnia and Herzegovina	23	20	Q225
Botswana	20	18	Q963
Brazil	19	20	Q155
Brunei Darussalam	22	25	Q921
Bulgaria	17	18	Q219
Burkina Faso	14	14	Q965
Burundi	22	28	Q967
Cabo Verde	18	18	Q1011
Cambodia	6	5	Q424
Cameroon	11	11	Q1009
Canada	22	21	Q16
Central African Republic	8	15	Q929
Chad	7	4	Q657
Chile	12	15	Q298
China	15	17	Q148
Hong Kong SAR, China	9	11	Q8646
Macao SAR, China	8	10	Q14773
Colombia	14	15	Q739
Comoros	11	10	Q970
Congo, Dem. Rep.	7	7	Q974
Congo, Rep.	10	8	Q971
Costa Rica	17	17	Q800
Cote d'Ivoire	12	10	Q1008
Croatia	21	20	Q224
Cuba	35	30	Q241
Cyprus	19	16	Q229
Czech Republic	21	20	Q213
Denmark	27	24	Q35
Dominican Republic	10	11	Q786
Ecuador	13	15	Q736
Egypt, Arab Rep.	11	8	Q79
El Salvador	16	16	Q792
Equatorial Guinea	12	26	Q983
Estonia	20	20	Q191
Eswatini	21	23	Q1050
Ethiopia	10	9	Q115
Faroe Islands	33	28	Q4628
Finland	24	23	Q33
France	24	23	Q142
Gabon	13	9	Q1000
Gambia, The	10	13	Q1005
Georgia	15	13	Q230
Germany	20	20	Q183
Ghana	7	9	Q117
Greece	22	19	Q41
Greenland	47	44	Q223
Guatemala	10	11	Q774
Guinea	13	25	Q1006
Guinea-Bissau	9	11	Q1007
Guyana	15	18	Q734
Haiti	8	11	Q790
Honduras	18	13	Q783
Hungary	22	19	Q28
Iceland	25	24	Q189
India	11	12	Q668
Indonesia	9	9	Q252
Iran, Islamic Rep.	11	13	Q794
Iraq	19	22	Q796
Ireland	19	12	Q27
Israel	23	23	Q801
Italy	21	19	Q38
Jamaica	16	13	Q766
Japan	19	20	Q17
Jordan	17	15	Q810
Kazakhstan	11	9	Q232
Kenya	14	13	Q114
Kiribati	61	74	Q710
Korea, Rep.	14	17	Q884
Kosovo	16	14	Q1246
Kuwait	17	23	Q817
Kyrgyz Republic	18	17	Q813
Latvia	18	18	Q211
Lebanon	12	15	Q822
Lesotho	41	38	Q1013
Liberia	14	20	Q1014
Lithuania	20	17	Q37
Luxembourg	17	17	Q32
Madagascar	13	14	Q1019
Malawi	14	14	Q1020
Malaysia	13	12	Q833
Mali	16	16	Q912
Malta	19	17	Q233
Marshall Islands	55	56	Q709
Mauritania	14	13	Q1025
Mauritius	14	15	Q1027
Mexico	12	12	Q96
Moldova	18	14	Q217
Mongolia	13	12	Q711
Montenegro	22	18	Q236
Morocco	18	19	Q1028
Mozambique	18	23	Q1029
Myanmar	11	18	Q836
Namibia	26	26	Q1030
Nepal	10	12	Q837
Netherlands	26	24	Q55
New Zealand	20	18	Q664
Nicaragua	14	16	Q811
Niger	15	15	Q1032
Nigeria	9	6	Q1033
North Macedonia	18	15	Q221
Norway	21	24	Q20
Oman	19	26	Q842
Pakistan	10	12	Q843
Palau	37	32	Q695
Panama	13	12	Q804
Paraguay	9	12	Q733
Peru	11	13	Q419
Philippines	10	13	Q928
Poland	19	18	Q36
Portugal	21	17	Q45
Puerto Rico	11	8	Q1183
Qatar	14	18	Q846
Romania	15	17	Q218
Russian Federation	19	18	Q159
Rwanda	13	16	Q1037
Saudi Arabia	20	24	Q851
Senegal	14	14	Q1041
Serbia	19	17	Q403
Seychelles	27	21	Q1042
Sierra Leone	10	9	Q1044
Singapore	10	10	Q334
Slovak Republic	19	20	Q214
Slovenia	20	18	Q215
South Africa	20	21	Q258
Spain	21	19	Q29
Sri Lanka	8	9	Q854
Sudan	7	6	Q1049
Sweden	25	26	Q34
Switzerland	12	12	Q39
Tajikistan	11	18	Q863
Tanzania	10	8	Q924
Thailand	16	16	Q869
Timor-Leste	103	56	Q574
Togo	13	18	Q945
Tunisia	17	21	Q948
Turkey	15	16	Q43
Turkmenistan	7	8	Q874
Uganda	8	8	Q1036
Ukraine	19	20	Q212
United Arab Emirates	10	13	Q878
United Kingdom	22	19	Q145
United States	17	14	Q30
Uruguay	13	15	Q77
Uzbekistan	13	16	Q265
Vietnam	6	6	Q881
West Bank and Gaza	28	26	Q407199
Zambia	9	12	Q953
Zimbabwe	15	26	Q954
