Country	$ (2010)	$ (2019)	ID
Afghanistan	1057	1160	Q889
Albania	1987	2283	Q222
Algeria	11489	10837	Q262
Angola	16028	8008	Q916
Antigua and Barbuda	214	511	Q781
Argentina	14265	19168	Q414
Armenia	1252	2282	Q399
Aruba	641	969	Q21203
Australia	50804	70711	Q408
Austria	38635	63396	Q40
Azerbaijan	3845	6303	Q227
Bahamas, The	1101	1682	Q778
Bahrain	1905	8077	Q398
Bangladesh	4122	9526	Q902
Barbados	651	661	Q244
Belarus	3019	5823	Q184
Belgium	87758	120193	Q31
Belize	154	213	Q242
Benin	503	762	Q962
Bermuda	995	1021	Q23635
Bhutan	135	235	Q917
Bolivia	1125	2875	Q750
Bosnia and Herzegovina	533	738	Q225
Botswana	823	1180	Q963
Brazil	57813	67088	Q155
Brunei Darussalam	1269	1777	Q921
Bulgaria	3410	6393	Q219
Burkina Faso	818	1497	Q965
Burundi	156	216	Q967
Cabo Verde	297	349	Q1011
Cambodia	996	3170	Q424
Cameroon	1718	2641	Q1009
Canada	97240	115163	Q16
Chile	12380	13852	Q298
China	139787	501827	Q148
Hong Kong SAR, China	70247	79007	Q8646
Macao SAR, China	2479	4881	Q14773
Colombia	9554	13585	Q739
Comoros	93	105	Q970
Congo, Dem. Rep.	2497	2665	Q974
Congo, Rep.	3299	2201	Q971
Costa Rica	1869	4141	Q800
Cote d'Ivoire	2742	3308	Q1008
Croatia	4055	5456	Q224
Curacao	820	1080	Q25279
Cyprus	5270	8491	Q229
Czech Republic	17776	25539	Q213
Denmark	55011	71039	Q35
Djibouti	104	556	Q977
Dominica	65	165	Q784
Dominican Republic	2457	3721	Q786
Ecuador	2941	3938	Q736
Egypt, Arab Rep.	12991	20415	Q79
El Salvador	1054	1977	Q792
Estonia	2927	5610	Q191
Eswatini	652	168	Q1050
Ethiopia	2538	6129	Q115
Fiji	443	778	Q712
Finland	27507	36383	Q33
France	180890	262740	Q142
French Polynesia	594	383	Q30971
Gambia, The	77	101	Q1005
Georgia	1003	2360	Q230
Germany	262799	367806	Q183
Ghana	2444	8960	Q117
Greece	20074	21102	Q41
Grenada	89	241	Q769
Guatemala	2401	3569	Q774
Guinea	387	800	Q1006
Guinea-Bissau	101	165	Q1007
Guyana	344	1013	Q734
Haiti	731	1143	Q790
Honduras	1143	2388	Q783
Hungary	15943	20968	Q28
Iceland	2185	3670	Q189
India	78211	129526	Q668
Indonesia	25971	39335	Q252
Iraq	9606	22662	Q796
Ireland	107277	319611	Q27
Israel	18436	30877	Q801
Italy	111468	122537	Q38
Jamaica	1767	2451	Q766
Japan	163109	204371	Q17
Jordan	4312	4662	Q810
Kazakhstan	11198	11297	Q232
Kenya	1890	2847	Q114
Kiribati	43	56	Q710
Korea, Rep.	95969	129172	Q884
Kosovo	518	812	Q1246
Kuwait	14323	30811	Q817
Kyrgyz Republic	792	946	Q813
Lao PDR	258	1148	Q819
Latvia	2299	3484	Q211
Lebanon	13010	14225	Q822
Lesotho	410	436	Q1013
Liberia	342	200	Q1014
Libya	5251	4528	Q1016
Lithuania	2932	7665	Q37
Luxembourg	45567	83973	Q32
Madagascar	1103	1142	Q1019
Malawi	205	307	Q1020
Malaysia	32400	44308	Q833
Maldives	446	1322	Q826
Mali	1007	1394	Q912
Malta	8434	12283	Q233
Marshall Islands	53	52	Q709
Mauritania	968	640	Q1025
Mauritius	1951	2182	Q1027
Mexico	26712	36130	Q96
Moldova	685	1149	Q217
Mongolia	768	3200	Q711
Montenegro	421	744	Q236
Morocco	5660	9212	Q1028
Mozambique	1176	2823	Q1029
Myanmar	754	3372	Q836
Namibia	642	534	Q1030
Nepal	845	1774	Q837
Netherlands	134172	175823	Q55
New Caledonia	1300	1108	Q33788
New Zealand	10131	14244	Q664
Nicaragua	691	889	Q811
Niger	846	1078	Q1032
Nigeria	19868	38710	Q1033
North Macedonia	778	1416	Q221
Norway	44950	53303	Q20
Oman	6364	11651	Q842
Pakistan	6551	9438	Q843
Palau	42	52	Q695
Panama	2709	5001	Q804
Papua New Guinea	2738	1617	Q691
Paraguay	700	1212	Q733
Peru	5900	9722	Q419
Philippines	11714	27389	Q928
Poland	30900	43618	Q36
Portugal	14634	19803	Q45
Qatar	15548	33648	Q846
Romania	8260	20393	Q218
Russian Federation	73226	97669	Q159
Rwanda	442	972	Q1037
Samoa	79	96	Q683
Sao Tome and Principe	22	59	Q1039
Saudi Arabia	50996	51569	Q851
Senegal	1077	1643	Q1041
Serbia	3485	6569	Q403
Seychelles	259	679	Q1042
Sierra Leone	242	390	Q1044
Singapore	100327	198819	Q334
Sint Maarten (Dutch part)	238	330	Q26273
Slovak Republic	7242	10799	Q214
Slovenia	4728	6094	Q215
Solomon Islands	180	225	Q685
South Africa	19158	15300	Q258
Spain	65464	86261	Q29
Sri Lanka	3075	4533	Q854
St. Kitts and Nevis	107	244	Q763
St. Lucia	200	398	Q760
St. Vincent and the Grenadines	86	137	Q757
Sudan	2406	1063	Q1049
Suriname	237	721	Q730
Sweden	50579	74250	Q34
Switzerland	69234	103761	Q39
Tajikistan	407	479	Q863
Tanzania	1843	2069	Q924
Thailand	41078	58473	Q869
Timor-Leste	450	320	Q574
Togo	396	464	Q945
Tonga	44	105	Q678
Trinidad and Tobago	371	2477	Q754
Tunisia	3054	2990	Q948
Turkey	18507	26813	Q43
Uganda	1774	2653	Q1036
Ukraine	12189	14711	Q212
United Kingdom	184924	278781	Q145
United States	377351	571302	Q30
Uruguay	1470	4060	Q77
Vanuatu	123	152	Q686
Venezuela, RB	13836	9068	Q717
Vietnam	9921	18470	Q881
West Bank and Gaza	732	1456	Q407199
Yemen, Rep.	2103	1450	Q805
Zambia	849	1473	Q953
Zimbabwe	1326	1072	Q954
