Country	Mammals	Birds	Fishes	Higher plants	ID
Afghanistan	11	16	4	5	Q889
Albania	3	8	44	4	Q222
Algeria	14	15	41	22	Q262
American Samoa	1	8	12	1	Q16641
Andorra	2	3	0	0	Q228
Angola	18	32	53	34	Q916
Antigua and Barbuda	2	3	31	4	Q781
Argentina	38	52	42	70	Q414
Armenia	9	14	3	74	Q399
Aruba	2	2	24	2	Q21203
Australia	63	52	125	108	Q408
Austria	3	13	11	17	Q40
Azerbaijan	8	17	14	44	Q227
Bahamas, The	5	10	43	7	Q778
Bahrain	3	7	14	0	Q398
Bangladesh	37	36	29	23	Q902
Barbados	3	4	29	3	Q244
Belarus	4	9	2	1	Q184
Belgium	2	8	13	0	Q31
Belize	10	6	45	46	Q242
Benin	13	12	40	20	Q962
Bermuda	4	3	27	8	Q23635
Bhutan	25	21	3	43	Q917
Bolivia	21	55	8	106	Q750
Bosnia and Herzegovina	4	7	36	3	Q225
Botswana	11	16	2	3	Q963
Brazil	80	175	93	558	Q155
Brunei Darussalam	33	31	14	127	Q921
Bulgaria	8	17	22	9	Q219
Burkina Faso	9	12	4	4	Q965
Burundi	14	15	17	89	Q967
Cabo Verde	4	7	35	51	Q1011
Cambodia	39	31	48	37	Q424
Cameroon	46	29	122	555	Q1009
Canada	18	24	44	18	Q16
Cayman Islands	1	3	31	22	Q5785
Central African Republic	16	16	3	26	Q929
Chad	16	16	1	6	Q657
Chile	19	35	27	73	Q298
China	73	96	136	593	Q148
Hong Kong SAR, China	4	21	15	10	Q8646
Macao SAR, China	0	4	9	0	Q14773
Colombia	58	126	99	268	Q739
Comoros	5	14	11	9	Q970
Congo, Dem. Rep.	32	42	94	148	Q974
Congo, Rep.	15	7	57	46	Q971
Costa Rica	11	27	64	143	Q800
Cote d'Ivoire	31	25	59	118	Q1008
Croatia	9	14	64	8	Q224
Cuba	10	19	44	179	Q241
Curacao	3	2	28	2	Q25279
Cyprus	6	7	24	22	Q229
Czech Republic	3	9	2	26	Q213
Denmark	2	9	18	1	Q35
Djibouti	11	12	23	3	Q977
Dominica	3	7	31	12	Q784
Dominican Republic	7	17	29	47	Q786
Ecuador	47	106	61	1859	Q736
Egypt, Arab Rep.	18	14	58	8	Q79
El Salvador	6	7	17	33	Q792
Equatorial Guinea	23	6	44	98	Q983
Eritrea	15	21	29	6	Q986
Estonia	1	9	5	0	Q191
Eswatini	9	13	5	13	Q1050
Ethiopia	34	35	14	64	Q115
Faroe Islands	4	6	13	0	Q4628
Fiji	7	14	20	78	Q712
Finland	2	11	6	2	Q33
France	9	16	53	47	Q142
French Polynesia	0	35	28	48	Q30971
Gabon	18	7	72	173	Q1000
Gambia, The	10	14	35	6	Q1005
Georgia	9	14	11	63	Q230
Germany	5	11	24	36	Q183
Ghana	21	23	58	119	Q117
Greece	10	17	80	72	Q41
Greenland	9	6	9	1	Q223
Grenada	3	2	29	3	Q769
