Country	Imports (2010)	Imports (2019)	ID
Afghanistan	2	1	Q889
Albania	5	2	Q222
Algeria	2	3	Q262
Angola	7	6	Q916
Antigua and Barbuda	21	9	Q781
Argentina	4	3	Q414
Armenia	5	4	Q399
Aruba	2	3	Q21203
Australia	2	4	Q408
Austria	6	5	Q40
Azerbaijan	3	3	Q227
Bahamas, The	15	9	Q778
Bahrain	23	50	Q398
Bangladesh	2	14	Q902
Barbados	4	11	Q244
Belarus	5	5	Q184
Belgium	9	8	Q31
Belize	17	21	Q242
Benin	5	2	Q962
Bermuda	14	10	Q23635
Bhutan	3	6	Q917
Bolivia	13	7	Q750
Bosnia and Herzegovina	3	9	Q225
Botswana	4	2	Q963
Brazil	5	3	Q155
Brunei Darussalam	2	1	Q921
Bulgaria	5	6	Q219
Burkina Faso	12	17	Q965
Burundi	3	2	Q967
Cabo Verde	6	2	Q1011
Cambodia	9	5	Q424
Cameroon	7	7	Q1009
Canada	10	10	Q16
Chile	11	8	Q298
China	12	3	Q148
Hong Kong SAR, China	7	10	Q8646
Macao SAR, China	13	17	Q14773
Colombia	15	17	Q739
Comoros	12	8	Q970
Congo, Dem. Rep.	14	22	Q974
Congo, Rep.	4	7	Q971
Costa Rica	11	13	Q800
Cote d'Ivoire	8	5	Q1008
Croatia	9	10	Q224
Curacao	3	2	Q25279
Cyprus	23	20	Q229
Czech Republic	7	5	Q213
Denmark	3	1	Q35
Djibouti	11	4	Q977
Dominica	12	14	Q784
Dominican Republic	18	12	Q786
Ecuador	8	13	Q736
Egypt, Arab Rep.	11	11	Q79
El Salvador	13	20	Q792
Estonia	4	2	Q191
Eswatini	6	2	Q1050
Ethiopia	4	3	Q115
Fiji	7	7	Q712
Finland	4	4	Q33
France	5	7	Q142
French Polynesia	4	5	Q30971
Gambia, The	7	12	Q1005
Georgia	13	6	Q230
Germany	6	6	Q183
Ghana	5	1	Q117
Greece	9	7	Q41
Grenada	15	18	Q769
Guatemala	11	14	Q774
Guinea	7	10	Q1006
Guinea-Bissau	5	4	Q1007
Guyana	9	7	Q734
Haiti	0	1	Q790
Honduras	9	7	Q783
Hungary	4	3	Q28
Iceland	7	2	Q189
India	10	3	Q668
Indonesia	7	4	Q252
Iraq	29	17	Q796
Ireland	13	8	Q27
Israel	3	2	Q801
Italy	10	11	Q38
Jamaica	11	7	Q766
Japan	6	8	Q17
Jordan	7	10	Q810
Kazakhstan	5	2	Q232
Kenya	10	12	Q114
Kiribati	6	6	Q710
Korea, Rep.	3	2	Q884
Kosovo	7	8	Q1246
Kuwait	9	14	Q817
Kyrgyz Republic	4	2	Q813
Lao PDR	5	3	Q819
Latvia	9	5	Q211
Lebanon	11	16	Q822
Lesotho	4	3	Q1013
Liberia	5	33	Q1014
Libya	12	26	Q1016
Lithuania	3	3	Q37
Luxembourg	59	51	Q32
Madagascar	0	2	Q1019
Malawi	4	11	Q1020
Malaysia	8	7	Q833
Maldives	4	5	Q826
Mali	5	4	Q912
Malta	35	23	Q233
Marshall Islands	2	6	Q709
Mauritania	1	1	Q1025
Mauritius	8	5	Q1027
Mexico	17	22	Q96
Moldova	4	2	Q217
Mongolia	4	7	Q711
Montenegro	1	1	Q236
Morocco	4	2	Q1028
Mozambique	4	6	Q1029
Myanmar	6	2	Q836
Namibia	7	5	Q1030
Nepal	4	4	Q837
Netherlands	4	6	Q55
New Caledonia	3	5	Q33788
New Zealand	5	10	Q664
Nicaragua	10	12	Q811
Niger	5	1	Q1032
Nigeria	3	4	Q1033
North Macedonia	3	3	Q221
Norway	4	4	Q20
Oman	11	9	Q842
Pakistan	4	6	Q843
Palau	2	2	Q695
Panama	20	12	Q804
Papua New Guinea	13	6	Q691
Paraguay	8	8	Q733
Peru	9	13	Q419
Philippines	9	8	Q928
Poland	7	4	Q36
Portugal	9	6	Q45
Qatar	7	10	Q846
Romania	8	2	Q218
Russian Federation	5	3	Q159
Samoa	1	6	Q683
Sao Tome and Principe	7	3	Q1039
Saudi Arabia	5	6	Q851
Senegal	11	9	Q1041
Serbia	3	3	Q403
Seychelles	5	3	Q1042
Sierra Leone	3	10	Q1044
Singapore	5	7	Q334
Sint Maarten (Dutch part)	3	3	Q26273
Slovak Republic	9	4	Q214
Slovenia	5	4	Q215
Solomon Islands	6	5	Q685
South Africa	3	4	Q258
Spain	9	6	Q29
Sri Lanka	6	12	Q854
St. Kitts and Nevis	13	9	Q763
St. Lucia	8	7	Q760
St. Vincent and the Grenadines	12	11	Q757
Sudan	9	7	Q1049
Suriname	3	4	Q730
Sweden	2	4	Q34
Switzerland	9	5	Q39
Tajikistan	2	2	Q863
Tanzania	4	3	Q924
Thailand	5	6	Q869
Timor-Leste	2	8	Q574
Togo	11	11	Q945
Tonga	5	1	Q678
Trinidad and Tobago	20	13	Q754
Tunisia	9	8	Q948
Turkey	11	16	Q43
Uganda	4	3	Q1036
Ukraine	10	4	Q212
United Kingdom	9	10	Q145
United States	20	14	Q30
Uruguay	4	3	Q77
Vanuatu	7	8	Q686
Venezuela, RB	7	4	Q717
West Bank and Gaza	2	5	Q407199
Yemen, Rep.	10	12	Q805
Zambia	4	9	Q953
