Country	Tons	Change %	From energy processes	Agricultural	ID
Afghanistan	13763	80.4	8.2	62.7	Q889
Albania	2644	3.8	25.8	65	Q222
Algeria	48527	50.2	79.4	10	Q262
American Samoa	13	48.3	0	24.8	Q16641
Angola	18974	-14	63.8	23	Q916
Antigua and Barbuda	43	21.9	2.8	61.4	Q781
Argentina	88476	-13.3	17.7	73.5	Q414
Armenia	3426	18.5	55.4	35.9	Q399
Aruba	23	52.8	6.4	3.7	Q21203
Australia	125588	9.1	32	56.8	Q408
Austria	8007	-20.2	24.5	48	Q40
Azerbaijan	19955	74.2	58	32.1	Q227
Bahamas, The	227	60.2	4.8	2	Q778
Bahrain	3379	87.7	92.1	0.5	Q398
Bangladesh	105142	20.7	11.5	68.9	Q902
Barbados	109	-15	8.4	18.5	Q244
Belarus	16620	-10.9	7	53.8	Q184
Belgium	9243	-25.7	14.7	57.9	Q31
Belize	228	34.5	13.4	56.4	Q242
Benin	6983	36.4	13.4	45.8	Q962
Bermuda	31	28.6	3.8	4.7	Q23635
Bhutan	1770	92.6	36.4	42.8	Q917
Bolivia	23231	3.5	44.6	48.3	Q750
Bosnia and Herzegovina	3140	-31.6	47.8	42.1	Q225
Botswana	4448	-26.8	11.8	79.9	Q963
Brazil	477077	49.2	9.8	75	Q155
Brunei Darussalam	4539	25.7	97.6	0.3	Q921
Bulgaria	11794	-24.8	12.4	15.8	Q219
Burkina Faso	14957	106.6	19.9	70.4	Q965
Burundi	2719	58.4	50.7	22.6	Q967
Cabo Verde	151	82	3	39.4	Q1011
Cambodia	35915	137.6	3.7	63.2	Q424
Cameroon	18516	15.9	13.3	62.3	Q1009
Canada	106847	38.5	42.1	26.8	Q16
Cayman Islands	29	63.3	3.2	6.4	Q5785
Central African Republic	85677	102.8	0.5	76	Q929
Chad	18364	83	11.5	82.9	Q657
Chile	18381	53.3	23.7	43.3	Q298
China	1752290	72.3	48	37.6	Q148
Hong Kong SAR, China	3147	105.4	25.6	0	Q8646
Macao SAR, China	151	77.2	2.7	0	Q14773
Colombia	67979	35.3	19.2	66.9	Q739
Comoros	284	56.7	29.5	32.7	Q970
Congo, Dem. Rep.	75336	-23.4	9.1	25.1	Q974
Congo, Rep.	7156	-0.5	56.2	23.1	Q971
Costa Rica	2315	-38.6	12.1	65	Q800
Cote d'Ivoire	16266	33.9	24.7	15.1	Q1008
Croatia	4708	13	48.7	28.7	Q224
Cuba	8560	-29	10.1	59.6	Q241
Cyprus	642	45.7	2.4	37.8	Q229
Czech Republic	11902	-34.8	43	29.5	Q213
Denmark	7603	-4.7	16.6	65.1	Q35
Djibouti	634	51.8	16.5	62.8	Q977
Dominica	41	11.7	2.9	49.1	Q784
Dominican Republic	6861	14.3	17.1	55	Q786
