Country	Male	Female	ID
Afghanistan	63	66	Q889
Albania	76.8	80.2	Q222
Algeria	75.5	77.9	Q262
Angola	58.1	63.7	Q916
Antigua and Barbuda	75.7	78	Q781
Argentina	73.1	79.9	Q414
Armenia	71.2	78.4	Q399
Aruba	73.6	78.5	Q21203
Australia	80.7	84.9	Q408
Austria	79.4	84.1	Q40
Azerbaijan	70.3	75.3	Q227
Bahamas, The	71.5	75.9	Q778
Bahrain	76.3	78.3	Q398
Bangladesh	70.6	74.3	Q902
Barbados	77.7	80.4	Q244
Belarus	69.2	79.4	Q184
Belgium	79.4	83.9	Q31
Belize	71.6	77.7	Q242
Benin	59.9	63	Q962
Bermuda	77.9	85.6	Q23635
Bhutan	71.1	71.8	Q917
Bolivia	68.4	74.2	Q750
Bosnia and Herzegovina	74.8	79.7	Q225
Botswana	66.2	72	Q963
Brazil	72	79.4	Q155
Brunei Darussalam	74.6	77	Q921
Bulgaria	71.5	78.6	Q219
Burkina Faso	60.4	61.9	Q965
Burundi	59.4	63	Q967
Cabo Verde	69.3	76	Q1011
Cambodia	67.3	71.6	Q424
Cameroon	57.7	60.2	Q1009
Canada	79.9	84.1	Q16
Central African Republic	50.6	55	Q929
Chad	52.6	55.4	Q657
Channel Islands	81	84.8	Q42314
Chile	77.6	82.4	Q298
China	74.5	79.1	Q148
Hong Kong SAR, China	82.3	87.7	Q8646
Macao SAR, China	81.1	87.1	Q14773
Colombia	74.3	79.9	Q739
Comoros	62.4	65.9	Q970
Congo, Dem. Rep.	58.9	61.9	Q974
Congo, Rep.	62.8	65.7	Q971
Costa Rica	77.5	82.7	Q800
Cote d'Ivoire	56.3	58.7	Q1008
Croatia	74.9	81.4	Q224
Cuba	76.8	80.7	Q241
Curacao	74.7	81.5	Q25279
Cyprus	78.7	82.9	Q229
Czech Republic	76.2	82	Q213
Denmark	79.1	82.9	Q35
Djibouti	64.6	68.8	Q977
Dominican Republic	70.8	77.2	Q786
Ecuador	74.1	79.6	Q736
Egypt, Arab Rep.	69.6	74.2	Q79
El Salvador	68.2	77.6	Q792
Equatorial Guinea	57.4	59.6	Q983
Eritrea	63.8	68.2	Q986
Estonia	74	82.7	Q191
Eswatini	55.3	64	Q1050
Ethiopia	64.4	68.2	Q115
Faroe Islands	80.5	84.7	Q4628
Fiji	65.6	69.2	Q712
Finland	79.1	84.5	Q33
France	79.7	85.9	Q142
French Polynesia	75.4	79.7	Q30971
Gabon	64.2	68.3	Q1000
Gambia, The	60.4	63.2	Q1005
Georgia	69.2	78	Q230
Germany	78.6	83.3	Q183
Ghana	62.7	64.9	Q117
Greece	79.3	84.4	Q41
Greenland	68.8	73	Q223
Grenada	70.1	74.9	Q769
Guam	76.6	83.4	Q16635
Guatemala	71.1	76.9	Q774
Guinea	60.5	61.7	Q1006
Guinea-Bissau	56	59.9	Q1007
Guyana	66.8	73	Q734
Haiti	61.5	65.8	Q790
Honduras	72.8	77.4	Q783
Hungary	72.7	79.6	Q28
Iceland	81.3	84.5	Q189
India	68.2	70.7	Q668
Indonesia	69.4	73.7	Q252
Iran, Islamic Rep.	75.4	77.7	Q794
Iraq	68.4	72.5	Q796
Ireland	80.5	84.1	Q27
Israel	80.9	84.8	Q801
Italy	81.2	85.6	Q38
Jamaica	72.8	76	Q766
Japan	81.3	87.3	Q17
Jordan	72.7	76.2	Q810
Kazakhstan	68.8	77.2	Q232
Kenya	64	68.7	Q114
Kiribati	64	72.1	Q710
Korea, Dem. Peopleâ€™s Rep.	68.4	75.5	Q423
Korea, Rep.	79.7	85.7	Q884
Kosovo	70	74.5	Q1246
Kuwait	74.7	76.5	Q817
Kyrgyz Republic	67.4	75.6	Q813
Lao PDR	65.8	69.4	Q819
Latvia	70.1	79.7	Q211
Lebanon	77.1	80.8	Q822
Lesotho	50.6	57	Q1013
Liberia	62.3	65.1	Q1014
Libya	69.9	75.8	Q1016
Liechtenstein	80.7	85.5	Q347
Lithuania	70.9	80.7	Q37
Luxembourg	80.1	84.6	Q32
North Macedonia	73.7	77.7	Q221
Madagascar	65.1	68.3	Q1019
Malawi	60.7	66.9	Q1020
Malaysia	74.1	78.2	Q833
Maldives	77.2	80.5	Q826
Mali	58.1	59.6	Q912
Malta	80.4	84.6	Q233
Mauritania	63.1	66.3	Q1025
Mauritius	71.3	77.7	Q1027
Mexico	72.1	77.8	Q96
Micronesia, Fed. Sts.	66.1	69.5	Q702
Moldova	67.5	76.1	Q217
Mongolia	65.6	74	Q711
Montenegro	74.3	79.2	Q236
Morocco	75.2	77.7	Q1028
Mozambique	57.1	63	Q1029
Myanmar	63.8	69.9	Q836
Namibia	60.4	66.2	Q1030
Nepal	69	71.9	Q837
Netherlands	80.3	83.4	Q55
New Caledonia	75.1	79.3	Q33788
New Zealand	80.2	83.6	Q664
Nicaragua	70.7	77.8	Q811
Niger	60.9	63.2	Q1032
Nigeria	53.5	55.2	Q1033
Norway	81.1	84.5	Q20
Oman	75.9	80.1	Q842
Pakistan	66.2	68.1	Q843
Panama	75.2	81.6	Q804
Papua New Guinea	63	65.6	Q691
Paraguay	72.2	76.3	Q733
Peru	73.8	79.3	Q419
Philippines	67.1	75.4	Q928
Poland	73.7	81.7	Q36
Portugal	78.3	84.5	Q45
Puerto Rico	76.3	83.4	Q1183
Qatar	79	81.9	Q846
Romania	71.7	79.2	Q218
Russian Federation	67.8	77.8	Q159
Rwanda	66.5	70.8	Q1037
Samoa	71.2	75.3	Q683
Sao Tome and Principe	67.8	72.6	Q1039
Saudi Arabia	73.8	76.6	Q851
Senegal	65.5	69.6	Q1041
Serbia	73.5	78.4	Q403
Seychelles	68.5	77.4	Q1042
Sierra Leone	53.5	55.1	Q1044
Singapore	81	85.4	Q334
Sint Maarten (Dutch part)	74	82.8	Q26273
Slovak Republic	73.9	80.8	Q214
Slovenia	78.5	84.4	Q215
Solomon Islands	71.2	74.7	Q685
Somalia	55.4	58.8	Q1045
South Africa	60.5	67.4	Q258
South Sudan	56.1	59.1	Q958
Spain	80.7	86.3	Q29
