Country	Imports (2010)	Imports (2019)	ID
Afghanistan	10	11	Q889
Albania	68	78	Q222
Algeria	5	5	Q262
Angola	1	6	Q916
Antigua and Barbuda	24	17	Q781
Argentina	35	41	Q414
Armenia	46	65	Q399
Aruba	38	37	Q21203
Australia	44	51	Q408
Austria	26	18	Q40
Azerbaijan	20	27	Q227
Bahamas, The	21	21	Q778
Bahrain	27	26	Q398
Bangladesh	6	10	Q902
Barbados	11	8	Q244
Belarus	21	19	Q184
Belgium	21	15	Q31
Belize	24	22	Q242
Benin	11	4	Q962
Bermuda	30	25	Q23635
Bhutan	31	28	Q917
Bolivia	28	33	Q750
Bosnia and Herzegovina	36	36	Q225
Botswana	36	23	Q963
Brazil	28	26	Q155
Brunei Darussalam	39	34	Q921
Bulgaria	24	29	Q219
Burkina Faso	8	8	Q965
Burundi	13	11	Q967
Cabo Verde	43	24	Q1011
Cambodia	6	29	Q424
Cameroon	11	26	Q1009
Canada	31	30	Q16
Chile	11	17	Q298
China	39	51	Q148
Hong Kong SAR, China	25	34	Q8646
Macao SAR, China	32	29	Q14773
Colombia	28	37	Q739
Comoros	21	24	Q970
Congo, Dem. Rep.	6	4	Q974
Congo, Rep.	6	11	Q971
Costa Rica	22	26	Q800
Cote d'Ivoire	13	13	Q1008
Croatia	21	32	Q224
Curacao	33	43	Q25279
Cyprus	25	18	Q229
Czech Republic	24	23	Q213
Denmark	16	15	Q35
Djibouti	8	4	Q977
Dominica	19	12	Q784
Dominican Republic	16	17	Q786
Ecuador	19	31	Q736
Egypt, Arab Rep.	17	17	Q79
El Salvador	21	26	Q792
Estonia	22	27	Q191
Eswatini	9	19	Q1050
Ethiopia	6	10	Q115
Fiji	20	21	Q712
Finland	16	16	Q33
France	21	19	Q142
French Polynesia	27	40	Q30971
Gambia, The	19	9	Q1005
Georgia	20	28	Q230
Germany	30	25	Q183
Ghana	24	5	Q117
Greece	14	15	Q41
Grenada	12	10	Q769
Guatemala	26	23	Q774
Guinea	2	2	Q1006
Guinea-Bissau	29	45	Q1007
Guyana	21	8	Q734
Haiti	9	9	Q790
Honduras	28	21	Q783
Hungary	15	13	Q28
Iceland	30	44	Q189
India	13	18	Q668
Indonesia	25	29	Q252
Iraq	17	48	Q796
Ireland	7	3	Q27
Israel	20	26	Q801
Italy	24	25	Q38
Jamaica	11	12	Q766
Japan	17	10	Q17
Jordan	36	30	Q810
Kazakhstan	11	24	Q232
Kenya	11	9	Q114
Kiribati	24	24	Q710
Korea, Rep.	20	25	Q884
Kosovo	26	45	Q1246
Kuwait	45	40	Q817
Kyrgyz Republic	19	33	Q813
Lao PDR	79	81	Q819
Latvia	28	21	Q211
Lebanon	35	44	Q822
Lesotho	66	73	Q1013
Liberia	1	4	Q1014
Libya	39	45	Q1016
Lithuania	29	18	Q37
Luxembourg	8	4	Q32
Madagascar	9	16	Q1019
Malawi	30	32	Q1020
Malaysia	26	27	Q833
Maldives	46	26	Q826
Mali	11	13	Q912
Malta	4	4	Q233
Marshall Islands	21	38	Q709
Mauritania	6	2	Q1025
Mauritius	20	30	Q1027
Mexico	27	27	Q96
Moldova	35	34	Q217
Mongolia	35	29	Q711
Montenegro	11	8	Q236
Morocco	21	24	Q1028
Mozambique	18	3	Q1029
Myanmar	7	3	Q836
Namibia	6	15	Q1030
Nepal	48	47	Q837
Netherlands	14	12	Q55
New Caledonia	14	14	Q33788
New Zealand	30	31	Q664
Nicaragua	17	25	Q811
Niger	11	9	Q1032
Nigeria	28	31	Q1033
North Macedonia	12	20	Q221
Norway	30	32	Q20
Oman	16	22	Q842
Pakistan	14	18	Q843
Palau	14	27	Q695
Panama	15	28	Q804
Papua New Guinea	4	7	Q691
Paraguay	21	28	Q733
Peru	22	27	Q419
Philippines	47	44	Q928
Poland	28	22	Q36
Portugal	27	30	Q45
Qatar	12	28	Q846
Romania	20	29	Q218
Russian Federation	36	37	Q159
Rwanda	17	36	Q1037
Samoa	19	2	Q683
Sao Tome and Principe	0	28	Q1039
Saudi Arabia	41	29	Q851
Senegal	15	10	Q1041
Serbia	27	27	Q403
Seychelles	15	10	Q1042
Sierra Leone	5	14	Q1044
Singapore	19	13	Q334
Sint Maarten (Dutch part)	37	29	Q26273
Slovak Republic	27	24	Q214
Slovenia	31	25	Q215
Solomon Islands	26	28	Q685
South Africa	29	21	Q258
Spain	26	32	Q29
Sri Lanka	15	37	Q854
St. Kitts and Nevis	12	18	Q763
St. Lucia	24	14	Q760
St. Vincent and the Grenadines	17	19	Q757
Sudan	47	1	Q1049
Suriname	17	12	Q730
Sweden	24	23	Q34
Switzerland	16	17	Q39
Tajikistan	1	1	Q863
Tanzania	45	36	Q924
Thailand	14	24	Q869
Timor-Leste	11	29	Q574
Togo	12	9	Q945
Tonga	17	43	Q678
Trinidad and Tobago	19	4	Q754
Tunisia	18	29	Q948
Turkey	28	15	Q43
Uganda	18	7	Q1036
Ukraine	31	58	Q212
United Kingdom	33	25	Q145
United States	23	27	Q30
Uruguay	29	30	Q77
Vanuatu	24	11	Q686
Venezuela, RB	15	20	Q717
West Bank and Gaza	70	51	Q407199
Yemen, Rep.	9	3	Q805
Zambia	12	20	Q953
Zimbabwe	10	29	Q954
