Country	Troops, police, and military observers	ID
Afghanistan	14	Q889
Burundi	2	Q967
Central African Republic	12736	Q929
Congo, Dem. Rep.	17165	Q974
Cote d'Ivoire	2622	Q1008
Guinea-Bissau	14	Q1007
Haiti	1174	Q790
Iraq	244	Q796
Kosovo	17	Q1246
Lebanon	10518	Q822
Liberia	1712	Q1014
Libya	2	Q1016
Mali	13913	Q912
Solomon Islands	99	Q685
Somalia	591	Q1045
South Sudan	15415	Q958
Sudan	16692	Q1049
Syrian Arab Republic	985	Q858
West Bank and Gaza	150	Q407199
