Country	Nonresidents	ID
Albania	7143	Q222
Algeria	8775	Q262
Andorra	2476	Q228
Angola	1780	Q916
Argentina	16220	Q414
Armenia	7808	Q399
Australia	63805	Q408
Austria	9731	Q40
Azerbaijan	9268	Q227
Bahamas, The	803	Q778
Bahrain	12195	Q398
Bangladesh	4120	Q902
Barbados	840	Q244
Belarus	15613	Q184
Bhutan	1918	Q917
Bolivia	4713	Q750
Bosnia and Herzegovina	9332	Q225
Botswana	2566	Q963
Brazil	28356	Q155
Brunei Darussalam	4054	Q921
Bulgaria	4822	Q219
Burundi	481	Q967
Cambodia	9784	Q424
Canada	81314	Q16
Cabo Verde	211	Q1011
Chile	14505	Q298
China	238246	Q148
Hong Kong SAR, China	52867	Q8646
Macao SAR, China	14028	Q14773
Colombia	19726	Q739
Costa Rica	6529	Q800
Croatia	4413	Q224
Cuba	4670	Q241
Curacao	2110	Q25279
Cyprus	2975	Q229
Czech Republic	5731	Q213
Denmark	4613	Q35
Dominica	170	Q784
Dominican Republic	5729	Q786
Ecuador	6534	Q736
Egypt, Arab Rep.	14404	Q79
El Salvador	6590	Q792
Estonia	3503	Q191
Ethiopia	485	Q115
Finland	3873	Q33
France	19013	Q142
Gambia, The	2011	Q1005
Georgia	7839	Q230
Germany	24232	Q183
Ghana	4515	Q117
Grenada	417	Q769
Guatemala	5808	Q774
Guyana	622	Q734
Honduras	4677	Q783
Hungary	4964	Q28
Iceland	8189	Q189
India	44947	Q668
Indonesia	29264	Q252
Iran, Islamic Rep.	29995	Q794
Iraq	10000	Q796
Israel	17056	Q801
Italy	12888	Q38
Jamaica	5624	Q766
Japan	73818	Q17
Jordan	4494	Q810
Kazakhstan	16899	Q232
Kenya	6736	Q114
Korea, Rep.	56023	Q884
Kuwait	7195	Q817
Kyrgyz Republic	7745	Q813
Lao PDR	5009	Q819
Latvia	3916	Q211
Lebanon	284	Q822
Lesotho	2136	Q1013
Liechtenstein	7952	Q347
Lithuania	4183	Q37
Madagascar	3475	Q1019
Malawi	668	Q1020
Malaysia	23793	Q833
Malta	396	Q233
Mauritius	2704	Q1027
Mexico	46468	Q96
Moldova	8892	Q217
Monaco	7990	Q235
Mongolia	5582	Q711
Montenegro	8349	Q236
Morocco	14285	Q1028
Mozambique	3881	Q1029
Namibia	3375	Q1030
Nepal	1677	Q837
New Zealand	32519	Q664
Norway	31353	Q20
Oman	4958	Q842
Pakistan	7438	Q843
Panama	6872	Q804
Papua New Guinea	753	Q691
Paraguay	5374	Q733
Peru	12935	Q419
Philippines	26326	Q928
Poland	7690	Q36
Portugal	5733	Q45
Qatar	7007	Q846
Romania	5456	Q218
Russian Federation	59698	Q159
Rwanda	2558	Q1037
Samoa	337	Q683
Sao Tome and Principe	1750	Q1039
Saudi Arabia	13329	Q851
Serbia	12991	Q403
Seychelles	690	Q1042
Sierra Leone	2357	Q1044
Singapore	41399	Q334
Slovak Republic	5075	Q214
Slovenia	3898	Q215
South Africa	15987	Q258
Spain	10126	Q29
Sri Lanka	4127	Q854
St. Kitts and Nevis	463	Q763
St. Lucia	352	Q760
St. Vincent and the Grenadines	382	Q757
Sudan	3565	Q1049
Suriname	665	Q730
Sweden	5273	Q34
Switzerland	54608	Q39
Syrian Arab Republic	6623	Q858
Tajikistan	5045	Q863
Thailand	45455	Q869
Tonga	544	Q678
Trinidad and Tobago	1886	Q754
Turkey	33416	Q43
Uganda	115	Q1036
Ukraine	25323	Q212
United Arab Emirates	13739	Q878
United Kingdom	58970	Q145
United States	194309	Q30
Uruguay	5606	Q77
Uzbekistan	7056	Q265
Venezuela, RB	4025	Q717
Vietnam	33465	Q881
Yemen, Rep.	1755	Q805
Zambia	3413	Q953
Zimbabwe	3086	Q954
