Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	30	36	Q889
Albania	2018	10	5	Q222
Algeria	2013	10	8	Q262
Angola	2016	19	22	Q916
Argentina	2012	10	8	Q414
Armenia	2016	6	2	Q399
Bangladesh	2014	8	6	Q902
Belize	2016	8	3	Q242
Benin	2018	15	10	Q962
Bhutan	2010	26	19	Q917
Bolivia	2008	36	24	Q750
Bosnia and Herzegovina	2012	7	5	Q225
Burkina Faso	2010	19	21	Q965
Burundi	2017	31	21	Q967
Cambodia	2014	20	15	Q424
Cameroon	2014	31	11	Q1009
Central African Republic	2010	27	21	Q929
Chad	2015	32	27	Q657
Colombia	2010	21	9	Q739
Comoros	2012	19	19	Q970
Congo, Dem. Rep.	2014	22	23	Q974
Congo, Rep.	2016	20	13	Q971
Costa Rica	2011	6	6	Q800
Cote d'Ivoire	2016	16	13	Q1008
Dominican Republic	2014	22	14	Q786
Egypt, Arab Rep.	2014	23	14	Q79
El Salvador	2014	15	8	Q792
Eswatini	2014	17	11	Q1050
Ethiopia	2016	13	15	Q115
Gabon	2012	21	11	Q1000
Gambia, The	2018	29	21	Q1005
Ghana	2014	19	8	Q117
Guatemala	2015	23	21	Q774
Guinea	2018	16	18	Q1006
Guinea-Bissau	2014	10	13	Q1007
Guyana	2014	14	4	Q734
Haiti	2017	29	23	Q790
Honduras	2012	25	16	Q783
India	2016	13	10	Q668
Indonesia	2017	19	12	Q252
Iraq	2018	15	10	Q796
Jamaica	2011	6	4	Q766
Jordan	2018	15	13	Q810
Kenya	2014	23	13	Q114
Kosovo	2014	11	0	Q1246
Kyrgyz Republic	2018	10	4	Q813
Lao PDR	2017	8	5	Q819
Lesotho	2018	8	8	Q1013
Liberia	2013	31	20	Q1014
Madagascar	2009	11	13	Q1019
Malawi	2016	29	26	Q1020
Maldives	2017	5	3	Q826
Mali	2018	23	18	Q912
Mauritania	2015	23	11	Q1025
Mexico	2015	10	6	Q96
Moldova	2012	4	9	Q217
Mongolia	2018	9	10	Q711
Montenegro	2013	4	3	Q236
Mozambique	2015	13	16	Q1029
Myanmar	2016	15	10	Q836
Namibia	2013	30	14	Q1030
Nepal	2016	8	8	Q837
Niger	2012	17	21	Q1032
Nigeria	2018	23	8	Q1033
North Macedonia	2011	9	4	Q221
Pakistan	2018	20	23	Q843
Papua New Guinea	2018	16	21	Q691
Paraguay	2016	11	7	Q733
Peru	2012	16	12	Q419
Philippines	2017	9	4	Q928
Rwanda	2015	18	10	Q1037
Sao Tome and Principe	2014	20	10	Q1039
Senegal	2017	27	14	Q1041
Serbia	2010	11	8	Q403
Sierra Leone	2017	8	6	Q1044
South Africa	2016	14	9	Q258
South Sudan	2010	36	32	Q958
Sudan	2014	27	30	Q1049
Suriname	2018	9	8	Q730
Tajikistan	2017	19	13	Q863
Tanzania	2016	12	18	Q924
Thailand	2016	6	4	Q869
Timor-Leste	2016	9	16	Q574
Togo	2014	24	11	Q945
Tunisia	2018	10	5	Q948
Turkey	2008	33	15	Q43
Turkmenistan	2016	2	2	Q874
Uganda	2016	30	22	Q1036
Vietnam	2014	15	5	Q881
West Bank and Gaza	2014	13	10	Q407199
Yemen, Rep.	2013	40	31	Q805
Zambia	2014	20	19	Q953
Zimbabwe	2015	25	19	Q954
