Country	Male	Female	ID
Afghanistan	12.1	67.8	Q889
Albania	20.8	37.8	Q222
Algeria	1.8	2.4	Q262
Angola	7.8	10.3	Q916
Argentina	0.4	0.8	Q414
Armenia	1.3	3.3	Q399
Australia	0.2	0.2	Q408
Austria	1.2	1.3	Q40
Azerbaijan	25	43.3	Q227
Bahamas, The	0.3	0.3	Q778
Bahrain	0.4	0.6	Q398
Bangladesh	4	29.1	Q902
Barbados	0.1	0.1	Q244
Belarus	0	0	Q184
Belgium	0.5	1.3	Q31
Belize	2.8	4	Q242
Benin	11.7	19.6	Q962
Bhutan	22.9	48.1	Q917
Bolivia	9.2	30.7	Q750
Bosnia and Herzegovina	1.9	6.7	Q225
Botswana	3.5	4.7	Q963
Brazil	1.5	3.4	Q155
Brunei Darussalam	0.4	0.3	Q921
Bulgaria	0.5	1	Q219
Burkina Faso	30.7	52.5	Q965
Burundi	23.9	35.4	Q967
Cabo Verde	5.8	16.4	Q1011
Cambodia	4.4	5.1	Q424
Cameroon	8.4	20.3	Q1009
Canada	0.1	0.2	Q16
Central African Republic	28.2	47.6	Q929
Chad	13.4	44.3	Q657
Channel Islands	0.5	1.5	Q42314
Chile	0.7	1.7	Q298
China	7.8	21.1	Q148
Hong Kong SAR, China	0.1	0.5	Q8646
Macao SAR, China	0.1	0.3	Q14773
Colombia	2	5.7	Q739
Comoros	9.5	17.6	Q970
Congo, Dem. Rep.	7.3	31.1	Q974
Congo, Rep.	5.2	5.7	Q971
Costa Rica	1.1	2.8	Q800
Cote d'Ivoire	10.6	15.3	Q1008
Croatia	0.9	1.7	Q224
Cuba	2.2	1.9	Q241
Cyprus	0.6	0.7	Q229
Czech Republic	0.2	0.9	Q213
Denmark	0.3	0.5	Q35
Djibouti	5.1	13.2	Q977
Dominican Republic	1.2	2.7	Q786
Ecuador	6.8	21.1	Q736
Egypt, Arab Rep.	4	25.3	Q79
El Salvador	5	7.2	Q792
Equatorial Guinea	4.8	13.9	Q983
Eritrea	27.3	50.5	Q986
Estonia	0.2	0.2	Q191
Eswatini	2.4	2.8	Q1050
Ethiopia	23	56.7	Q115
Fiji	15	29.3	Q712
Finland	0.5	0.4	Q33
France	0.1	0.5	Q142
French Polynesia	0.5	0.5	Q30971
Gabon	0.7	1.7	Q1000
Gambia, The	10.9	13.1	Q1005
Georgia	12.7	28.1	Q230
Germany	0.2	0.5	Q183
Ghana	5.5	13.5	Q117
Greece	2.3	5.6	Q41
Guam	0.3	1.1	Q16635
Guatemala	8.4	11.9	Q774
Guinea	22.6	35.7	Q1006
Guinea-Bissau	16.6	31.6	Q1007
Guyana	1.7	7.8	Q734
Haiti	16	28.2	Q790
Honduras	8.1	12	Q783
Hungary	0.2	0.3	Q28
Iceland	0.2	0.4	Q189
India	7.9	30.2	Q668
Indonesia	6.3	24.4	Q252
Iran, Islamic Rep.	2.4	18.2	Q794
Iraq	4.3	4.8	Q796
Ireland	0.5	0.6	Q27
Israel	0	0.1	Q801
Italy	0.9	1.6	Q38
Jamaica	0.6	1.4	Q766
Japan	0.8	4.1	Q17
Jordan	0.5	0.3	Q810
Kazakhstan	0.1	0.1	Q232
Kenya	6	8.9	Q114
Korea, Dem. People’s Rep.	26.6	75.8	Q423
Korea, Rep.	0.9	8.5	Q884
Kuwait	0	0	Q817
Kyrgyz Republic	4.1	11.2	Q813
