Country	Goveernment % (2010)	Goveernment % (2018)	ID
Afghanistan	1.1	0.4	Q889
Albania	4	3.2	Q222
Angola	-2.5	20.4	Q916
Armenia	3.6	3.5	Q399
Australia	4	1.6	Q408
Azerbaijan	0.1	-2	Q227
Bahamas, The	3.1	3.6	Q778
Bangladesh	2.8	3.7	Q902
Barbados	10.1	4.8	Q244
Belarus	2.5	0.2	Q184
Bhutan	0.3	6.8	Q917
Bosnia and Herzegovina	1.8	-0.2	Q225
Botswana	5.1	2.3	Q963
Brazil	6.5	6.1	Q155
Burkina Faso	4.4	3.7	Q965
Cambodia	3.2	1.9	Q424
Cameroon	2.5	1.4	Q1009
Central African Republic	1.2	-0.3	Q929
Chile	2.4	1.7	Q298
Colombia	7.1	2.8	Q739
Congo, Rep.	-24	-9.5	Q971
Cote d'Ivoire	2.4	3.6	Q1008
Dominican Republic	3.6	3	Q786
El Salvador	1.4	-2.6	Q792
Ethiopia	13.3	4.7	Q115
Fiji	4.3	6.5	Q712
Gabon	-1.9	0.4	Q1000
Georgia	5.8	2.5	Q230
Ghana	6.3	3.9	Q117
Guatemala	3.4	2	Q774
Honduras	2.9	2.3	Q783
Hungary	2.3	4.1	Q28
Iceland	11	-1.3	Q189
India	4.4	2.7	Q668
Indonesia	1.4	2.5	Q252
Ireland	24.8	5.3	Q27
Israel	2	2.9	Q801
Japan	6.5	3.4	Q17
Jordan	4.9	4	Q810
Kazakhstan	2.6	1.1	Q232
Kiribati	1.1	-0.8	Q710
Korea, Rep.	1.2	1.1	Q884
Lebanon	4.7	8.8	Q822
Lesotho	1.4	0.2	Q1013
Madagascar	1.8	1.7	Q1019
Malawi	0.3	6.4	Q1020
Malaysia	4.9	3.7	Q833
Mali	2.6	3.2	Q912
Malta	4.9	0.6	Q233
Marshall Islands	0.4	-2.5	Q709
Mauritius	1.7	-0.8	Q1027
Mexico	3.4	2.6	Q96
Micronesia, Fed. Sts.	-0.2	-5	Q702
Moldova	2.7	0.6	Q217
Mongolia	0.2	-3.7	Q711
Morocco	4	3.7	Q1028
Mozambique	5.4	5.9	Q1029
Myanmar	1.8	1.2	Q836
Namibia	2.1	5.6	Q1030
Nepal	1.9	3.4	Q837
North Macedonia	1.6	3.3	Q221
Norway	2.5	3.2	Q20
Palau	4.8	4	Q695
Paraguay	0.3	2.5	Q733
Peru	-1.2	-1.1	Q419
Philippines	3.8	2.8	Q928
Russian Federation	1.6	1	Q159
Samoa	7.3	0.6	Q683
Seychelles	14.8	-0.5	Q1042
Singapore	9.6	8.9	Q334
Solomon Islands	0	0.2	Q685
South Africa	7.1	5.8	Q258
Spain	6.1	3.5	Q29
Sri Lanka	7.2	5.6	Q854
Tanzania	6.7	1.6	Q924
Thailand	2.3	2.4	Q869
Togo	-0.7	0.9	Q945
Tonga	0.6	1.6	Q678
Trinidad and Tobago	-1.5	6.9	Q754
Turkey	3.2	3	Q43
Ukraine	9.9	1.5	Q212
United Arab Emirates	-0.3	0	Q878
United Kingdom	9.6	2.7	Q145
United States	11.3	6	Q30
Uruguay	-1.2	1.4	Q77
Uzbekistan	-0.2	-0.3	Q265
Vanuatu	1.6	-3.1	Q686
Zambia	2.8	6.1	Q953
