Country	$ billions	$ per capita	ID
Afghanistan	2.9	0.5	Q889
Albania	2.2	2.7	Q222
Algeria	0.8	-1.1	Q262
American Samoa	2.2	2.5	Q16641
Andorra	1.8	1.7	Q228
Angola	-0.9	-4.0	Q916
Antigua and Barbuda	4.7	3.8	Q781
Argentina	-2.2	-3.1	Q414
Armenia	7.6	7.4	Q399
Aruba	2.0	1.5	Q21203
Australia	1.9	0.4	Q408
Austria	1.6	1.2	Q40
Azerbaijan	2.2	1.4	Q227
Bahamas, The	1.8	0.8	Q778
Bahrain	1.8	-2.6	Q398
Bangladesh	8.2	7.0	Q902
Barbados	-0.1	-0.2	Q244
Belarus	1.2	1.4	Q184
Belgium	1.4	0.9	Q31
Belize	0.3	-1.6	Q242
Benin	6.9	4.0	Q962
Bhutan	3.0	1.8	Q917
Bolivia	2.2	0.8	Q750
Bosnia and Herzegovina	2.6	3.3	Q225
Botswana	3.0	0.8	Q963
Brazil	1.1	0.4	Q155
Brunei Darussalam	3.9	2.8	Q921
Bulgaria	3.4	4.1	Q219
Burkina Faso	5.7	2.7	Q965
Burundi	1.8	-1.3	Q967
Cambodia	7.1	5.5	Q424
Cameroon	4.0	1.4	Q1009
Canada	1.7	0.2	Q16
Cabo Verde	5.7	4.5	Q1011
Cayman Islands	3.3	2.0	Q5785
Central African Republic	3.0	1.3	Q929
Chad	3.2	0.2	Q657
Chile	1.1	-0.1	Q298
China	6.1	5.7	Q148
Hong Kong SAR, China	-1.2	-1.9	Q8646
Macao SAR, China	-4.7	-6.0	Q14773
Colombia	3.3	1.9	Q739
Comoros	2.7	0.5	Q970
Congo, Dem. Rep.	4.4	1.1	Q974
Congo, Rep.	-0.9	-3.4	Q971
Costa Rica	2.1	1.1	Q800
Cote d'Ivoire	6.9	4.2	Q1008
Croatia	2.9	3.5	Q224
Cuba	2.2	2.3	Q241
Curacao	-2.2	-1.9	Q25279
Cyprus	3.2	1.9	Q229
Czech Republic	2.6	2.2	Q213
Denmark	2.4	1.9	Q35
Djibouti	7.5	5.9	Q977
