Country	Expenditure % (2010)	Expenditure % (2018)	ID
Afghanistan	75	55	Q889
Albania	9	9	Q222
Angola	26	25	Q916
Armenia	13	14	Q399
Australia	10	10	Q408
Austria	7	6	Q40
Azerbaijan	10	11	Q227
Bahamas, The	19	20	Q778
Bangladesh	13	14	Q902
Barbados	14	13	Q244
Belarus	10	14	Q184
Belgium	2	3	Q31
Belize	24	21	Q242
Bhutan	37	23	Q917
Bosnia and Herzegovina	24	18	Q225
Botswana	28	26	Q963
Brazil	3	3	Q155
Bulgaria	11	9	Q219
Burkina Faso	17	21	Q965
Cabo Verde	15	15	Q1011
Cambodia	31	20	Q424
Cameroon	29	34	Q1009
Canada	7	8	Q16
Central African Republic	58	24	Q929
Chile	8	9	Q298
Macao SAR, China	15	15	Q14773
Colombia	11	13	Q739
Congo, Rep.	41	15	Q971
Costa Rica	10	10	Q800
Cote d'Ivoire	20	13	Q1008
Croatia	10	12	Q224
Cyprus	10	8	Q229
Czech Republic	10	9	Q213
Denmark	8	8	Q35
Dominican Republic	19	17	Q786
Egypt, Arab Rep.	8	4	Q79
El Salvador	17	16	Q792
Equatorial Guinea	41	38	Q983
Estonia	10	10	Q191
Ethiopia	21	19	Q115
Fiji	14	18	Q712
Finland	8	8	Q33
France	5	5	Q142
Gabon	23	11	Q1000
Georgia	16	13	Q230
Germany	4	5	Q183
Ghana	15	9	Q117
Greece	9	7	Q41
Guatemala	15	12	Q774
Honduras	14	18	Q783
Hungary	10	14	Q28
Iceland	15	16	Q189
India	9	8	Q668
Indonesia	10	13	Q252
Ireland	7	12	Q27
Israel	20	20	Q801
Italy	3	3	Q38
Japan	5	5	Q17
Jordan	9	8	Q810
Kazakhstan	22	18	Q232
Kiribati	36	34	Q710
Korea, Rep.	11	12	Q884
Kuwait	15	17	Q817
Latvia	12	10	Q211
Lebanon	4	4	Q822
Lesotho	22	23	Q1013
Lithuania	9	7	Q37
Luxembourg	7	6	Q32
Madagascar	12	8	Q1019
Malawi	33	33	Q1020
Malaysia	16	15	Q833
Mali	32	27	Q912
Malta	14	18	Q233
Marshall Islands	29	29	Q709
Mauritius	12	13	Q1027
Mexico	7	7	Q96
Micronesia, Fed. Sts.	45	53	Q702
Moldova	20	18	Q217
Mongolia	20	14	Q711
Morocco	9	11	Q1028
Mozambique	29	16	Q1029
Myanmar	39	46	Q836
Namibia	17	11	Q1030
Nepal	10	11	Q837
Netherlands	6	6	Q55
New Zealand	12	12	Q664
Nicaragua	13	15	Q811
North Macedonia	11	6	Q221
Norway	9	9	Q20
Palau	21	23	Q695
Paraguay	13	13	Q733
Peru	21	20	Q419
Philippines	14	20	Q928
Poland	7	7	Q36
Portugal	9	9	Q45
Romania	9	9	Q218
Russian Federation	13	8	Q159
Samoa	45	43	Q683
San Marino	24	21	Q238
Saudi Arabia	19	19	Q851
Seychelles	40	40	Q1042
Singapore	36	34	Q334
Slovak Republic	10	9	Q214
Slovenia	11	12	Q215
Solomon Islands	52	53	Q685
South Africa	13	11	Q258
Spain	4	4	Q29
Sri Lanka	8	8	Q854
St. Kitts and Nevis	22	23	Q763
St. Lucia	21	20	Q760
St. Vincent and the Grenadines	14	14	Q757
Sudan	10	14	Q1049
Sweden	6	5	Q34
Switzerland	6	7	Q39
Tanzania	15	12	Q924
Thailand	32	26	Q869
Timor-Leste	49	44	Q574
Togo	25	32	Q945
Tonga	39	39	Q678
Trinidad and Tobago	18	22	Q754
Turkey	12	10	Q43
Ukraine	11	13	Q212
United Arab Emirates	31	37	Q878
United Kingdom	13	14	Q145
United States	10	8	Q30
Uruguay	13	11	Q77
Vanuatu	31	30	Q686
West Bank and Gaza	15	20	Q407199
Zambia	24	16	Q953
Zimbabwe	15	9	Q954
