Country	Consumption (2010)	Consumption (2019)	ID
Afghanistan	114.5	91.9	Q889
Albania	89.3	91.8	Q222
Algeria	51.5	62.6	Q262
Angola	52.8	66.8	Q916
Argentina	79.4	79.6	Q414
Armenia	98.3	96.9	Q399
Aruba	87.6	77.5	Q21203
Australia	74.2	74.5	Q408
Austria	74	70.8	Q40
Azerbaijan	50.2	67.5	Q227
Bahamas, The	74.2	81.2	Q778
Bahrain	54.1	55.9	Q398
Bangladesh	79.2	75.2	Q902
Barbados	93.2	89.7	Q244
Belarus	71.7	70.9	Q184
Belgium	75.2	74.6	Q31
Belize	86.5	85.9	Q242
Benin	89.7	78.8	Q962
Bhutan	65.8	77.6	Q917
Bolivia	76.1	86.6	Q750
Bosnia and Herzegovina	107.9	96.3	Q225
Botswana	68.9	69.7	Q963
Brazil	79.2	85.2	Q155
Brunei Darussalam	36.9	45.5	Q921
Bulgaria	80.2	77.1	Q219
Burkina Faso	86.1	78.7	Q965
Burundi	102.9	105.2	Q967
Cabo Verde	81.5	79.2	Q1011
Cambodia	87.6	74.2	Q424
Cameroon	81.6	81.1	Q1009
Canada	78.7	79	Q16
Central African Republic	89.9	101.3	Q929
Chad	72.2	79.7	Q657
Chile	70.4	77.6	Q298
China	48.9	55.1	Q148
Hong Kong SAR, China	70.2	79.3	Q8646
Macao SAR, China	31.6	35.7	Q14773
Colombia	79.7	84	Q739
Comoros	102.1	101.6	Q970
Congo, Dem. Rep.	79.7	77.8	Q974
Congo, Rep.	49.1	38.6	Q971
Costa Rica	82.2	80.7	Q800
Cote d'Ivoire	79.3	77.5	Q1008
Croatia	80.6	77.8	Q224
Cuba	85.1	86	Q241
Cyprus	84.3	81.3	Q229
Czech Republic	69.8	67.7	Q213
Denmark	75	70.6	Q35
Dominican Republic	84.3	80.8	Q786
Ecuador	76.5	75	Q736
Egypt, Arab Rep.	85.7	93.8	Q79
El Salvador	103	99	Q792
Equatorial Guinea	35.1	83.9	Q983
Estonia	72.1	68.6	Q191
Eswatini	95.5	89.3	Q1050
Ethiopia	82.8	77.7	Q115
Finland	76.3	75.7	Q33
France	79.3	76.8	Q142
Gabon	44.1	47.8	Q1000
Gambia, The	103.4	104.3	Q1005
Georgia	96.5	82.1	Q230
