Country	average annual (1990-2000)	average annual (2000-2019)	ID
Algeria	18.6	2.4	Q262
Argentina	15.6	1.1	Q414
Armenia	-2.1	2.2	Q399
Australia	7.8	2.7	Q408
Austria	4.8	3.2	Q40
Bahamas, The	8.5	0.9	Q778
Bangladesh	10.3	4.8	Q902
Belarus	-8.7	2.1	Q184
Belgium	5.2	3.5	Q31
Belize	7.2	3.8	Q242
Benin	4.2	9.3	Q962
Bolivia	6	3.9	Q750
Botswana	4.9	3.5	Q963
Brazil	12	-1.1	Q155
Brunei Darussalam	1.9	1.5	Q921
Bulgaria	-0.2	5.5	Q219
Burkina Faso	2	6.4	Q965
Cambodia	14.8	9.3	Q424
Cameroon	11	3.7	Q1009
Canada	7.3	2.2	Q16
Chile	11.7	1.7	Q298
Hong Kong SAR, China	8.4	2.6	Q8646
Macao SAR, China	1.7	5.7	Q14773
Colombia	9.1	4.6	Q739
Comoros	1.6	6.4	Q970
Congo, Dem. Rep.	-2.5	5.7	Q974
Congo, Rep.	11.8	-7	Q971
Costa Rica	7.7	4.7	Q800
Croatia	4.6	5.2	Q224
Cuba	-0.9	0	Q241
Cyprus	4.2	4.3	Q229
Czech Republic	11.7	4.9	Q213
Denmark	5.8	3.5	Q35
Dominican Republic	9.1	4.1	Q786
Ecuador	2.9	1	Q736
Egypt, Arab Rep.	3.5	7.6	Q79
El Salvador	10.3	2.1	Q792
Estonia	9.2	4.9	Q191
Eswatini	6.2	2	Q1050
Finland	6.6	2.6	Q33
France	5.9	3.7	Q142
Gabon	0.1	-0.5	Q1000
Germany	5.9	4	Q183
Greece	8.2	0.8	Q41
Guatemala	9.2	3.4	Q774
Haiti	16.7	1	Q790
Honduras	3.8	3.2	Q783
Hungary	15	5.4	Q28
Iceland	5.5	7.3	Q189
India	14.5	2.9	Q668
Indonesia	5.6	2.4	Q252
Iran, Islamic Rep.	-6.2	-10.2	Q794
Ireland	14.6	11.1	Q27
Israel	8.7	4	Q801
Italy	4.6	1.9	Q38
Japan	3.9	3.3	Q17
Jordan	1.4	0.6	Q810
Kazakhstan	-11.2	3.8	Q232
Kenya	9.4	3.5	Q114
Korea, Rep.	9.6	3.6	Q884
Kyrgyz Republic	-9.8	2.1	Q813
Latvia	7.8	4.7	Q211
Lebanon	11.8	3.1	Q822
Lesotho	14.9	1	Q1013
Lithuania	8.8	6.1	Q37
Luxembourg	8.3	4.9	Q32
Madagascar	4.1	6.5	Q1019
Malaysia	10.3	3	Q833
Mali	3.8	3.9	Q912
Mauritania	0.4	0.1	Q1025
Mauritius	5.1	3	Q1027
Mexico	10.4	4.6	Q96
Moldova	-0.1	4.6	Q217
Morocco	3.7	5.2	Q1028
Mozambique	4.6	9.4	Q1029
Namibia	5.4	4.2	Q1030
Netherlands	7.4	4.3	Q55
New Zealand	5.9	5.3	Q664
Nicaragua	10.7	3	Q811
Niger	5.1	2.6	Q1032
Nigeria	2.8	-5.7	Q1033
North Macedonia	7.5	8.7	Q221
Norway	5.8	2.8	Q20
Pakistan	2.5	6.3	Q843
Panama	2.8	1.4	Q804
Paraguay	2.2	2.6	Q733
Peru	9	3.5	Q419
Philippines	8.5	11.3	Q928
Poland	15.6	6.1	Q36
Portugal	7.6	4.5	Q45
Romania	5.5	9	Q218
Russian Federation	-6.2	-1.2	Q159
Rwanda	9.6	11.4	Q1037
Senegal	2	8.1	Q1041
Serbia	5.4	6.5	Q403
Sierra Leone	-0.2	8.1	Q1044
Singapore	11.4	3.9	Q334
Slovak Republic	4.9	5.1	Q214
Slovenia	5.4	4.5	Q215
South Africa	7.1	2.2	Q258
Spain	9	2.7	Q29
Sri Lanka	8.6	5.9	Q854
Sudan	10.9	-4.8	Q1049
Sweden	6.3	4	Q34
Switzerland	4.1	2	Q39
Tanzania	4.8	1.4	Q924
Thailand	5.6	1.8	Q869
Togo	1.1	4.2	Q945
Turkey	10.8	2.9	Q43
Uganda	10.2	3.4	Q1036
Ukraine	-6.6	-2.3	Q212
United Kingdom	6.2	3.6	Q145
United States	9.8	3.8	Q30
Uruguay	9.8	0.1	Q77
Uzbekistan	-7.4	7.8	Q265
Vietnam	19.5	14	Q881
West Bank and Gaza	7.5	3.6	Q407199
Zimbabwe	3.1	5.3	Q954
