Country	Total	ID
Afghanistan	2.2	Q889
Albania	13.1	Q222
Argentina	57.8	Q414
Armenia	24.4	Q399
Azerbaijan	4	Q227
Bangladesh	12.7	Q902
Belarus	45.5	Q184
Benin	36.7	Q962
Bhutan	43.3	Q917
Bolivia	68.6	Q750
Bosnia and Herzegovina	22.8	Q225
Bulgaria	41.5	Q219
Burundi	44	Q967
Cambodia	46.2	Q424
Cameroon	39.7	Q1009
Central African Republic	53.3	Q929
Chad	13.1	Q657
China	64.2	Q148
Colombia	66.9	Q739
Congo, Dem. Rep.	15.1	Q974
Cote d'Ivoire	24.4	Q1008
Croatia	36.3	Q224
Czech Republic	30.4	Q213
Djibouti	22.3	Q977
Dominican Republic	32.2	Q786
Ecuador	70.4	Q736
Egypt, Arab Rep.	17.8	Q79
El Salvador	38.4	Q792
Estonia	38.3	Q191
Eswatini	36	Q1050
Ethiopia	36.2	Q115
Gambia, The	16.8	Q1005
Georgia	36.1	Q230
Ghana	31.6	Q117
Greece	45.9	Q41
Guatemala	31.5	Q774
Guinea	9	Q1006
Honduras	54.7	Q783
Hungary	48.7	Q28
India	10.7	Q668
Indonesia	22.1	Q252
Iraq	6.8	Q796
Israel	27.3	Q801
Jordan	15.7	Q810
Kazakhstan	29.6	Q232
Kenya	47.5	Q114
Kosovo	13.2	Q1246
Kyrgyz Republic	51.2	Q813
Lao PDR	36.5	Q819
Latvia	41.6	Q211
Lebanon	43.5	Q822
Lesotho	39.1	Q1013
Liberia	37.4	Q1014
Lithuania	35.7	Q37
North Macedonia	27.7	Q221
Madagascar	41.6	Q1019
Malawi	28.1	Q1020
Malaysia	25.4	Q833
Mali	15.3	Q912
Mauritania	15	Q1025
Moldova	54.1	Q217
Mongolia	36.1	Q711
Montenegro	25.6	Q236
Morocco	31.3	Q1028
Mozambique	28.3	Q1029
Myanmar	35.1	Q836
Namibia	41	Q1030
Nepal	21.8	Q837
Nicaragua	35.8	Q811
Niger	14.5	Q1032
Nigeria	16.2	Q1033
Pakistan	11.8	Q843
Papua New Guinea	46.5	Q691
Paraguay	66.2	Q733
Peru	56.6	Q419
Philippines	69.2	Q928
Poland	40.2	Q36
Romania	47	Q218
Russian Federation	28.5	Q159
Rwanda	42.7	Q1037
Senegal	22.9	Q1041
Serbia	34.9	Q403
Sierra Leone	18.8	Q1044
Slovak Republic	29.7	Q214
Slovenia	38.5	Q215
Solomon Islands	47.4	Q685
South Sudan	21.9	Q958
Sri Lanka	26.1	Q854
Sudan	8.2	Q1049
Suriname	32.7	Q730
Sweden	52.5	Q34
Tajikistan	32.5	Q863
Tanzania	24.7	Q924
Thailand	64.4	Q869
Timor-Leste	64.4	Q574
Togo	25.3	Q945
Tunisia	49.5	Q948
Turkey	25.1	Q43
Uganda	26.6	Q1036
Ukraine	32.2	Q212
Uruguay	37	Q77
Uzbekistan	29	Q265
Vietnam	51.1	Q881
West Bank and Gaza	10.7	Q407199
Yemen, Rep.	6.6	Q805
Zambia	43.7	Q953
Zimbabwe	42.5	Q954
