Country	Population	Christian	Muslim	Irreligion	Hindu	Buddhist	Folk religion	Other religion	Jewish	ID
Angola	19,080,000	90.5	1.00	5.1	0.00	0.00	4.20	0.00	0.00	Q916
Cameroon	19,600,000	70.3	30.00	5.3	0.00	0.00	3.30	2.70	0.00	Q1009
Central African Republic	4,400,000	89.5	15.00	1.0	0.00	0.00	1.00	0.00	0.00	Q929
Chad	11,230,000	40.6	58.00	2.5	0.00	0.00	1.40	0.10	0.00	Q657
Congo, Democratic Republic of the	65,970,000	95.8	15.00	1.8	0.05	0.00	0.70	0.10	0.00	Q974
Congo, Republic of the	4,040,000	85.9	2.00	9.0	0.00	0.00	2.80	1.10	0.00	Q971
Equatorial Guinea	700	88.7	10.00	5.0	0.00	0.00	1.70	0.50	0.00	Q983
Gabon	1,510,000	76.5	11.20	5.6	0.00	0.00	6.00	0.70	0.00	Q1000
São Tomé and Príncipe	170	82.2	3.00	12.6	0.00	0.00	2.90	2.40	0.00	Q1039
Burundi	8,380,000	91.5	10.00	0.0	0.00	0.00	5.70	0.00	0.00	Q967
Comoros	730,62	0.2	99.80	0.0	0.00	0.00	0.00	0.00	0.00	Q970
Djibouti	890	2.3	96.90	0.2	0.00	0.00	0.30	0.00	0.20	Q977
Eritrea	5,250,000	50.0	48.00	0.1	0.00	0.00	0.40	0.00	0.00	Q986
Ethiopia	82,950,000	54.0	42.60	0.06	0.00	0.00	2.60	0.00	1.00	Q115
Kenya	40,510,000	84.8	9.70	2.5	0.10	0.00	1.70	1.20	0.00	Q114
Madagascar	20,710,000	85.3	3.00	6.9	0.05	0.00	4.50	0.10	0.00	Q1019
Malawi	14,900,000	82.7	13.00	2.5	0.00	0.00	1.70	0.00	0.00	Q1020
Mauritius	1,300,000	25.3	16.70	0.6	56.40	0.00	0.70	0.30	0.00	Q1027
Mayotte	200	0.7	98.60	0.2	0.00	0.00	0.50	0.00	0.00	Q17063
Mozambique	23,390,000	56.7	18.00	17.9	0.00	0.00	7.40	0.00	0.00	Q1029
Réunion	850	87.6	4.20	2.0	4.50	0.20	0.40	1.10	0.00	Q17070
Rwanda	10,620,000	93.4	4.80	3.6	0.00	0.00	1.00	0.20	0.00	Q1037
Seychelles	90	94.0	1.10	2.1	2.10	0.00	0.00	0.60	0.00	Q1042
Somalia	9,330,000	0.01	99.80	0.0	0.00	0.00	0.00	0.00	0.00	Q1045
South Sudan	9,950,000	60.5	20.00	0.5	0.00	0.00	32.90	0.00	0.00	Q958
Tanzania	44,840,000	61.4	35.20	1.4	0.10	0.00	1.80	0.07	0.00	Q924
Uganda	33,420,000	86.7	11.50	0.5	0.30	0.00	0.90	0.10	0.00	Q1036
Zambia	13,090,000	97.6	1.00	0.5	0.10	0.00	0.30	0.90	0.00	Q953
Zimbabwe	12,570,000	87.0	1.00	7.9	0.00	0.00	3.80	0.30	0.08	Q954
Algeria	43,851,044	1.0	98.00	0.0	0.00	0.00	0.20	0.00	0.80	Q262
Egypt	81,120,000	11.2	88.90	0.0	0.00	0.00	0.00	0.00	0.10	Q79
Libya	6,360,000	2.7	96.60	0.2	0.00	0.30	0.00	0.00	0.00	Q1016
Morocco	31,950,000	0.06	99.90	0.0	0.00	0.00	0.00	0.01	0.04	Q1028
Sudan	33,600,000	5.4	90.70	1.0	0.00	0.00	2.80	0.00	0.00	Q1049
Tunisia	10,480,000	0.2	99.50	0.2	0.00	0.00	0.00	0.00	0.10	Q948
Botswana	2,010,000	72.1	0.40	20.6	0.30	0.00	6.00	0.60	0.00	Q963
Eswatini	1,190,000	88.1	2.00	10.1	0.10	0.00	1.00	0.40	0.00	Q1050
Lesotho	2,170,000	96.7	0.10	3.1	0.00	0.00	0.10	0.00	0.00	Q1013
Namibia	2,280,000	97.5	0.30	1.9	0.00	0.00	0.20	0.00	0.00	Q1030
South Africa	50,130,000	81.2	2.00	14.9	1.70	0.20	0.40	0.30	0.10	Q258
Anguilla	20	90.6	0.30	4.0	0.40	0.00	2.90	1.60	0.10	Q25228
Antigua and Barbuda	90	93.0	0.60	1.7	0.20	0.00	3.60	1.00	0.00	Q781
Aruba	110	91.9	0.40	6.0	0.00	0.10	1.30	0.10	0.40	Q21203
Bahamas	340	96.0	0.10	3.1	0.00	0.00	0.30	0.30	0.00	Q778
Barbados	270	95.2	1.00	1.9	0.40	0.00	0.00	1.40	0.00	Q244
Cayman Islands	60	83.5	0.40	9.4	0.90	0.00	4.50	0.60	0.80	Q5785
Cuba	11,260,000	59.2	0.10	23.0	0.20	0.00	17.40	0.00	0.00	Q241
Dominica	70	94.4	0.10	0.5	0.00	0.10	3.00	1.70	0.00	Q784
Dominican Republic	9,930,000	88.0	0.10	10.9	0.00	0.00	0.90	0.10	0.00	Q786
Grenada	100	96.6	0.30	1.0	0.70	0.00	1.30	0.20	0.00	Q769
Guadeloupe	460	95.9	0.40	2.5	0.50	0.00	0.40	0.40	0.00	Q3118683
Haiti	9,990,000	86.9	0.10	10.6	0.00	0.00	2.20	0.30	0.00	Q790
Jamaica	2,740,000	77.2	0.40	17.2	0.00	0.00	4.50	1.00	0.00	Q766
Martinique	410	96.5	0.20	2.3	0.20	0.00	0.20	0.60	0.00	Q17054
Montserrat	5	93.5	0.01	4.8	0.10	0.00	0.20	1.50	0.00	Q13353
Puerto Rico	3,750,000	96.7	0.10	1.9	0.00	0.30	0.80	0.10	0.00	Q1183
Saint Kitts and Nevis	50	94.6	0.30	1.6	1.50	0.00	1.30	0.80	0.00	Q763
Saint Lucia	170	91.1	0.10	6.0	0.30	0.00	0.50	2.00	0.00	Q760
Saint Vincent and the Grenadines	110	88.7	1.50	2.5	3.40	0.00	2.00	2.00	0.00	Q757
Trinidad and Tobago	1,340,000	65.9	6.00	1.9	22.70	0.30	1.90	1.40	0.00	Q754
Turks and Caicos Islands	40	92.1	0.01	4.6	0.00	0.00	2.70	0.60	0.00	Q18221
British Virgin Islands	20	84.5	1.20	3.9	1.20	0.00	8.40	0.80	0.00	Q25305
U.S. Virgin Islands	110	94.8	0.10	3.7	0.40	0.00	0.00	0.60	0.30	Q11703
Belize	310	87.6	0.10	8.9	0.20	0.50	1.50	0.10	1.00	Q242
Costa Rica	4,660,000	90.9	0.10	7.9	0.00	0.00	0.80	0.30	0.00	Q800
El Salvador	6,190,000	88.2	0.10	11.0	0.00	0.00	0.50	0.30	0.00	Q792
Guatemala	14,390,000	95.2	0.10	4.1	0.00	0.00	0.60	0.07	0.00	Q774
Honduras	7,600,000	87.6	0.10	10.5	0.00	0.10	1.10	0.60	0.00	Q783
Nicaragua	5,790,000	85.8	0.00	12.5	0.00	0.00	1.40	0.10	0.00	Q811
Panama	3,520,000	93.0	0.80	4.8	0.00	0.20	0.40	0.40	0.40	Q804
Bermuda	60	75.0	1.10	19.4	0.00	0.50	3.00	0.80	0.30	Q23635
Canada	37,000,000	72.0	2.80	23.7	1.40	0.80	1.20	0.90	1.00	Q16
