Country	value ('90-'00)	value ('00-'19)	ID
Albania	5	4.6	Q222
Antigua and Barbuda	3.9	1.5	Q781
Argentina	4.4	3.2	Q414
Australia	4.1	3.1	Q408
Austria	2.6	1.6	Q40
Azerbaijan	-1.6	8.6	Q227
Bahamas, The	0.4	0.4	Q778
Bangladesh	4.2	5.9	Q902
Belarus	-0.4	4	Q184
Belgium	2.5	1.8	Q31
Belize	4.7	3.4	Q242
Benin	4.4	5.3	Q962
Bhutan	7.2	8.4	Q917
Bolivia	4.9	4.4	Q750
Botswana	8.2	6.8	Q963
Brazil	2.7	2.8	Q155
Brunei Darussalam	2.2	3.3	Q921
Bulgaria	-5.3	3.7	Q219
Burkina Faso	3.8	6.1	Q965
Cabo Verde	13.4	3.1	Q1011
Cambodia	7.7	7.7	Q424
Cameroon	-0.1	4.6	Q1009
Chile	6.8	4.9	Q298
China	10.3	10	Q148
Colombia	4.7	4.4	Q739
Comoros	1.6	3.2	Q970
Congo, Dem. Rep.	-4.7	5.5	Q974
Congo, Rep.	-2.2	4.7	Q971
Costa Rica	4	5	Q800
Croatia	2.9	1.8	Q224
Cyprus	6.5	2.4	Q229
Czech Republic	2.1	2.3	Q213
Denmark	2.7	1.4	Q35
Dominica	3.2	1.3	Q784
Dominican Republic	5.4	5.1	Q786
Ecuador	2.1	4.1	Q736
Egypt, Arab Rep.	3.1	5.4	Q79
El Salvador	3.3	2.1	Q792
Estonia	6.2	2.7	Q191
Eswatini	3	3.9	Q1050
Ethiopia	5.6	11.8	Q115
Fiji	3	3.1	Q712
Finland	3.1	1.1	Q33
France	2.3	1.5	Q142
Gabon	0	4.9	Q1000
Gambia, The	4	3.3	Q1005
Germany	2.6	1.3	Q183
Greece	3.5	-0.4	Q41
Grenada	3.7	2.4	Q769
Guatemala	4.7	4.4	Q774
Guinea	3	4.5	Q1006
Guyana	4.3	4.9	Q734
Haiti	1.6	1.2	Q790
Honduras	4.7	5.5	Q783
Hungary	1.8	2.2	Q28
Iceland	7.3	3.2	Q189
India	7.7	7.8	Q668
Indonesia	3.4	7	Q252
Iran, Islamic Rep.	3.5	3.9	Q794
Ireland	7.1	3.3	Q27
Israel	4.5	4.1	Q801
Italy	1.9	0.4	Q38
Jamaica	0.9	0.7	Q766
Japan	1.6	0.7	Q17
Jordan	4.8	4.6	Q810
Kazakhstan	1.1	7.2	Q232
Kiribati	5.7	2.5	Q710
Korea, Rep.	7.2	3.8	Q884
Kyrgyz Republic	-5	6	Q813
Latvia	6.1	3.5	Q211
Lebanon	5.5	4.4	Q822
Lesotho	3.6	4.4	Q1013
Lithuania	5.4	3.4	Q37
Luxembourg	6.3	3	Q32
Madagascar	5.7	2.9	Q1019
Malawi	3.7	5.5	Q1020
Malaysia	9	7.1	Q833
Maldives	6.9	5.9	Q826
Mali	3.5	5.3	Q912
Mauritania	6	5.8	Q1025
Mauritius	6.3	5.1	Q1027
Mexico	3.4	2.7	Q96
Micronesia, Fed. Sts.	-0.7	-0.1	Q702
Moldova	1.9	4.5	Q217
Morocco	3.1	4.2	Q1028
Mozambique	4.9	7.7	Q1029
Namibia	3	5.1	Q1030
Nepal	6	5.1	Q837
Netherlands	3.7	1.6	Q55
New Zealand	3.7	2.9	Q664
Nicaragua	6.5	4	Q811
Niger	0.6	4.7	Q1032
Nigeria	3.1	8.4	Q1033
North Macedonia	-0.5	2.8	Q221
Norway	3.7	2.3	Q20
Pakistan	4.4	5	Q843
Panama	4.7	6.2	Q804
Paraguay	2.9	4.4	Q733
Peru	2.8	6	Q419
Philippines	3.7	6.3	Q928
Poland	7.7	3.5	Q36
Portugal	3.7	0.9	Q45
Romania	0.5	5.2	Q218
Russian Federation	-4.7	4	Q159
Rwanda	-1.5	9.4	Q1037
Saudi Arabia	2.3	5.9	Q851
Senegal	3	4.5	Q1041
Serbia	1.3	3.7	Q403
Seychelles	4.8	4.2	Q1042
Singapore	7	5.6	Q334
Slovak Republic	3.4	3.1	Q214
Slovenia	3.6	2.2	Q215
South Africa	3.7	3.3	Q258
Spain	3.7	2	Q29
Sri Lanka	5.7	6.2	Q854
St. Kitts and Nevis	3.7	3.4	Q763
St. Lucia	3.1	1.8	Q760
St. Vincent and the Grenadines	4.5	1.8	Q757
Sudan	1.7	5.8	Q1049
Suriname	0.6	3	Q730
Sweden	2	2.5	Q34
Switzerland	1.4	1.9	Q39
Tajikistan	-10.8	10.1	Q863
Tanzania	2.6	6.9	Q924
Thailand	1.3	4.5	Q869
Togo	3.9	4.7	Q945
Trinidad and Tobago	2.6	3.2	Q754
Turkey	4.7	5	Q43
Uganda	8	6	Q1036
Ukraine	-8.1	1.8	Q212
United Kingdom	3.3	2.1	Q145
Uruguay	20.1	4.3	Q77
Uzbekistan	1.1	8	Q265
Venezuela, RB	-0.1	6.4	Q717
Vietnam	7.5	6	Q881
West Bank and Gaza	7.3	5	Q407199
Yemen, Rep.	5.1	1.9	Q805
Zambia	3	8.1	Q953
Zimbabwe	3	6.5	Q954
