Country	Income (2010)	Income (2019)	ID
Afghanistan	2600	1756	Q889
Albania	1221	1083	Q222
Algeria	2665	3089	Q262
Angola	-438	-227	Q916
Antigua and Barbuda	19	-54	Q781
Argentina	581	822	Q414
Armenia	607	625	Q399
Aruba	-71	-91	Q21203
Australia	-1607	-756	Q408
Austria	-3990	-3931	Q40
Azerbaijan	509	509	Q227
Bahamas, The	-3	-69	Q778
Bahrain	-1642	-3269	Q398
Bangladesh	11379	18689	Q902
Belarus	317	1037	Q184
Belgium	-4876	-7294	Q31
Belize	92	76	Q242
Benin	155	227	Q962
Bermuda	-138	-170	Q23635
Bhutan	94	170	Q917
Bolivia	1081	1138	Q750
Bosnia and Herzegovina	2389	2378	Q225
Botswana	1196	1603	Q963
Brazil	2896	964	Q155
Brunei Darussalam	-309	-490	Q921
Bulgaria	2000	2305	Q219
Burkina Faso	493	471	Q965
Burundi	136	251	Q967
Cabo Verde	340	324	Q1011
Cambodia	1092	1756	Q424
Cameroon	146	454	Q1009
Canada	-3839	-2058	Q16
Chile	4410	2411	Q298
China	40686	10250	Q148
Hong Kong SAR, China	-2263	-2663	Q8646
Macao SAR, China	-1374	-3413	Q14773
Colombia	4659	8676	Q739
Comoros	146	163	Q970
Congo, Dem. Rep.	843	1211	Q974
Costa Rica	388	513	Q800
Cote d'Ivoire	-440	-557	Q1008
Croatia	1694	2695	Q224
Curacao	-41	-28	Q25279
Cyprus	-254	-304	Q229
Czech Republic	-573	-1783	Q213
Denmark	-6537	-5370	Q35
Djibouti	105	197	Q977
Dominica	20	43	Q784
Dominican Republic	3431	6686	Q786
Ecuador	2481	2739	Q736
Egypt, Arab Rep.	12439	26799	Q79
El Salvador	3629	5638	Q792
Estonia	142	57	Q191
Eswatini	400	503	Q1050
Ethiopia	4698	8027	Q115
Fiji	149	320	Q712
Finland	-2723	-2736	Q33
France	-49828	-52574	Q142
Gambia, The	78	213	Q1005
Georgia	1098	1373	Q230
Germany	-52955	-53353	Q183
Ghana	2322	2583	Q117
Greece	-2386	653	Q41
Grenada	32	-10	Q769
Guatemala	5013	11148	Q774
Guinea	17	96	Q1006
Guinea-Bissau	60	76	Q1007
Guyana	371	468	Q734
Haiti	3147	3497	Q790
Honduras	2882	5894	Q783
Hungary	-629	-1397	Q28
Iceland	-93	-182	Q189
India	52110	72867	Q668
Indonesia	4630	7629	Q252
Iraq	-2507	308	Q796
Ireland	-1839	-3653	Q27
Israel	8142	7733	Q801
Italy	-26430	-19105	Q38
Jamaica	2010	2452	Q766
Japan	-12395	-12649	Q17
Jordan	3822	5058	Q810
Kazakhstan	-489	329	Q232
Kenya	2327	4448	Q114
Kiribati	30	59	Q710
Korea, Rep.	-5317	-6063	Q884
Kosovo	1302	1515	Q1246
Kuwait	-12258	-14855	Q817
Kyrgyz Republic	1391	2421	Q813
Lao PDR	179	242	Q819
Latvia	558	262	Q211
Lebanon	2450	1578	Q822
Lesotho	673	585	Q1013
Liberia	796	153	Q1014
Libya	-1828	-753	Q1016
Lithuania	1059	852	Q37
Luxembourg	165	-482	Q32
Madagascar	541	973	Q1019
Malawi	641	563	Q1020
Malaysia	-6770	-4778	Q833
Maldives	-199	-491	Q826
Mali	538	1568	Q912
Malta	101	-175	Q233
Marshall Islands	60	43	Q709
Mauritania	311	205	Q1025
Mauritius	183	-293	Q1027
Mexico	21904	35279	Q96
Moldova	1268	1224	Q217
Mongolia	187	241	Q711
Montenegro	240	318	Q236
Morocco	7270	7816	Q1028
Mozambique	828	338	Q1029
Myanmar	239	2581	Q836
Namibia	1152	1333	Q1030
Nepal	4086	8982	Q837
Netherlands	-11889	-7749	Q55
New Zealand	38	-438	Q664
Nicaragua	1161	1611	Q811
Niger	449	486	Q1032
Nigeria	20705	24134	Q1033
North Macedonia	1790	1969	Q221
Norway	-5061	-6534	Q20
Oman	-5704	-9958	Q842
Pakistan	13793	24829	Q843
Palau	27	16	Q695
Panama	138	-31	Q804
Papua New Guinea	188	314	Q691
Paraguay	557	793	Q733
Peru	3026	3556	Q419
Philippines	17596	27620	Q928
Poland	-118	-2045	Q36
Portugal	751	4708	Q45
Qatar	-12651	-16607	Q846
Romania	4181	1660	Q218
Russian Federation	-6318	-10182	Q159
Rwanda	581	657	Q1037
Samoa	147	180	Q683
Sao Tome and Principe	9	26	Q1039
Saudi Arabia	-27921	-36620	Q851
Senegal	1551	2059	Q1041
Serbia	4443	4346	Q403
Seychelles	5	-6	Q1042
Sierra Leone	179	324	Q1044
Singapore	-5512	-6280	Q334
Sint Maarten (Dutch part)	-42	513	Q26273
Slovak Republic	-741	-1154	Q214
Slovenia	-80	-569	Q215
Solomon Islands	132	30	Q685
South Africa	-2278	-2462	Q258
Spain	-16744	-14323	Q29
Sri Lanka	3660	6163	Q854
St. Kitts and Nevis	47	-28	Q763
