Country	Index	ID
Albania	4.1	Q222
Algeria	3.4	Q262
Angola	2.7	Q916
Argentina	3.7	Q414
Armenia	2.5	Q399
Australia	4.9	Q408
Austria	3.9	Q40
Azerbaijan	4.7	Q227
Bahrain	5.1	Q398
Bangladesh	3.6	Q902
Barbados	5.3	Q244
Belgium	6.1	Q31
Benin	3.9	Q962
Bhutan	2	Q917
Bolivia	2.1	Q750
Bosnia and Herzegovina	2.1	Q225
Botswana	3.1	Q963
Brazil	3.1	Q155
Brunei Darussalam	3.9	Q921
Bulgaria	4.1	Q219
Burkina Faso	3.1	Q965
Burundi	2.8	Q967
Cabo Verde	3.6	Q1011
Cambodia	3.7	Q424
Cameroon	3.1	Q1009
Canada	5.4	Q16
Chad	2	Q657
Chile	4.9	Q298
China	4.6	Q148
Hong Kong SAR, China	6.5	Q8646
Colombia	3.8	Q739
Congo, Dem. Rep.	2.7	Q974
Costa Rica	3.4	Q800
Cote d'Ivoire	5.2	Q1008
Croatia	4.6	Q224
Cyprus	4.6	Q229
Czech Republic	3.5	Q213
Denmark	5.7	Q35
Dominican Republic	4.8	Q786
Ecuador	4.6	Q736
Egypt, Arab Rep.	4.7	Q79
El Salvador	3.4	Q792
Estonia	5.6	Q191
Ethiopia	2.7	Q115
Finland	6.2	Q33
France	5.1	Q142
Gabon	3.2	Q1000
Gambia, The	4.4	Q1005
Georgia	4.1	Q230
Germany	5.5	Q183
Ghana	3.6	Q117
Greece	4.5	Q41
Guatemala	3.6	Q774
Guinea	3.4	Q1006
Guyana	3.6	Q734
Haiti	2.6	Q790
Honduras	4.4	Q783
Hungary	3.2	Q28
Iceland	5.9	Q189
India	4.6	Q668
Indonesia	4	Q252
Iran, Islamic Rep.	4	Q794
Ireland	5.1	Q27
Israel	4.7	Q801
Italy	4.4	Q38
Jamaica	4.9	Q766
Japan	5.3	Q17
Jordan	4.5	Q810
Kazakhstan	3.2	Q232
Kenya	4.5	Q114
Korea, Rep.	5.2	Q884
Kuwait	3.8	Q817
Kyrgyz Republic	1.4	Q813
Lao PDR	2.3	Q819
Latvia	5.1	Q211
Lebanon	3.5	Q822
Lesotho	3	Q1013
Liberia	3.2	Q1014
Libya	2.6	Q1016
Lithuania	4.8	Q37
Luxembourg	4.6	Q32
North Macedonia	3.6	Q221
Madagascar	3.6	Q1019
Malawi	2.1	Q1020
Malaysia	5.4	Q833
Mali	1.9	Q912
Malta	5.3	Q233
Mauritania	2.6	Q1025
Mauritius	4.2	Q1027
Mexico	4.3	Q96
Moldova	2.4	Q217
Mongolia	1.4	Q711
Montenegro	4.1	Q236
Morocco	5	Q1028
Mozambique	3.6	Q1029
Myanmar	2.6	Q836
Namibia	5.2	Q1030
Nepal	1.6	Q837
Netherlands	6.8	Q55
New Zealand	5.5	Q664
Nicaragua	3.1	Q811
Nigeria	2.8	Q1033
Norway	5.5	Q20
Oman	4.6	Q842
Pakistan	4	Q843
Panama	6.2	Q804
Paraguay	3.3	Q733
Peru	3.7	Q419
Philippines	2.9	Q928
Poland	4.2	Q36
Portugal	5.2	Q45
Puerto Rico	5.4	Q1183
Qatar	5.6	Q846
Romania	3.5	Q218
Russian Federation	4.2	Q159
Rwanda	2.9	Q1037
Saudi Arabia	4.7	Q851
Senegal	4.4	Q1041
Serbia	3	Q403
Seychelles	4.5	Q1042
Sierra Leone	3.3	Q1044
Singapore	6.7	Q334
Slovak Republic	3	Q214
Slovenia	5	Q215
South Africa	4.8	Q258
Spain	5.5	Q29
Sri Lanka	4.5	Q854
Suriname	4.4	Q730
Eswatini	3.6	Q1050
Sweden	5.5	Q34
Switzerland	4.5	Q39
Tajikistan	2	Q863
Tanzania	3.4	Q924
Thailand	4.3	Q869
Timor-Leste	2.2	Q574
Trinidad and Tobago	3.8	Q754
Tunisia	3.3	Q948
Turkey	4.5	Q43
Uganda	2.6	Q1036
Ukraine	3.5	Q212
United Arab Emirates	6.2	Q878
United Kingdom	5.5	Q145
United States	5.8	Q30
Uruguay	4.9	Q77
Venezuela, RB	2.7	Q717
Vietnam	3.7	Q881
Yemen, Rep.	2.6	Q805
Zambia	2.3	Q953
Zimbabwe	3.1	Q954
