Country	Factor (2018)	Factor (2019)	ID
Afghanistan	16.9	17	Q889
Albania	41.3	40.6	Q222
Algeria	40.8	39.9	Q262
Angola	117.2	156.6	Q916
Antigua and Barbuda	2.1	2.1	Q781
Argentina	14.1	21	Q414
Armenia	156.6	156.2	Q399
Aruba	1.4	1.4	Q21203
Australia	1.5	1.4	Q408
Austria	0.8	0.8	Q40
Azerbaijan	0.6	0.5	Q227
Bahamas, The	0.9	0.9	Q778
Bahrain	0.2	0.2	Q398
Bangladesh	30.7	31.5	Q902
Barbados	2.2	2.2	Q244
Belarus	0.7	0.7	Q184
Belgium	0.8	0.8	Q31
Belize	1.3	1.3	Q242
Benin	213	208.7	Q962
Bermuda	1.4	1.4	Q23635
Bhutan	19.1	19.1	Q917
Bolivia	2.8	2.7	Q750
Bosnia and Herzegovina	0.7	0.7	Q225
Botswana	4.7	4.6	Q963
Brazil	2.2	2.3	Q155
Brunei Darussalam	0.7	0.7	Q921
Bulgaria	0.7	0.7	Q219
Burkina Faso	208.8	199.1	Q965
Burundi	621.6	615.9	Q967
Cabo Verde	48.1	47.5	Q1011
Cambodia	1438.8	1459.9	Q424
Cameroon	231.1	230.7	Q1009
Canada	1.2	1.2	Q16
Cayman Islands	1	1	Q5785
Central African Republic	276.8	278.6	Q929
Chad	250	252.7	Q657
Chile	412.4	416.2	Q298
China	4.2	4.2	Q148
Hong Kong SAR, China	6.1	6.1	Q8646
Macao SAR, China	5.2	5.3	Q14773
Colombia	1.9	1349	Q739
Comoros	187.9	190.8	Q970
Congo, Dem. Rep.	813.2	785.7	Q974
Congo, Rep.	353.4	343.1	Q971
Costa Rica	351.6	351.7	Q800
Cote d'Ivoire	248.5	245.5	Q1008
Croatia	3.3	3.3	Q224
Curacao	1.4	1.4	Q25279
Cyprus	0.6	0.6	Q229
Czech Republic	12.4	12.4	Q213
Denmark	6.8	6.7	Q35
Djibouti	104.6	105.4	Q977
Dominica	1.8	1.8	Q784
Dominican Republic	22	22.1	Q786
Ecuador	0.5	0.5	Q736
Egypt, Arab Rep.	3.9	4.3	Q79
El Salvador	0.5	0.5	Q792
Equatorial Guinea	270.4	246.5	Q983
Eritrea	5.5	5.5	Q986
Estonia	0.5	0.5	Q191
Ethiopia	9.4	10.4	Q115
Fiji	0.9	0.9	Q712
Finland	0.9	0.8	Q33
France	0.8	0.7	Q142
Gabon	292.8	290.1	Q1000
Gambia, The	15.7	16.4	Q1005
Georgia	0.8	0.9	Q230
Germany	0.7	0.7	Q183
Ghana	1.9	2	Q117
Greece	0.6	0.6	Q41
Grenada	1.6	1.6	Q769
Guatemala	3.9	4	Q774
Guinea	1.8	3659.8	Q1006
Guinea-Bissau	216.7	197.2	Q1007
Guyana	108.5	112.8	Q734
Haiti	31.4	35.3	Q790
Honduras	10.3	10.6	Q783
Hungary	138.2	140.9	Q28
Iceland	136.9	136.7	Q189
India	21.1	21.2	Q668
Indonesia	4762.6	4756.1	Q252
Iran, Islamic Rep.	13061.3	13061.3	Q794
Iraq	632	621.1	Q796
Ireland	0.8	0.8	Q27
Israel	3.7	3.7	Q801
Italy	0.7	0.7	Q38
Jamaica	69.2	73.2	Q766
Japan	104.6	101.5	Q17
Jordan	0.3	0.3	Q810
Kazakhstan	129.4	135.7	Q232
Kenya	40.2	41.1	Q114
Kiribati	1	1	Q710
Korea, Rep.	870.8	860.2	Q884
Kosovo	0.3	0.3	Q1246
Kuwait	0.2	0.2	Q817
Kyrgyz Republic	17.1	16.7	Q813
Lao PDR	1.1	2795.7	Q819
Latvia	0.5	0.5	Q211
Lebanon	757	765.6	Q822
Lesotho	5.7	5.8	Q1013
Liberia	0.4	0.4	Q1014
Libya	0.7	0.7	Q1016
Lithuania	0.5	0.5	Q37
Luxembourg	0.8	0.8	Q32
North Macedonia	19.1	18.8	Q221
