Country	Active military	Reserve military	Paramilitary	Total	Per 1,000 capita (total)	Per 1,000 capita (active)	ID
Georgia	20,65	0	5,4	26,05	5.3	4.2	Q230
Germany	179,4	28,25	0	207,65	2.6	2.2	Q183
Ghana	15,5	0	0	15,5	0.6	0.6	Q117
Greece	142,35	220,5	4	366,85	34.1	13.2	Q41
Guatemala	18,05	63,85	25	106,9	6.4	1.1	Q774
Guinea	9,7	0	2,6	12,3	1.0	0.8	Q1006
Guinea-Bissau	4,45	0	0	4,45	2.4	2.4	Q1007
Guyana	3,4	670	0	4,07	5.5	4.6	Q734
Haiti	150	0	50	200	0.0	0.0	Q790
Honduras	14,95	60	8	82,95	9.0	1.6	Q783
Hungary	27,8	20	12	59,8	6.1	2.8	Q28
Iceland	0	0	250	250	0.7	0.0	Q189
India	1,444,500	1,155,000	2,526,950	5,126,450	4.0	1.1	Q668
Indonesia	395,5	400	280	1,075,500	4.1	1.5	Q252
Iran	610	350	1,050,000	2,010,000	24.2	7.3	Q794
Iraq	193	0	145	338	8.4	4.8	Q796
Ireland	9,5	4,05	0	13,55	2.7	1.9	Q27
Israel	169,5	465	8	642,5	76.3	20.1	Q801
Italy	171,05	18,3	175,75	365,1	5.9	2.7	Q38
Jamaica	3,95	980	0	4,93	1.8	1.4	Q766
Japan	247,15	56	14	317,15	2.5	2.0	Q17
Jordan	100,5	65	15	180,5	17.3	9.6	Q810
Kazakhstan	39	0	31,5	70,5	3.8	2.1	Q232
Kenya	24,1	0	5	29,1	0.6	0.5	Q114
Kosovo	2,5	800	0	3,3	1.7	1.3	Q1246
Kuwait	17,5	23,7	7,1	48,3	16.6	6.0	Q817
Kyrgyzstan	10,9	0	9,5	20,4	3.5	1.9	Q813
Laos	29,1	0	100	129,1	17.8	4.0	Q819
Latvia	6,21	15,9	0	22,11	11.5	3.2	Q211
Lebanon	60	0	20	80	13.1	9.8	Q822
Lesotho	2	0	0	2	1.0	1.0	Q1013
Liberia	2,01	0	0	2,01	0.4	0.4	Q1014
Libya	0	0	0	0	0.0	0.0	Q1016
Lithuania	19,85	6,7	14,4	40,95	14.7	7.1	Q37
Luxembourg	900	0	600	1,5	2.5	1.5	Q32
Madagascar	13,5	0	8,1	21,6	0.8	0.5	Q1019
Malawi	10,7	0	4,2	14,9	0.8	0.5	Q1020
Malaysia	113	51,6	267,2	431,8	13.6	3.6	Q833
Mali	10	0	7,8	17,8	1.0	0.5	Q912
Malta	1,95	180	0	2,13	4.7	4.3	Q233
Mauritania	15,85	0	5	20,85	5.4	4.1	Q1025
Mauritius	0	0	2,55	2,55	1.9	0.0	Q1027
Mexico	277,15	81,5	58,9	417,55	3.3	2.2	Q96
Moldova	5,15	58	900	64,05	18.6	1.5	Q217
Mongolia	9,7	137	7,5	154,2	49.7	3.1	Q711
Montenegro	1,95	0	10,1	12,05	19.6	3.2	Q236
Morocco	195,8	150	50	395,8	11.5	5.7	Q1028
Mozambique	11,2	0	0	11,2	0.4	0.4	Q1029
Myanmar	406	0	107	513	9.2	7.3	Q836
Namibia	9,9	0	6	15,9	6.3	3.9	Q1030
Nepal	96,6	0	15	111,6	3.8	3.3	Q837
Netherlands	35,4	4,5	5,9	45,8	2.7	2.1	Q55
New Zealand	9	2,3	0	11,3	2.5	2.0	Q664
Nicaragua	12	0	0	12	2.0	2.0	Q811
Niger	5,3	0	5,4	10,7	0.5	0.3	Q1032
Nigeria	135	0	80	215	1.1	0.7	Q1033
North Korea	1,280,000	600	5,889,000	7,769,000	306.1	50.4	Q423
North Macedonia	8	4,85	7,6	20,45	9.7	3.8	Q221
Norway	23,25	40	0	63,25	11.8	4.3	Q20
Oman	42,6	0	4,4	47	13.5	12.2	Q842
Pakistan	653,8	0	282	935,8	4.5	3.1	Q843
Palestine	0	0	43,8	43,8	9.4	0.0	Q219060
Panama	0	0	26	26	6.8	0.0	Q804
Papua New Guinea	3,6	0	0	3,6	0.5	0.5	Q691
Paraguay	11,9	164,5	14,8	191,2	27.2	1.7	Q733
Peru	81	188	77	346	11.0	2.6	Q419
Philippines	142,35	131	61,1	334,45	3.2	1.3	Q928
Poland	117,8	0	73,4	191,2	5.0	3.1	Q36
Portugal	27,2	211,95	24,7	263,85	25.5	2.6	Q45
Qatar	16,5	0	5	21,5	9.1	7.0	Q846
