Country	Number of Nobel laureates 	ID
United States	385	Q30
United Kingdom	133	Q145
Germany	108	Q183
France	70	Q142
Sweden	32	Q34
Russia/ Soviet Union	31	Q159
Switzerland	28	Q39
Japan	28	Q17
Canada	27	Q16
Austria	22	Q40
Netherlands	21	Q55
Italy	20	Q38
Poland	19	Q36
Denmark	13	Q35
Hungary	13	Q28
Norway	13	Q20
India	12	Q668
Australia	14	Q408
Israel	12	Q801
Belgium	11	Q31
Ireland	11	Q27
South Africa	11	Q258
China	8	Q148
Spain	8	Q29
Czech Republic	6	Q213
Ukraine	6	Q212
Argentina	5	Q414
Finland	5	Q33
Egypt	4	Q79
Romania	4	Q218
Lithuania	3	Q37
Mexico	3	Q96
New Zealand	3	Q664
Algeria	2	Q262
Bangladesh	2	Q902
Belarus	2	Q184
Bosnia and Herzegovina	2	Q225
Chile	2	Q298
Colombia	2	Q739
Croatia	2	Q224
East Timor	2	Q574
Greece	2	Q41
Guatemala	2	Q774
Liberia	2	Q1014
Luxembourg	2	Q32
Pakistan	2	Q843
Portugal	2	Q45
Saint Lucia	2	Q760
Taiwan	2	Q865
Turkey	2	Q43
Azerbaijan	1	Q227
Brazil	1	Q155
Bulgaria	1	Q219
Democratic Republic of the Congo	1	Q974
Costa Rica	1	Q800
Cyprus	1	Q229
Ethiopia	1	Q115
Faroe Islands	1	Q4628
Ghana	1	Q117
Hong Kong	1	Q8646
Iceland	1	Q189
Iraq	1	Q796
Iran	1	Q794
Kenya	1	Q114
Latvia	1	Q211
North Macedonia	1	Q221
Morocco	1	Q1028
Myanmar	1	Q836
Nigeria	1	Q1033
Palestine	1	Q219060
Peru	1	Q419
Slovenia	1	Q215
Korea, South	1	Q884
Tibet	1	Q17252
Trinidad and Tobago	1	Q754
Tunisia	1	Q948
Venezuela	1	Q717
Vietnam	1	Q881
Yemen	1	Q805
